player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Demario Davis,7079,LB,NO,16,13,4.6,77.6,90.3,14.8,11.5,0,1,4,8.2,20,63.4,73.2,68.0,66.0,80.2,63.6,1,23,7.8,4,4,2,91.1,38,596,660,13,34,49,0,387,247,0.7,10.2
Rodney McLeod,7271,S,CLV,17,1,8.4,60.0,95.9,15.9,9.6,0,0,6,20.0,8,47.2,50.9,82.7,49.7,61.4,56.0,0,17,18.2,4,6,0,103.6,18,304,317,4,17,30,3,131,75,0.5,7.3
Tashaun Gipson Sr.,7288,S,SF,5,0,11.0,0.0,100.0,,28.0,0,0,1,100.0,28,60.3,63.1,0.0,,75.8,84.5,0,,0.0,0,1,1,39.6,0,32,32,0,2,1,0,0,0,0.0,
Harrison Smith,7641,S,MIN,16,13,10.2,70.6,92.7,16.1,11.4,0,1,4,7.8,18,64.1,66.2,51.3,54.7,76.5,74.8,3,42,9.3,5,4,2,91.0,36,612,660,8,36,51,3,428,199,0.7,11.9
Darius Slay,7817,CB,PHI,14,2,11.5,50.0,100.0,13.0,6.5,3,0,13,20.3,24,68.9,67.6,57.4,,60.2,69.2,0,51,7.3,3,12,6,78.3,32,442,442,9,36,64,2,371,104,0.9,11.6
Robert Woods,7822,WR,HST,1,0,,,100.0,,,0,0,0,,13,60.7,70.2,60.0,,,,0,,,0,0,1,0.0,0,1,1,0,0,0,0,0,0,0.0,
Johnathan Hankins,7830,DI,SEA,17,0,,,0.6,,,1,0,0,,29,64.2,35.9,20.6,55.3,36.2,29.2,1,,,0,0,4,0.0,0,1,167,1,0,0,0,0,0,0.0,
Tyrann Mathieu,7850,S,NO,17,2,15.1,69.6,98.6,36.4,25.3,0,1,3,13.0,20,57.8,60.5,87.7,51.2,65.0,46.9,3,50,17.1,7,2,1,72.6,16,617,626,4,32,23,0,359,140,0.6,22.4
John Jenkins,7863,DI,LV,17,0,,,0.4,,,0,0,0,,23,60.6,53.1,87.6,57.5,49.9,46.7,0,,50.0,1,0,0,0.0,0,1,271,2,1,0,0,0,0,0.0,
Jordan Poyer,8000,S,MIA,16,18,9.1,73.5,97.4,22.8,16.7,0,1,3,8.8,17,61.4,62.5,23.3,58.8,69.4,73.3,0,33,10.0,6,3,3,129.7,25,600,616,7,36,34,3,301,129,0.5,12.0
Tony Jefferson,8361,S,LAC,6,3,2.4,88.9,99.2,14.4,12.8,0,0,1,11.1,27,70.3,74.8,79.1,60.0,73.0,73.9,0,8,6.3,1,0,1,116.2,8,126,127,4,12,9,1,24,19,0.2,3.0
