"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Stefon Diggs","NE","77.5","852.1","5.2","1.3","6.9","0.2","0.5","194.6"
"Michael Pittman Jr.","IND","78.4","887.6","4.2","0.3","2.0","0.0","0.9","190.9"
"Travis Hunter","JAC","68.5","890.2","5.2","3.8","21.7","0.1","0.8","190.0"
"Matthew Golden","GB","64.1","891.2","6.0","0.5","9.4","0.0","0.8","188.4"
"Rashee Rice","KC","70.9","831.8","5.8","1.1","4.5","0.0","0.6","188.3"
"Jauan Jennings","SF","66.8","879.8","5.2","2.4","10.8","0.1","0.6","186.4"
"Rome Odunze","CHI","65.7","885.7","5.4","1.3","8.0","0.0","0.9","185.5"
"Cooper Kupp","SEA","72.5","805.2","5.3","1.3","9.0","0.0","0.6","184.9"
"Khalil Shakir","BUF","71.9","813.7","4.9","0.3","3.0","0.0","0.6","181.8"
"Ricky Pearsall","SF","60.6","816.6","5.1","7.0","54.0","0.3","0.6","179.3"
"Jordan Addison","MIN","60.6","785.5","6.0","0.9","8.9","0.2","0.4","176.4"
"Rashid Shaheed","NO","58.0","861.7","4.9","7.7","47.2","0.1","1.3","176.4"
"Chris Godwin Jr.","TB","67.4","778.7","5.1","1.2","7.9","0.0","0.6","175.7"
"Emeka Egbuka","TB","62.5","794.1","5.5","1.6","11.5","0.0","1.1","174.2"
"Josh Downs","IND","69.3","769.9","4.5","0.3","5.8","0.0","0.5","172.9"
"Jayden Reed","GB","54.9","736.0","5.3","11.8","93.5","0.7","0.9","172.4"
"Keon Coleman","BUF","52.4","824.1","6.1","0.3","3.8","0.0","0.5","170.8"
"Darnell Mooney","ATL","58.6","830.9","4.5","0.0","1.5","0.0","0.4","168.0"
"Marvin Mims Jr.","DEN","52.6","694.1","5.3","11.9","49.4","0.1","0.6","158.7"
"Adam Thielen","CAR","61.5","656.2","4.4","0.0","1.8","0.0","0.5","152.4"
"Wan'Dale Robinson","NYG","69.4","625.3","3.1","2.0","15.6","0.0","0.5","151.3"
"Cedric Tillman","CLE","57.0","715.5","4.0","0.7","0.8","0.0","0.9","150.9"
"Marquise Brown","KC","55.2","681.1","4.5","0.3","2.0","0.0","0.2","150.1"
"Keenan Allen","LAC","55.6","640.2","4.8","0.3","2.0","0.0","0.6","147.4"
"Rashod Bateman","BAL","45.5","685.9","5.6","0.0","0.6","0.0","0.1","147.3"
"Christian Kirk","HOU","54.1","696.5","3.6","0.7","4.0","0.0","0.8","144.2"
"Xavier Legette","CAR","54.5","617.0","3.8","6.2","28.9","0.1","0.5","141.4"
"Jayden Higgins","HOU","49.9","660.3","3.8","0.7","4.0","0.0","0.4","138.3"
"DeMario Douglas","NE","56.5","597.7","3.2","2.1","15.9","0.0","0.2","136.6"
"Tyler Lockett","TEN","50.8","586.7","3.5","0.0","0.0","0.0","0.1","130.1"
"Romeo Doubs","GB","46.2","587.5","4.3","0.0","0.5","0.0","0.5","129.6"
"Luther Burden III","CHI","46.0","558.6","3.3","3.6","27.2","0.4","1.1","124.1"
"Joshua Palmer","BUF","42.1","588.8","3.5","0.0","0.5","0.0","0.1","122.0"
"Brandon Aiyuk","SF","40.0","611.9","3.2","1.1","4.8","0.0","0.5","120.3"
"Michael Wilson","ARI","43.8","525.1","3.9","1.9","8.9","0.1","0.5","120.2"
"Tre' Harris","LAC","40.8","544.2","3.4","0.7","3.8","0.0","0.7","114.7"
"Calvin Austin III","PIT","39.6","529.0","3.4","2.3","11.8","0.1","0.5","113.2"
"Ray-Ray McCloud III","ATL","44.5","486.5","2.6","7.5","52.8","0.2","1.2","112.3"
"Dyami Brown","JAC","39.2","504.4","2.8","0.7","6.8","0.0","0.5","106.3"
"Alec Pierce","IND","31.3","539.0","3.5","0.0","0.0","0.0","0.1","105.8"
"Quentin Johnston","LAC","34.6","453.7","4.1","1.7","7.2","0.0","0.4","104.7"
"Darius Slayton","NYG","35.6","534.0","2.5","1.4","6.4","0.0","0.2","104.5"
"Tutu Atwell","LAR","39.1","497.2","2.2","4.3","20.2","0.1","0.1","104.3"
"Josh Reynolds","NYJ","36.4","477.4","3.0","0.0","0.0","0.0","0.1","101.6"
"Kyle Williams","NE","35.5","454.4","2.7","2.1","13.3","0.0","0.4","97.6"
"DeAndre Hopkins","BAL","32.0","412.1","3.9","0.0","0.5","0.0","0.1","96.6"
"Nick Westbrook-Ikhine","MIA","31.4","427.4","3.7","0.0","1.3","0.0","0.1","96.1"
"Jalen Tolbert","DAL","34.6","404.1","3.5","0.0","0.0","0.0","0.1","96.0"
"Brandin Cooks","NO","35.6","404.1","2.8","1.7","3.8","0.0","0.1","92.7"
"Andrei Iosivas","CIN","31.4","380.6","3.7","0.0","0.0","0.0","0.1","91.2"
"Jordan Whittington","LAR","34.1","397.8","2.4","1.1","13.9","0.0","0.1","89.8"
"Jalen Nailor","MIN","29.2","382.1","3.5","1.8","4.1","0.0","0.4","88.2"
"Tory Horton","SEA","33.4","424.6","2.1","1.0","8.7","0.0","0.7","87.6"
