"Player","Team","REC","YDS","TDS","FL","FPTS"
"Cam Grandy","CIN","6.2","54.3","0.4","0.0","14.3"
"Luke Lachey","HOU","5.5","56.0","0.5","0.0","14.1"
"Travis Vokolek","ARI","5.5","55.5","0.5","0.0","14.1"
"Stone Smartt","NYJ","5.5","66.7","0.4","0.3","13.7"
"Thomas Fidone II","NYG","5.5","51.5","0.5","0.0","13.7"
"Ben Sims","GB","5.0","50.5","0.5","0.0","13.1"
"Jared Wiley","KC","5.4","53.1","0.4","0.0","13.0"
"Brayden Willis","SF","4.5","54.5","0.5","0.0","13.0"
"Durham Smythe","CHI","5.4","45.9","0.3","0.0","12.1"
"Robert Tonyan","KC","4.7","43.0","0.3","0.0","11.0"
"Luke Farrell","SF","4.5","43.5","0.2","0.0","9.9"
"Tip Reiman","ARI","4.4","43.0","0.1","0.0","9.4"
"Davis Allen","LAR","4.1","38.4","0.2","0.0","9.1"
"Irv Smith Jr.","HOU","4.0","33.8","0.3","0.0","9.0"
"Will Mallory","IND","3.5","34.8","0.3","0.0","8.7"
"Mo Alie-Cox","IND","3.4","37.2","0.2","0.0","8.5"
"Tucker Fisk","LAC","3.3","31.8","0.2","0.0","7.4"
"Kylen Granson","PHI","3.0","33.3","0.2","0.0","7.4"
"Tanner Hudson","CIN","3.0","26.7","0.2","0.0","6.6"
"Jackson Hawes","BUF","2.9","29.8","0.1","0.0","6.3"
"Erick All Jr.","CIN","2.4","20.8","0.2","0.0","5.5"
"Jack Stoll","NO","2.5","23.7","0.0","0.0","5.1"
"Zach Davidson","BUF","1.9","19.1","0.2","0.0","4.8"
"David Martin-Robinson","TEN","1.9","18.6","0.1","0.0","4.5"
"Blake Whiteheart","CLE","2.0","18.5","0.1","0.0","4.5"
"Feleipe Franks","ATL","1.8","17.7","0.1","0.0","4.3"
"Chris Manhertz","NYG","1.9","18.4","0.1","0.0","4.1"
"James Mitchell","CAR","1.8","17.8","0.1","0.0","4.1"
"Nick Vannett","MIN","1.0","10.0","0.0","0.0","2.0"
"Harrison Bryant","HOU","0.5","5.5","0.0","0.0","1.1"
"Tyree Jackson","WAS","0.0","0.0","0.0","0.0","0.0"
"Stephen Carlson","CHI","0.0","0.0","0.0","0.0","0.0"
"Josiah Deguara","ARI","0.0","0.0","0.0","0.0","0.0"
"Albert Okwuegbunam Jr.","LV","0.0","0.0","0.0","0.0","0.0"
"Sean McKeon","IND","0.0","0.0","0.0","0.0","0.0"
"Shane Zylstra","DET","0.0","0.0","0.0","0.0","0.0"
"Tyler Mabry","CAR","0.0","0.0","0.0","0.0","0.0"
"Ko Kieft","TB","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","WAS","0.0","0.0","0.0","0.0","0.0"
"John FitzPatrick","GB","0.0","0.0","0.0","0.0","0.0"
"Jake Tonges","SF","0.0","0.0","0.0","0.0","0.0"
"Cameron Latu","PHI","0.0","0.0","0.0","0.0","0.0"
"Justin Shorter","LV","0.0","0.0","0.0","0.0","0.0"
"Princeton Fant","DAL","0.0","0.0","0.0","0.0","0.0"
"Colson Yankoff","WAS","0.0","0.0","0.0","0.0","0.0"
"Thomas Odukoya","TEN","0.0","0.0","0.0","0.0","0.0"
"Baylor Cupp","BAL","0.0","0.0","0.0","0.0","0.0"
"Jack Westover","NE","0.0","0.0","0.0","0.0","0.0"
"Caleb Lohner","DEN","0.0","0.0","0.0","0.0","0.0"
"Moliki Matavao","NO","0.0","0.0","0.0","0.0","0.0"
"Mitchell Wilcox","MIA","0.0","0.0","0.0","0.0","0.0"
""
""
