Tight Ends
Receiving	Misc
Player	gp	tgt	rec	yds	yds/g	avg	td	fl	fpts	fppg
Brevyn Spann-Ford TE  DAL	17	17	13	125	7.4	9.6	1	0	31.1	1.8
Drew Sample TE  CIN	17	15	14	111	6.5	7.9	1	0	30.6	1.8
Gavin Bartholomew TE  MIN	17	15	12	131	7.7	10.9	1	0	30.1	1.8
Jared Wiley TE  KC	17	16	12	119	7.0	9.9	1	0	30.1	1.8
Jake Briningstool TE  KC	17	16	12	121	7.1	10.1	1	0	30.1	1.8
Greg Dulcich TE  NYG	17	21	11	119	7.0	10.8	1	0	29.1	1.7
Robert Tonyan TE  KC	17	16	12	109	6.4	9.1	1	0	28.6	1.7
Tanner Conner TE  MIA	17	13	13	96	5.6	7.4	1	0	28.2	1.7
Travis Vokolek TE  ARI	17	15	11	111	6.5	10.1	1	0	27.6	1.6
Brenden Bates TE  CLE	17	15	11	104	6.1	9.5	1	0	27.6	1.6
Thomas Fidone II TE  NYG	17	14	11	103	6.1	9.4	1	0	27.6	1.6
Caleb Lohner TE  DEN	17	14	11	102	6.0	9.3	1	0	27.6	1.6
Luke Farrell TE  SF	17	14	11	105	6.2	9.6	1	0	27.6	1.6
Luke Lachey TE  HOU	17	14	11	112	6.6	10.2	1	0	27.6	1.6
Ben Sinnott TE  WAS	17	15	11	110	6.5	10.0	1	0	27.6	1.6
Ian Thomas TE  LV	17	20	12	94	5.5	7.8	1	0	27.2	1.6
Cade Stover TE  HOU	17	16	12	101	5.9	8.4	1	0	27.2	1.6
Eric Saubert TE  SEA	17	16	12	94	5.5	7.8	1	0	27.2	1.6
Jackson Hawes TE  BUF	17	13	10	111	6.5	11.1	1	0	26.6	1.6
Will Mallory TE  IND	17	16	10	104	6.1	10.4	1	0	26.6	1.6
Keleki Latu TE  BUF	17	13	10	111	6.5	11.1	1	0	26.6	1.6
Oronde Gadsden II TE  LAC	17	13	10	107	6.3	10.7	1	0	26.6	1.6
Chris Manhertz TE  NYG	17	15	11	95	5.6	8.6	1	0	26.2	1.5
Durham Smythe TE  CHI	17	17	11	86	5.1	7.8	1	0	26.2	1.5
