"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Miles Sanders","DAL","93.4","350.9","2.1","10.0","62.0","0.3","0.5","64.7"
"Keaton Mitchell","BAL","66.0","322.3","1.7","9.1","85.5","0.5","0.0","63.0"
"Samaje Perine","CIN","41.2","174.7","1.3","17.8","155.1","0.9","0.7","62.5"
"Antonio Gibson","NE","51.4","215.4","1.0","16.4","132.7","0.5","0.0","60.1"
"Chris Rodriguez Jr.","WAS","70.4","318.0","2.9","4.4","33.4","0.1","0.4","56.5"
"Kenneth Gainwell","PIT","58.5","226.6","1.6","12.5","88.5","0.4","0.4","55.4"
"Jaleel McLaughlin","DEN","35.3","156.4","0.9","18.0","108.5","0.9","0.5","53.9"
"Kyle Monangai","CHI","42.0","259.2","2.3","6.4","45.6","0.1","0.1","51.2"
"Zamir White","LV","56.2","231.4","1.4","10.0","71.0","0.3","0.0","50.6"
"Isaac Guerendo","SF","52.2","246.3","2.0","7.5","67.3","0.1","0.4","50.3"
"Jarquez Hunter","LAR","57.1","237.7","1.9","7.1","61.0","0.4","0.7","49.5"
"Trevor Etienne","CAR","47.8","191.3","1.5","10.7","86.5","0.4","0.4","49.0"
"Tahj Brooks","CIN","48.8","212.9","1.6","9.2","73.3","0.5","0.7","48.8"
"Devin Singletary","NYG","52.1","236.2","1.5","9.4","63.5","0.1","0.4","48.6"
"Will Shipley","PHI","37.4","205.2","1.3","8.3","61.8","0.4","0.1","45.1"
"Khalil Herbert","IND","60.4","215.4","1.6","7.7","43.8","0.2","0.0","44.2"
"Emanuel Wilson","GB","32.7","178.0","1.3","9.2","67.2","0.6","0.5","43.6"
"Elijah Mitchell","KC","60.5","203.8","1.6","7.2","40.6","0.4","0.1","43.5"
"Devin Neal","NO","39.1","205.0","1.3","7.2","53.1","0.4","0.1","43.2"
"Sean Tucker","TB","44.8","231.3","1.4","5.2","40.2","0.3","0.7","41.3"
"DJ Giddens","IND","23.6","163.2","1.3","7.6","56.4","0.1","0.0","37.9"
"A.J. Dillon","PHI","50.1","194.6","1.6","3.6","28.6","0.1","0.0","35.9"
"Kyle Juszczyk","SF","5.4","22.5","0.3","13.1","125.0","0.7","0.4","33.7"
"Isaiah Davis","NYJ","30.7","152.3","0.9","4.9","35.7","0.1","0.0","29.4"
"Kimani Vidal","LAC","24.9","110.2","0.8","6.4","48.3","0.3","0.0","28.6"
"Brashard Smith","KC","9.9","78.9","0.5","8.3","61.7","0.5","0.0","28.1"
"Chris Brooks","GB","30.9","139.1","0.9","5.0","32.1","0.0","0.0","27.9"
"Emari Demercado","ARI","18.7","106.3","0.4","8.1","54.1","0.1","0.0","27.2"
"Zavier Scott","MIN","32.0","153.0","1.0","3.0","29.0","0.0","0.0","27.2"
"Amar Johnson","GB","35.0","164.0","1.0","2.0","26.0","0.0","0.0","27.0"
"Clyde Edwards-Helaire","NO","36.9","113.8","0.6","5.7","42.9","0.3","0.1","26.3"
"Dameon Pierce","HOU","19.3","125.1","0.8","5.1","33.6","0.1","0.7","25.0"
"Tyler Goodson","IND","30.0","109.7","0.7","4.7","31.3","0.3","0.0","24.8"
"Hassan Haskins","LAC","30.8","89.3","0.7","5.3","42.2","0.5","0.3","24.7"
"Sincere McCormick","LV","23.7","112.9","0.8","4.3","29.9","0.1","0.1","23.5"
"Ty Chandler","MIN","18.9","96.3","0.7","5.0","34.7","0.1","0.0","22.7"
"Jeremy McNichols","WAS","21.9","93.0","1.1","2.7","15.3","0.0","0.0","20.4"
"Julius Chestnut","TEN","10.4","70.9","0.5","5.5","40.2","0.2","0.0","20.4"
"Michael Burton","DEN","6.7","14.6","0.6","7.1","45.6","0.6","0.0","20.2"
"Craig Reynolds","DET","8.5","38.0","0.1","6.9","55.1","0.4","0.0","19.2"
"Michael Carter","ARI","9.6","41.2","0.2","6.6","45.0","0.3","0.0","17.9"
"Alec Ingold","MIA","8.9","21.5","0.6","6.1","44.1","0.4","0.4","17.8"
"Kalel Mullings","TEN","10.4","84.0","0.6","3.0","21.8","0.0","0.0","17.6"
"C.J. Ham","MIN","3.0","13.6","1.0","5.3","34.8","0.1","0.0","16.6"
"Travis Homer","CHI","21.6","69.8","0.3","3.4","25.7","0.1","0.0","15.5"
"Dare Ogunbowale","HOU","6.5","38.4","0.1","5.6","42.4","0.2","0.0","15.3"
"George Holani","SEA","0.0","79.0","0.5","2.0","14.5","0.0","0.0","14.4"
"Raheem Blackshear","CAR","23.0","66.0","0.4","2.9","21.0","0.1","0.5","13.3"
"Jordan Mims","TEN","15.8","66.5","0.3","2.2","15.4","0.1","0.0","12.7"
"Ronnie Rivers","LAR","31.7","90.3","0.5","0.3","2.3","0.0","0.0","12.5"
"Phil Mafah","DAL","0.0","61.5","0.5","1.5","11.0","0.0","0.0","11.8"
"Patrick Ricard","BAL","4.1","11.5","0.1","3.4","27.6","0.5","0.0","10.8"
"Jordan James","SF","18.2","63.0","0.4","1.0","12.0","0.0","0.0","10.8"
"Jeff Wilson Jr.","SF","13.0","42.1","0.2","2.4","18.6","0.1","0.0","10.7"
"Israel Abanikanda","GB","13.3","54.8","0.4","1.3","10.5","0.1","0.0","10.5"
"Deuce Vaughn","DAL","8.9","35.0","0.1","3.2","21.6","0.1","0.0","10.1"
"Frank Gore Jr.","BUF","10.2","42.8","0.2","2.0","15.0","0.1","0.0","9.7"
"Gary Brightwell","CIN","8.0","33.7","0.2","2.4","17.1","0.1","0.0","9.3"
"LeQuint Allen Jr.","JAC","4.0","29.4","0.6","1.5","11.0","0.0","0.0","8.8"
"Hunter Luepke","DAL","4.2","14.5","0.1","3.9","26.7","0.1","0.0","8.7"
"Eric Gray","NYG","11.9","42.7","0.2","1.9","14.4","0.1","0.5","7.9"
"DeeJay Dallas","ARI","5.8","22.2","0.1","3.1","21.4","0.1","0.5","7.6"
"Jashaun Corbin","ATL","9.3","35.1","0.2","1.5","10.6","0.0","0.0","7.2"
"Rasheen Ali","BAL","5.2","33.3","0.1","1.4","10.2","0.1","0.0","6.5"
"Zonovan Knight","ARI","2.4","10.1","0.1","2.1","15.3","0.1","0.0","5.7"
"Trey Sermon","PIT","5.0","20.8","0.1","1.6","11.5","0.1","0.0","5.6"
"Velus Jones Jr.","NO","2.4","10.4","0.1","2.0","13.7","0.1","0.0","5.4"
"Terrell Jennings","NE","2.4","10.1","0.1","1.9","14.5","0.1","0.0","5.2"
"Scott Matlock","LAC","0.0","0.0","0.0","2.2","14.7","0.1","0.0","4.0"
"Robbie Ouzts","SEA","0.0","0.0","0.0","2.0","14.8","0.1","0.0","3.9"
"Dylan Laube","LV","0.0","10.0","0.0","1.5","11.0","0.0","0.0","3.6"
"Raheim Sanders","LAC","0.0","10.5","0.0","1.0","7.5","0.0","0.0","2.8"
"Avery Williams","PHI","1.4","5.7","0.0","1.6","10.9","0.1","0.5","2.6"
"Carlos Washington Jr.","ATL","0.0","15.0","0.0","0.5","3.5","0.0","0.0","2.4"
"Trayveon Williams","CLE","1.2","5.1","0.0","1.0","7.0","0.0","0.0","2.3"
"Tyler Badie","DEN","0.0","10.5","0.0","0.5","3.5","0.0","0.0","1.9"
"Sione Vaki","DET","0.0","4.5","0.0","0.5","3.5","0.0","0.0","1.3"
"JaMycal Hasty","NE","0.0","4.0","0.0","0.5","3.5","0.0","0.0","1.3"
"Keilan Robinson","PHI","0.0","2.0","0.0","0.5","3.5","0.0","0.0","1.1"
"D'Ernest Johnson","BAL","0.0","2.0","0.0","0.5","3.0","0.0","0.0","1.0"
"Myles Gaskin","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nyheim Miller-Hines","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakob Johnson","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jermar Jefferson","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Demetric Felton Jr.","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaret Patterson","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deon Jackson","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Adam Prentice","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyrion Davis-Price","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keaontay Ingram","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brittain Brown","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malik Davis","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deneric Prince","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben VanSumeren","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brady Russell","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathon Brooks","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jawhar Jordan","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Blake Watson","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Wiley","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"British Brooks","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody Schrader","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kendall Milton","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Collier","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Donovan Edwards","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Corey Kiner","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
