Wide Receivers
Receiving	Rushing	Misc
Player	gp	tgt	rec	yds	yds/g	avg	td	att	yds	avg	td	fl	fpts	fppg
Marquise Brown WR  KC	17	109	59	644	37.9	10.9	3	1	8	8.0	0	0	143.2	8.4
Marvin Mims WR  DEN	17	62	45	571	33.6	12.7	6	14	41	2.9	0	0	142.5	8.4
Cedric Tillman WR  CLE	17	95	55	610	35.9	11.1	5	2	-4	-2.0	0	2	140.5	8.3
Jack Bech WR  LV	17	87	54	685	40.3	12.7	3	2	8	4.0	0	2	139.3	8.2
Jalen Tolbert WR  DAL	17	74	46	570	33.5	12.4	6	0	0	0.0	0	0	138.1	8.1
Brandon Aiyuk WR  SF	13	79	48	739	56.8	15.4	3	0	3	0.0	0	0	137.7	10.6
Luther Burden III WR  CHI	17	86	53	676	39.8	12.8	3	2	12	6.0	0	2	136.6	8.0
Tory Horton WR  SEA	17	84	52	675	39.7	13.0	3	2	9	4.5	0	2	135.6	8.0
Christian Watson WR  GB	17	64	36	723	42.5	20.1	4	6	35	5.8	0	1	134.8	7.9
Josh Palmer WR  BUF	17	73	45	671	39.5	14.9	3	0	2	0.0	0	0	132.6	7.8
Jayden Higgins WR  HOU	17	77	48	656	38.6	13.7	3	2	10	5.0	0	1	131.9	7.8
Ray-Ray McCloud WR  ATL	17	70	50	558	32.8	11.2	3	8	75	9.4	0	2	126.3	7.4
Kyle Williams WR  NE	17	76	47	570	33.5	12.1	3	2	12	6.0	0	1	122.4	7.2
DeAndre Hopkins WR  BAL	17	52	34	531	31.2	15.6	5	0	2	0.0	0	0	120	7.1
Jalen Nailor WR  MIN	17	53	34	526	30.9	15.5	6	3	-3	-1.0	0	1	119	7.0
Brandin Cooks WR  NO	17	80	44	479	28.2	10.9	4	5	9	1.8	0	0	118.9	7.0
Tyler Lockett WR  TEN	17	67	45	557	32.8	12.4	3	0	0	0.0	0	0	117.4	6.9
Tutu Atwell WR  LAR	17	66	43	594	34.9	13.8	2	4	15	3.8	0	0	116.1	6.8
Nick Westbrook-Ikhine WR  MIA	17	67	36	500	29.4	13.9	5	0	0	0.0	0	0	115.3	6.8
Jalen Coker WR  CAR	17	58	40	596	35.1	14.9	2	0	1	0.0	0	0	114.8	6.8
Dontayvion Wicks WR  GB	17	72	38	461	27.1	12.1	5	0	0	0.0	0	0	113.9	6.7
Curtis Samuel WR  BUF	17	61	42	415	24.4	9.9	4	10	43	4.3	0	0	112.2	6.6
Dont'e Thornton Jr. WR  LV	17	70	43	548	32.2	12.7	2	2	8	4.0	0	1	110.7	6.5
Andrei Iosivas WR  CIN	17	55	33	431	25.4	13.1	5	0	0	0.0	0	0	105.5	6.2
Greg Dortch WR  ARI	17	54	40	391	23.0	9.8	4	5	32	6.4	0	1	105.4	6.2
Tre Harris WR  LAC	17	58	36	501	29.5	13.9	3	2	10	5.0	0	1	104.6	6.2
Marquez Valdes-Scantling WR  SEA	17	58	29	522	30.7	18.0	3	1	2	2.0	0	0	101.3	6.0
Allen Lazard WR  NYJ	17	55	33	452	26.6	13.7	4	0	0	0.0	0	0	101.2	6.0
Noah Brown WR  WAS	17	62	38	505	29.7	13.3	2	0	0	0.0	0	0	99.3	5.8
Darius Slayton WR  NYG	17	56	32	512	30.1	16.0	2	2	13	6.5	0	0	98.3	5.8
Kayshon Boutte WR  NE	17	50	31	435	25.6	14.0	3	0	0	0.0	0	0	91.5	5.4
Josh Reynolds WR  NYJ	17	49	29	431	25.4	14.9	3	0	0	0.0	0	0	89.5	5.3
Dyami Brown WR  JAC	17	46	33	427	25.1	12.9	2	2	16	8.0	0	1	88.8	5.2
Dareke Young WR  SEA	17	74	37	397	23.4	10.7	2	0	0	0.0	0	1	86.1	5.1
Tyler Johnson WR  NYJ	17	56	36	384	22.6	10.7	2	0	0	0.0	0	0	85.4	5.0
