Running Backs
Rushing	Receiving	Misc
Player	gp	att	yds	avg	td	tgt	rec	yds	yds/g	avg	td	fl	fpts	fppg
Will Shipley RB  PHI	17	42	217	5.2	1	4	3	24	1.4	8.0	0	0	33.7	2.0
Jeremy McNichols RB  WAS	17	35	161	4.6	2	4	3	8	0.5	2.7	0	0	33.6	2.0
Michael Burton FB  DEN	17	9	11	1.2	1	11	10	62	3.6	6.2	1	0	31.9	1.9
Isaiah Davis RB  NYJ	17	29	173	6.0	1	4	4	30	1.8	7.5	0	0	31.3	1.8
Nyheim Miller-Hines RB  LAC	17	23	27	1.2	1	14	11	92	5.4	8.4	0	0	30.5	1.8
Zavier Scott RB  MIN	17	32	153	4.8	1	4	3	29	1.7	9.7	0	0	28.6	1.7
Alec Ingold FB  MIA	17	14	23	1.6	2	8	7	55	3.2	7.9	0	1	27.9	1.6
C.J. Ham FB  MIN	17	4	19	4.8	2	7	6	42	2.5	7.0	0	0	27.7	1.6
Amar Johnson RB  GB	17	35	164	4.7	1	3	2	26	1.5	13.0	0	0	27.6	1.6
Devin Neal RB  NO	17	35	161	4.6	1	3	2	22	1.3	11.0	0	0	27.6	1.6
DJ Giddens RB  IND	17	35	167	4.8	1	3	2	25	1.5	12.5	0	0	27.6	1.6
Jordan James RB  SF	17	32	154	4.8	1	3	2	29	1.7	14.5	0	0	27.6	1.6
Kimani Vidal RB  LAC	17	36	135	3.8	0	6	4	40	2.4	10.0	1	0	27.5	1.6
Dare Ogunbowale RB  HOU	17	30	113	3.8	0	13	9	82	4.8	9.1	0	0	27.5	1.6
