Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,FL,G,FPTS,FPTS/G,ROST
154,Jermaine Burton (CIN),4,14,0,26.8,47,2,0,0,0,14,14.7,1.1,1.3%
155,Odell Beckham Jr. (FA),9,18,0,6.1,11,0,0,0,0,8,14.5,1.8,1.1%
156,Xavier Gipson (NYJ),6,10,5,6.5,17,0,0,1,1,17,14.4,0.8,1.1%
157,DeAndre Carter (FA),9,14,0,8.0,14,0,0,0,1,13,14.2,1.1,0.0%
158,Jalin Hyatt (NYG),8,19,0,7.8,19,0,0,0,0,16,14.2,0.9,1.0%
159,Brandon Powell (FA),7,10,0,10.1,13,0,0,0,0,17,14.1,0.8,1.4%
160,Tyrell Shavers (BUF),1,1,0,69.0,69,1,0,0,0,3,13.9,4.6,0.1%
161,Chris Conley (FA),6,12,0,12.7,23,2,0,0,0,9,13.6,1.5,0.0%
162,River Cracraft (WAS),7,9,0,9.4,16,0,0,0,0,5,13.6,2.7,0.0%
163,Michael Woods II (FA),7,17,0,9.3,16,0,0,0,0,5,13.5,2.7,0.0%
164,DJ Chark Jr. (FA),4,10,0,7.8,12,0,0,0,0,4,13.1,3.3,1.3%
165,Tay Martin (FA),1,2,0,49.0,49,1,0,0,0,1,11.9,11.9,0.0%
166,Scotty Miller (PIT),5,9,0,13.8,21,2,0,0,0,13,11.9,0.9,0.1%
167,Ben Skowronek (PIT),5,5,0,13.8,23,1,0,0,0,10,11.9,1.2,0.0%
168,Laviska Shenault Jr. (FA),5,5,1,7.2,18,0,0,1,2,10,10.7,1.1,0.0%
169,Jacob Cowing (SF),4,6,7,20.0,41,1,0,1,1,15,10.7,0.7,0.6%
170,Britain Covey (LAR),7,8,0,4.9,11,0,0,0,0,5,10.4,2.1,0.0%
171,Kristian Wilkerson (BUF),2,3,0,9.0,9,0,0,0,0,1,9.8,9.8,1.0%
172,Devontez Walker (BAL),1,3,0,21.0,21,1,0,0,0,7,9.1,1.3,0.6%
173,Tyquan Thornton (KC),4,8,0,11.8,17,0,0,0,0,4,8.7,2.2,0.6%
174,Treylon Burks (TEN),4,8,1,8.5,13,0,0,2,0,5,7.5,1.5,0.6%
175,Dee Eskridge (MIA),3,3,0,14.7,30,1,0,0,0,6,7.4,1.2,0.0%
176,Terrace Marshall Jr. (FA),3,6,0,13.7,28,1,0,0,0,5,7.1,1.4,1.0%
177,Tim Jones (MIN),3,5,0,13.7,20,1,0,0,0,8,7.1,0.9,0.0%
178,Nikko Remigio (KC),2,6,0,24.0,25,2,0,0,0,5,6.8,1.4,0.6%
179,Deven Thompkins (FA),4,4,7,5.0,12,0,0,2,0,5,6.7,1.3,0.0%
180,Dan Chisena (FA),3,4,0,12.3,23,1,0,0,0,6,6.7,1.1,0.0%
181,Cody White (SEA),2,3,0,22.0,28,1,0,0,0,4,6.4,1.6,0.0%
182,Xavier Smith (LAR),2,2,36,3.0,11,0,0,4,0,15,6.2,0.4,1.0%
183,Alex Bachman (LV),3,3,0,10.3,18,0,0,0,0,5,6.1,1.2,0.0%
184,Allen Robinson II (FA),3,7,0,10.0,21,1,0,0,0,6,6.0,1.0,1.4%
185,Ihmir Smith-Marsette (NYG),0,0,0,0,0,0,0,0,0,15,6.0,0.4,0.6%
186,David Bell (CLE),3,3,0,9.0,12,0,0,0,0,1,5.7,5.7,0.0%
187,Charlie Jones (CIN),1,1,0,5.0,5,0,0,0,1,8,5.5,0.7,0.6%
188,Jamari Thrash (CLE),3,7,0,7.3,11,0,0,0,0,9,5.2,0.6,0.7%
189,Malachi Corley (FA),3,6,26,5.3,10,0,0,2,1,7,5.2,0.7,0.8%
190,Trenton Irwin (JAC),3,10,0,5.0,6,0,0,0,0,6,4.5,0.8,0.0%
191,Ronnie Bell (DET),2,6,0,11.0,12,0,0,0,0,4,4.2,1.1,0.0%
192,Austin Trammell (JAC),2,3,0,20.0,22,1,0,0,1,1,4.0,4.0,0.0%
193,Mason Kinsey (TEN),2,2,0,8.5,11,0,0,0,0,6,3.7,0.6,0.0%
194,Anthony Gould (IND),1,1,0,23.0,23,1,0,0,0,8,3.3,0.4,1.0%
195,Isaiah Hodgins (SF),2,2,0,6.0,7,0,0,0,0,2,3.2,1.6,0.0%
196,James Proche II (TEN),3,3,0,7.0,14,0,0,0,1,9,3.1,0.3,0.0%
197,Grant DuBose (FA),2,4,0,5.5,13,0,0,0,0,2,3.1,1.6,0.0%
198,Chris Blair (ATL),1,2,0,17.0,17,0,0,0,0,3,2.7,0.9,0.0%
199,Isaiah Williams (CIN),2,3,0,3.0,4,0,0,0,0,8,2.6,0.3,0.0%
