Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,FL,G,FPTS,FPTS/G,ROST
333,Isaiah Bond (CLE),0,0,0,0,0,0,0,0,0,0,0,0,3.3%
334,KeAndre Lambert-Smith (LAC),0,0,0,0,0,0,0,0,0,0,0,0,2.1%
335,Brandon Smith (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
336,Avery Williams (PHI),0,0,0,0,0,0,0,0,0,17,0.0,0.0,0.6%
337,Skyy Moore (SF),0,3,0,0,0,0,0,0,0,6,0.0,0.0,2.0%
338,Xavier Weaver (ARI),0,2,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
339,Justin Shorter (LV),0,0,0,0,0,0,0,0,0,7,0.0,0.0,1.9%
340,Michael Bandy (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
341,Erik Ezukanma (FA),0,2,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
342,Lucky Jackson (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0.1%
343,Kazmeir Allen (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%
344,Elijah Cooks (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
345,Thayer Thomas (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
346,Jared Wayne (FA),0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
347,Kaden Prather (BUF),0,0,0,0,0,0,0,0,0,0,0,0,1.1%
348,Tetairoa McMillan (CAR),0,0,0,0,0,0,0,0,0,0,0,0,93.0%
349,Dylan Drummond (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
350,Shedrick Jackson (LV),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
351,Zavier Scott (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
352,Jason Brownlee (KC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
353,Jalen Cropper (DAL),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
354,Dennis Houston (TB),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
355,Kaden Davis (CLE),0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%
356,Tyreik McAllister (FA),0,0,11,0,0,0,0,2,0,2,0.0,0.0,1.0%
357,Irvin Charles (NYJ),0,1,0,0,0,0,0,0,0,11,0.0,0.0,1.1%
358,Maurice Alexander (CHI),0,0,0,0,0,0,0,0,0,2,0.0,0.0,1.0%
359,Bryce Ford-Wheaton (NYG),0,0,0,0,0,0,0,0,0,6,0.0,0.0,1.1%
360,Jordan Matthews (FA),0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
361,Patrick Edwards (DET),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
362,Malik Taylor (DET),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
363,Kenny McKinley (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
364,Nate Hughes (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
365,Mike Furrey (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
366,Marko Mitchell (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
367,Maurice Purify (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
368,Chris Henry (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
369,Bobby Wade (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
370,Demario Ballard (DET),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
371,Rod Harper (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
372,Sam Giguere (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
373,Deon Cain (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
374,Russell Gage Jr. (SF),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
375,Braxton Berrios (HOU),0,4,0,0,0,0,0,0,0,8,0.0,0.0,0.6%
376,Equanimeous St. Brown (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
377,Jamal Agnew (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
378,Zach Pascal (FA),0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
379,Justin Hardee Sr. (FA),0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
380,Cody Thompson (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
381,David Sills (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
382,Miles Boykin (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
383,Juwann Winfree (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
384,Quinton Bell (FA),0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.6%
385,Keith Kirkwood (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
386,Malik Turner (SF),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
387,Alex Erickson (FA),0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
388,Chris Moore (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
389,Laquon Treadwell (IND),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
390,Jermaine Jackson (FA),0,0,-1,0,0,0,0,1,0,4,-0.1,0.0,0.0%
391,Steven Sims Jr. (SEA),0,0,0,0,0,0,0,1,1,9,-2.0,-0.2,0.0%
392,Kadarius Toney (FA),0,1,-4,0,0,0,0,2,1,3,-2.4,-0.8,0.6%
393,Jha'Quan Jackson (FA),1,3,-5,8.0,8,0,0,1,2,12,-2.7,-0.2,0.0%
394,Dee Williams (NYG),0,0,0,0,0,0,0,0,3,13,-6.0,-0.5,1.1%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
