player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Nick Hampton,81162,ED,LA,3,0,26,0,1,0,0,0,0,50.0,1,0,0.0,0,0,0,0,66.7,2,3,1,25.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Brandon Stephens,45644,CB,BLT,17,0,3,0,0,0,0,0,0,50.0,2,1,50.0,1,1,0,0,0.6,4,677,1,25.0,0,0,0,0,50.0,2,0,0.0,0,0,0,1,1,0
Johnathan Abram,34646,S,NO,3,0,20,0,2,0,0,1,0,50.0,2,1,25.0,0,0,0,1,6.6,4,61,2,25.0,0,0,1,1,50.0,2,1,25.0,0,0,0,0,0,0
Kevin Byard,10698,S,CHI,17,0,6,0,1,0,0,1,0,30.0,3,2,50.0,1,1,0,0,1.8,10,559,3,25.0,0,0,0,0,70.0,7,1,14.3,1,1,0,2,2,0
Elijah Campbell,49190,S,MIA,11,0,17,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,3.9,2,51,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Keisean Nixon,56167,CB,GB,17,0,12,1,1,0,1,1,0,61.5,8,3,25.0,1,1,0,0,2.1,13,615,4,23.1,0,0,0,0,38.5,5,1,20.0,1,1,0,2,2,0
Antonio Johnson,124326,S,JAX,17,0,15,1,4,0,1,1,1,45.5,5,2,20.0,0,0,0,1,2.6,11,422,5,22.7,0,0,3,0,54.5,6,3,25.0,0,0,1,0,0,1
Marte Mapu,56159,S,NE,10,0,19,0,2,0,0,1,0,33.3,3,1,16.7,0,0,0,0,3.6,9,253,3,22.2,0,0,1,0,66.7,6,2,25.0,1,1,0,1,1,0
Shaq Lawson,10653,ED,CAR,1,0,5,0,3,0,0,2,0,28.6,2,2,50.0,0,0,0,0,100.0,7,7,3,21.4,0,0,1,0,71.4,5,1,10.0,0,0,0,0,0,0
Donovan Wilson,49408,S,DAL,17,0,9,1,7,0,0,5,0,58.5,24,9,27.1,4,4,0,1,7.6,42,552,13,21.4,0,1,1,1,41.5,17,3,11.8,1,2,1,5,6,1
D'Anthony Bell,111578,S,CLV,3,0,8,1,2,0,1,2,0,100.0,7,3,21.4,0,0,0,0,18.9,7,37,3,21.4,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Ja'Whaun Bentley,50966,LB,NE,2,0,19,0,1,0,0,0,0,71.4,5,0,0.0,0,0,0,0,16.3,7,43,2,21.4,0,0,1,0,28.6,2,2,75.0,1,0,0,1,0,0
Xavier McKinney,55775,S,GB,17,0,12,0,3,0,0,1,0,27.3,3,1,16.7,0,0,0,0,1.9,12,630,4,20.8,0,0,2,0,72.7,8,3,25.0,1,2,1,1,2,1
Oren Burks,50203,LB,PHI,7,0,24,0,2,0,0,1,0,60.0,3,1,16.7,0,0,0,0,6.1,5,82,2,20.0,0,0,1,0,40.0,2,1,25.0,0,0,0,0,0,0
Dell Pettus,97290,S,NE,14,0,19,0,0,0,0,0,0,60.0,3,0,0.0,0,0,0,0,2.5,5,201,1,20.0,0,0,0,0,40.0,2,1,50.0,1,1,0,1,1,0
Cooper DeJean,144867,CB,PHI,14,0,24,0,2,0,0,0,0,30.0,3,1,33.3,1,1,0,1,2.5,10,397,3,20.0,0,0,2,1,70.0,7,2,14.3,0,0,0,1,1,0
Tariq Woolen,61790,CB,SEA,15,0,29,1,1,0,1,1,0,60.0,3,2,33.3,0,0,0,0,1.0,5,520,2,20.0,0,0,0,0,40.0,2,0,0.0,0,0,0,0,0,0
Cole Bishop,146454,S,BUF,10,0,4,0,2,0,0,2,0,40.0,2,2,50.0,0,0,0,0,2.4,5,207,2,20.0,0,0,0,0,60.0,3,0,0.0,0,0,0,0,0,0
Jake Hummel,57879,LB,LA,5,0,26,0,2,0,0,2,0,80.0,4,2,25.0,0,0,0,0,11.9,5,42,2,20.0,0,0,0,0,20.0,1,0,0.0,0,0,0,0,0,0
D.J. Reed,26940,CB,NYJ,14,0,22,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.1,5,461,1,20.0,0,0,0,0,100.0,5,1,20.0,1,1,0,1,1,0
Jarvis Brownlee Jr.,99734,CB,TEN,17,0,31,0,2,0,0,1,1,60.0,3,1,16.7,0,0,0,1,1.0,5,482,2,20.0,0,0,1,0,40.0,2,1,25.0,0,0,0,0,0,0
Jeremiah Trotter Jr.,144142,LB,PHI,5,0,24,0,0,0,0,0,0,20.0,1,0,0.0,0,0,0,0,8.9,5,56,1,20.0,0,0,0,0,80.0,4,1,25.0,1,1,0,1,1,0
Eric Wilson,38587,LB,GB,17,0,12,2,5,0,0,4,0,38.5,10,4,20.0,0,0,0,0,9.8,29,296,9,19.0,0,1,1,0,61.5,16,4,18.8,2,2,0,2,2,0
Budda Baker,11791,S,ARZ,17,0,1,1,8,0,0,2,0,45.5,15,3,13.3,1,1,0,2,5.7,35,612,11,18.6,0,1,6,2,54.5,18,8,25.0,1,1,0,2,2,0
Devin Lloyd,58238,LB,JAX,16,0,15,1,5,0,1,1,0,34.8,8,4,37.5,2,2,1,1,5.9,27,455,8,18.5,0,0,2,1,65.2,15,2,6.7,0,0,1,2,2,2
Brian Branch,123907,S,DET,16,0,11,4,4,0,3,3,0,71.4,20,6,15.0,0,0,0,0,4.9,28,569,9,17.9,0,1,1,0,28.6,8,3,25.0,1,1,0,1,1,0
Geno Stone,55967,S,CIN,17,0,7,4,2,0,2,2,0,75.0,12,4,16.7,0,0,0,0,2.7,17,635,6,17.6,0,2,0,0,25.0,4,2,25.0,0,0,0,0,0,0
Antoine Winfield Jr.,42475,S,TB,9,0,30,2,5,0,0,3,0,40.6,13,4,19.2,1,1,0,0,10.0,32,319,9,17.2,0,2,2,0,59.4,19,5,15.8,1,2,2,2,3,2
Kyle Hamilton,102684,S,BLT,17,0,3,4,6,0,3,3,0,53.8,21,6,14.3,0,0,0,0,6.3,41,655,12,17.1,0,1,3,0,46.2,18,5,16.7,1,1,0,2,2,0
Kaiir Elam,98693,CB,BUF,8,0,4,0,1,0,0,1,0,66.7,2,1,25.0,0,0,0,0,1.6,3,187,1,16.7,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0,0
Christian Gonzalez,131679,CB,NE,16,0,19,1,0,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0.6,3,526,1,16.7,0,1,0,0,33.3,1,1,50.0,0,0,0,0,0,0
Tarheeb Still,129537,CB,LAC,14,0,27,0,0,0,0,0,0,50.0,3,1,33.3,1,1,0,0,1.2,6,483,1,16.7,0,0,0,0,50.0,3,0,0.0,0,0,0,1,1,0
Denzel Perryman,9481,LB,LAC,11,0,27,2,2,0,1,2,0,55.6,10,3,15.0,0,0,0,0,10.2,18,177,5,16.7,0,1,0,0,44.4,8,2,18.8,1,1,0,1,1,0
Ja'Sir Taylor,55426,CB,LAC,14,0,27,1,3,0,1,1,0,58.3,7,2,14.3,0,0,0,0,4.5,12,265,4,16.7,0,0,2,0,41.7,5,2,20.0,0,0,0,0,0,0
Josh Blackwell,55589,CB,CHI,6,0,6,0,2,0,0,0,0,50.0,3,0,0.0,0,0,0,1,7.5,6,80,2,16.7,0,0,2,1,50.0,3,2,33.3,0,0,0,0,0,0
Natrone Brooks,121449,CB,ATL,5,0,2,1,0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,10.7,3,28,1,16.7,0,1,0,0,66.7,2,1,25.0,0,0,0,0,0,0
Denzel Ward,49558,CB,CLV,16,0,8,1,0,0,1,0,0,100.0,3,1,16.7,0,0,0,0,0.7,3,423,1,16.7,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Garrett Williams,99723,CB,ARZ,16,0,1,0,3,0,0,2,0,22.2,2,2,50.0,0,0,0,0,1.8,9,496,3,16.7,0,0,1,0,77.8,7,1,7.1,0,0,0,0,0,0
Khalid Duke,99387,ED,TEN,1,0,31,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,3,3,1,16.7,0,1,0,0,100.0,3,1,16.7,0,0,0,0,0,0
Raekwon McMillan,11809,LB,TEN,8,0,31,0,2,0,0,1,0,33.3,2,1,25.0,0,0,0,0,5.0,6,121,2,16.7,0,0,1,0,66.7,4,1,12.5,0,0,0,0,0,0
Caleb Farley,61803,CB,CAR,6,0,5,0,1,0,0,1,0,66.7,2,1,25.0,0,0,0,0,3.2,3,93,1,16.7,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0,0
Dyontae Johnson,77568,LB,NYG,1,0,21,0,1,0,0,1,0,100.0,3,1,16.7,0,0,0,0,14.3,3,21,1,16.7,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Pat Surtain II,83119,CB,DEN,16,0,10,0,1,0,0,1,0,33.3,1,1,50.0,0,0,0,0,0.5,3,600,1,16.7,0,0,0,0,66.7,2,0,0.0,0,0,0,0,0,0
Marlon Humphrey,11771,CB,BLT,16,1,3,3,5,1,1,1,1,40.6,13,3,15.4,1,1,0,1,5.6,32,567,9,15.6,0,2,4,0,59.4,19,6,15.8,0,1,1,1,2,1
Kaden Elliss,51485,LB,ATL,17,0,2,12,24,0,6,13,1,54.3,75,23,18.0,4,4,0,3,22.9,147,641,41,15.6,0,6,8,2,45.7,63,15,12.7,1,2,1,5,6,1
Junior Colson,124827,LB,LAC,10,0,27,1,3,0,0,1,1,50.0,5,1,10.0,0,0,0,1,10.1,13,129,4,15.4,0,1,1,0,50.0,5,2,20.0,0,0,0,0,0,0
Kamren Curl,55800,S,LA,16,0,26,0,6,0,0,2,0,52.0,13,2,7.7,0,0,0,0,4.8,26,543,7,15.4,0,0,4,0,48.0,12,4,16.7,0,0,0,1,1,0
Eric Murray,10740,S,HST,17,0,13,1,1,0,1,0,0,50.0,5,1,10.0,0,0,0,0,2.6,13,503,3,15.4,0,0,1,0,50.0,5,2,30.0,1,1,1,1,1,1
Beanie Bishop Jr.,83459,CB,PIT,16,0,25,0,2,0,0,2,0,61.5,8,2,12.5,0,0,0,0,3.7,13,354,3,15.4,0,0,0,0,38.5,5,1,20.0,1,1,0,1,1,0
Jack Gibbens,57662,LB,TEN,8,0,31,0,1,0,0,1,0,50.0,4,2,37.5,1,0,0,0,7.7,10,130,2,15.0,0,0,0,0,50.0,4,0,0.0,0,0,0,1,0,1
Isaiah Oliver,50393,S,NYJ,17,0,22,1,3,0,1,3,1,50.0,10,4,20.0,0,0,0,1,6.0,20,331,5,15.0,0,0,0,0,50.0,10,1,10.0,1,1,0,1,1,0
Trent McDuffie,72191,CB,KC,16,0,16,3,3,0,1,2,0,50.0,10,3,15.0,0,0,0,0,3.3,20,613,6,15.0,0,2,1,0,50.0,10,3,15.0,0,0,0,0,0,0
Edgerrin Cooper,124311,LB,GB,14,0,12,2,4,0,0,2,0,60.0,24,4,12.5,2,1,0,2,16.3,47,288,10,14.9,0,1,2,2,40.0,16,4,15.6,1,1,0,4,3,0
Tyrice Knight,122025,LB,SEA,12,0,29,2,5,0,0,4,0,67.6,23,4,8.7,0,0,0,0,12.6,37,294,9,14.9,0,2,1,0,32.4,11,3,13.6,0,0,0,2,2,0
Aidan Hutchinson,82330,ED,DET,5,0,11,8,29,0,6,22,1,70.0,126,35,16.7,7,7,0,2,97.3,180,185,45,14.7,0,2,7,1,30.0,54,10,10.2,1,1,0,8,8,0
Jordyn Brooks,50851,LB,MIA,17,0,17,3,14,0,1,9,1,52.9,37,12,18.9,2,2,0,1,11.8,72,608,19,14.6,0,1,5,0,47.1,33,6,9.1,0,0,0,2,2,0
Jeremiah Owusu-Koramoah,58089,LB,CLV,8,0,8,0,9,0,0,7,1,51.0,25,9,22.0,2,2,0,2,21.1,52,247,12,14.4,0,0,2,1,49.0,24,3,8.3,1,1,1,3,3,1
Derwin James Jr.,51368,S,LAC,16,0,27,0,9,0,0,4,1,53.4,39,7,12.8,3,2,0,2,12.4,73,587,15,14.4,0,0,5,1,46.6,34,8,16.2,3,3,0,6,5,0
Jack Sanborn,82566,LB,CHI,16,0,6,2,2,0,0,0,0,52.4,11,1,9.1,1,1,0,0,26.6,21,79,5,14.3,0,2,2,0,47.6,10,4,20.0,0,0,0,1,1,0
Devin White,43089,LB,HST,7,0,13,0,4,0,0,2,1,38.5,5,2,20.0,0,0,0,2,13.6,14,103,4,14.3,0,0,2,1,61.5,8,2,12.5,0,0,0,0,0,0
Daryl Worley,10711,S,TEN,8,0,31,0,2,0,0,0,0,28.6,2,0,0.0,0,0,0,1,3.1,7,224,2,14.3,0,0,2,1,71.4,5,2,20.0,0,0,0,0,0,0
Kamari Lassiter,146727,CB,HST,14,0,13,0,2,0,0,0,0,28.6,2,0,0.0,0,0,0,1,1.5,7,459,2,14.3,0,0,2,1,71.4,5,2,20.0,0,0,0,0,0,0
Matt Milano,11918,LB,BUF,4,0,4,2,0,0,1,0,0,71.4,5,1,10.0,0,0,0,0,8.0,7,87,2,14.3,0,1,0,0,28.6,2,1,25.0,0,0,0,0,0,0
Chamarri Conner,76662,CB,KC,15,0,16,5,2,0,0,0,0,28.1,9,1,11.1,1,1,0,0,8.2,32,389,8,14.1,0,5,2,0,71.9,23,7,15.2,0,0,0,1,1,0
Ivan Pace Jr.,53587,LB,MIN,11,1,18,4,11,1,1,8,1,54.4,37,11,17.6,2,3,1,2,30.6,68,222,17,14.0,0,3,3,1,45.6,31,6,9.7,0,0,0,2,3,1
Christian Roland-Wallace,97374,CB,KC,8,0,16,2,3,0,1,2,0,66.7,12,3,12.5,0,0,1,0,13.0,18,138,5,13.9,0,1,1,0,33.3,6,2,16.7,0,0,0,0,0,1
P.J. Locke,51189,S,DEN,15,0,10,0,4,0,0,0,0,10.7,3,0,0.0,0,0,0,0,4.6,29,628,6,13.8,0,0,4,0,89.3,25,6,16.0,2,1,0,2,1,0
Bobby Wagner,7050,LB,WAS,17,0,32,6,16,0,2,9,0,54.3,44,12,14.8,1,0,0,0,16.7,95,570,24,13.7,0,4,4,0,45.7,37,9,13.5,1,2,1,2,2,1
Khalid Kareem,42993,ED,ATL,2,0,2,0,3,0,0,3,0,81.8,9,3,16.7,0,0,0,0,78.6,11,14,3,13.6,0,0,0,0,18.2,2,0,0.0,0,0,0,0,0,0
Amani Hooker,51378,S,TEN,14,0,31,1,2,0,1,2,0,81.8,9,3,16.7,0,0,0,0,2.5,11,447,3,13.6,0,0,0,0,18.2,2,0,0.0,0,0,0,0,0,0
Zaire Franklin,49834,LB,IND,17,0,14,1,10,0,1,4,2,67.6,25,6,14.0,1,1,0,2,7.8,48,612,12,13.5,0,0,3,0,32.4,12,3,12.5,0,0,0,1,1,0
Omar Speights,97723,LB,LA,10,0,26,0,4,0,0,3,1,66.7,10,3,15.0,0,0,0,1,7.4,15,203,4,13.3,0,0,1,0,33.3,5,1,10.0,0,0,0,0,0,0
Jalen Ramsey,10639,CB,MIA,17,1,17,2,8,1,1,7,2,66.7,30,9,16.7,1,1,0,3,7.4,45,612,11,13.3,0,1,1,1,33.3,15,2,6.7,0,0,0,1,1,0
Dane Belton,101398,S,NYG,14,0,21,0,2,0,0,2,0,46.7,7,3,28.6,1,1,0,0,5.8,15,260,3,13.3,0,0,0,0,53.3,8,0,0.0,0,0,0,1,1,0
Jalen Thompson,49116,S,ARZ,15,0,1,2,3,0,1,1,0,63.2,12,2,8.3,0,0,0,0,3.5,19,536,5,13.2,0,1,2,0,36.8,7,3,21.4,0,0,0,0,0,0
Quay Walker,82547,LB,GB,13,0,12,0,11,0,0,3,0,46.0,23,4,10.9,1,1,0,0,14.7,65,443,14,13.1,0,0,3,0,54.0,27,4,9.3,1,1,1,3,3,1
DeMarvion Overshown,76729,LB,DAL,13,0,9,1,12,0,1,3,1,58.0,40,5,7.5,1,1,0,1,18.6,73,393,16,13.0,0,0,8,0,42.0,29,10,20.7,2,2,1,3,3,1
Ja'Quan McMillian,100931,CB,DEN,17,0,10,1,6,0,1,4,1,42.9,15,5,16.7,0,0,0,2,5.8,35,602,8,12.9,0,0,2,1,57.1,20,3,10.0,1,1,1,1,1,1
Micah McFadden,81246,LB,NYG,14,0,21,2,5,0,2,2,0,45.7,16,4,12.5,0,0,0,1,11.0,35,317,8,12.9,0,0,3,1,54.3,19,4,13.2,1,1,0,1,1,0
T.J. Edwards,30737,LB,CHI,17,0,6,2,9,0,1,6,1,47.5,29,9,19.0,2,2,0,1,12.0,67,558,14,12.7,0,1,3,0,52.5,32,5,9.4,1,1,0,3,3,0
Zyon McCollum,66769,CB,TB,17,0,30,0,1,0,0,1,0,100.0,4,1,12.5,0,0,0,0,0.6,4,680,1,12.5,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Troy Dye,28251,LB,LAC,14,0,27,0,0,0,0,0,0,37.5,6,1,16.7,1,0,0,0,9.5,16,168,2,12.5,0,0,0,0,62.5,10,1,10.0,1,1,0,2,1,0
Chris Board,29456,LB,BLT,8,0,3,0,0,0,0,0,0,37.5,3,0,0.0,0,0,0,0,8.0,8,100,1,12.5,0,0,0,0,62.5,5,1,20.0,1,1,0,1,1,0
Quan Martin,83236,S,WAS,16,0,32,1,0,0,1,0,0,75.0,3,1,16.7,0,0,0,0,0.8,4,511,1,12.5,0,0,0,0,25.0,1,0,0.0,0,0,0,0,0,0
Kerby Joseph,83239,S,DET,17,0,11,1,0,0,1,0,1,75.0,3,1,16.7,0,0,0,1,0.6,4,682,1,12.5,0,0,0,0,25.0,1,0,0.0,0,0,0,0,0,0
Mike Hughes,34057,CB,ATL,15,0,2,0,1,0,0,0,0,25.0,1,0,0.0,0,0,0,0,0.9,4,427,1,12.5,0,0,1,0,75.0,3,1,16.7,0,0,0,0,0,0
Elandon Roberts,10848,LB,PIT,17,0,25,2,6,0,2,2,0,70.6,24,5,12.5,1,1,0,0,19.5,40,205,9,12.5,0,0,2,0,29.4,10,2,10.0,0,0,0,1,1,0
Devin Bush,27375,LB,CLV,15,0,8,1,6,0,0,3,0,56.5,13,3,11.5,0,0,0,0,13.2,28,212,7,12.5,0,0,2,0,43.5,10,2,10.0,0,0,0,0,0,0
Cor'Dale Flott,98834,CB,NYG,14,0,21,0,1,0,0,1,0,75.0,3,1,16.7,0,0,0,0,1.2,4,339,1,12.5,0,0,0,0,25.0,1,0,0.0,0,0,0,0,0,0
Sauce Gardner,100903,CB,NYJ,15,0,22,0,1,0,0,1,0,75.0,3,1,16.7,0,0,0,0,0.9,4,447,1,12.5,0,0,0,0,25.0,1,0,0.0,0,0,0,0,0,0
Brenden Schooler,28253,S,NE,7,0,19,0,0,0,0,0,0,62.5,5,1,20.0,1,1,0,0,19.5,8,41,1,12.5,0,0,0,0,37.5,3,0,0.0,0,0,0,1,1,0
Tyrann Mathieu,7850,S,NO,17,0,20,0,2,0,0,2,0,87.5,7,2,14.3,0,0,0,0,1.4,8,588,2,12.5,0,0,0,0,12.5,1,0,0.0,0,0,0,0,0,0
Amari Burney,83811,LB,LV,10,0,23,0,2,0,0,1,0,66.7,10,1,5.0,0,0,0,0,28.1,16,57,3,12.5,0,0,1,0,33.3,5,1,10.0,0,1,1,1,2,1
Joe Bachie,43250,LB,CIN,8,0,7,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,18.2,4,22,1,12.5,0,0,1,0,100.0,4,1,12.5,0,0,0,0,0,0
