POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
57th of 116,Kair Elam,CB,20,64.5,78.6,76.6,61.4,359,127,3,229,24.3,A,"6'1""",191,-,FLORIDA,2022,1,3,,,,
-,C.J. Goodwin,CB,29,61.4,60.0,60.0,60.2,5,3,1,1,35.5,A,"6'3""",190,-,CALU,2014,-,-,,,,
-,Markquese Bell,CB,14,51.6,57.4,-,63.2,34,28,-,6,26.6,A,"6'3""",205,-,FL A&M,2022,-,-,,,,
-,Troy Pride Jr.,CB,32,64.6,69.9,-,62.4,58,16,-,42,27.5,A,"6'0""",193,-,NOTRE DAME,2020,4,113,,,,
33rd of 116,DaRon Bland,CB,26,70.1,55.1,-,71.4,436,146,-,290,26.1,A,"6'0""",197,-,FRESNO ST,2022,5,167,,,,
-,Andrew Booth Jr.,CB,25,35.6,79.5,-,28.7,118,56,-,62,24.9,A,"6'0""",194,-,CLEMSON,2022,2,42,,,,
91st of 116,Trevon Diggs,CB,7,56.6,43.9,60.0,60.3,683,294,0,389,27.9,A,"6'2""",195,-,ALABAMA,2020,2,51,,,,
-,Alijah Clark,S,38,-,-,-,-,-,-,-,-,-,-,-,-,22.1,A,"6'1""",187,-,SYRACUSE,2025,-,-
-,Zion Childress,S,48,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'1""",195,-,KENTUCKY,2025,-,-
-,Mike Smith Jr.,S,39,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'1""",206,-,E KENTUCKY,2025,-,-
54th of 98,Donovan Wilson,S,6,63.7,69.7,69.9,59.0,1008,415,44,549,30.5,A,"6'0""",204,-,TEXAS A&M,2019,6,213,,,,
43rd of 98,Malik Hooker,S,28,65.3,77.8,62.0,57.8,1062,427,7,628,27.3,A,"6'2""",212,-,OHIO STATE,2017,1,15,,,,
-,Juanyeh Thomas,S,2,56.1,46.9,56.3,61.8,93,46,2,45,25.1,A,"6'1""",217,-,GA TECH,2022,-,-,,,,
-,Darius Harris,LB,47,-,-,-,-,-,-,-,-,-,-,-,-,29.6,A,"6'2""",232,-,MIDDLE TN,2019,-,-
