Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value,Is Rookie,Data Status
209,Tyler Bass,BUF,K,9,7,205.63,145.67,,No,Partial Data
124,Los Angeles Rams DST,LAR,DST,8,8,169.0,105.35,,No,Partial Data
211,Seattle Seahawks DST,SEA,DST,10,8,,102.17,,No,Partial Data
212,Kansas City Chiefs DST,KC,DST,11,10,,100.69,,No,Partial Data
213,Evan McPherson,CIN,K,10,10,236.7,143.65,,No,Partial Data
214,Ka'imi Fairbairn,HOU,K,11,6,193.52,138.76,,No,Partial Data
215,Chris Boswell,PIT,K,12,5,189.81,144.21,,No,Partial Data
125,Los Angeles Chargers DST,LAC,DST,9,12,169.0,96.74,,No,Partial Data
111,Dak Prescott,DAL,QB,12,10,115.5,240.79,7,No,Complete
218,Bryce Young,CAR,QB,22,14,153.75,233.71,,No,Partial Data
219,Tua Tagovailoa,MIA,QB,23,12,149.28,239.32,1,No,Partial Data
220,Hunter Henry,NE,TE,21,14,178.06,131.44,2,No,Partial Data
221,Zach Ertz,WAS,TE,22,12,169.0,130.34,1,No,Partial Data
126,Geno Smith,LV,QB,15,8,169.0,239.47,,No,Partial Data
214,Mason Taylor,NYJ,TE,29,9,170.0,128.23,,No,Partial Data
215,Darren Waller,MIA,TE,30,12,170.0,131.96,,No,Partial Data
115,Mike Gesicki,CIN,TE,12,10,168.4,128.03,1,No,Complete
226,Cam Ward,TEN,QB,25,10,158.0,236.56,1,No,Partial Data
227,Pat Freiermuth,PIT,TE,26,5,181.63,114.09,2,No,Partial Data
216,Ja'Tavion Sanders,CAR,TE,31,14,170.0,109.39,,No,Partial Data
387,Daniel Jones,IND,QB,45,11,170.1,203.27,,No,Partial Data
230,Aaron Rodgers,PIT,QB,27,5,189.76,230.8,1,No,Partial Data
120,Sam Darnold,SEA,QB,14,8,168.8,230.25,,No,Partial Data
232,Green Bay Packers DST,GB,DST,13,5,,106.24,,No,Partial Data
233,San Francisco 49ers DST,SF,DST,14,14,,113.68,,No,Partial Data
131,Cade Otton,TB,TE,13,9,169.3,105.88,1,No,Complete
235,Jake Elliott,PHI,K,13,9,204.93,148.36,,No,Partial Data
127,Will Reichard,MIN,K,6,6,169.1,131.4,,No,Partial Data
217,Tyler Conklin,LAC,TE,32,12,170.0,84.85,,No,Partial Data
238,Dallas Cowboys DST,DAL,DST,15,10,,105.24,,No,Partial Data
239,Matthew Stafford,LAR,QB,29,8,179.24,235.9,1,No,Partial Data
218,Theo Johnson,NYG,TE,33,14,170.0,102.89,,No,Partial Data
219,Juwan Johnson,NO,TE,34,11,170.0,101.13,1,No,Complete
140,Elijah Arroyo,SEA,TE,14,8,169.5,129.8,,No,Partial Data
151,Russell Wilson,NYG,QB,17,14,169.7,210.46,,No,Partial Data
244,Jack Bech,LV,WR,84,8,201.62,99.65,1,No,Partial Data
388,Kenneth Gainwell,PIT,RB,97,5,170.1,57.1,,No,Partial Data
108,Austin Ekeler,WAS,RB,34,12,113.5,65.63,2,No,Complete
