Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value,Is Rookie,Data Status
339,Noah Fant,CIN,TE,47,10,170.0,47.7,,No,Partial Data
155,New Orleans Saints DST,NO,DST,17,11,169.7,95.95,,No,Partial Data
340,Jarrett Stidham,DEN,QB,41,12,170.0,29.45,,No,Partial Data
341,Charlie Kolar,BAL,TE,48,7,170.0,19.68,,No,Partial Data
342,Clyde Edwards-Helaire,NO,RB,85,11,170.0,12.23,,No,Partial Data
343,David Moore,CAR,WR,133,14,170.0,0.0,,No,Insufficient Data
144,Jacksonville Jaguars DST,JAX,DST,14,8,169.5,102.87,,No,Partial Data
344,Trey Sermon,PIT,RB,86,5,170.0,23.31,,No,Partial Data
345,Xavier Smith,LAR,WR,134,8,170.0,1.59,,No,Partial Data
346,Ainias Smith,PHI,WR,135,9,170.0,7.16,,No,Partial Data
149,Las Vegas Raiders DST,LV,DST,15,8,169.6,96.38,,No,Partial Data
347,LaJohntay Wester,BAL,WR,136,7,170.0,8.18,,No,Partial Data
348,Michael Carter,ARI,RB,87,8,170.0,21.28,,No,Partial Data
195,Matthew Wright,CAR,K,17,14,169.9,129.37,,No,Partial Data
349,Bryce Oliver,TEN,WR,137,10,170.0,14.44,,No,Partial Data
350,Jaret Patterson,LAC,RB,88,12,170.0,10.64,,No,Partial Data
156,Graham Gano,NYG,K,11,14,169.7,133.53,,No,Partial Data
196,Darnell Washington,PIT,TE,28,5,169.9,23.28,,No,Partial Data
477,Trent Sherfield,DEN,WR,177,12,,9.43,,No,Partial Data
166,Tennessee Titans DST,TEN,DST,18,10,169.8,97.24,,No,Partial Data
479,Andres Borregales,NE,K,31,14,300,129.32,,No,Partial Data
480,Beaux Collins,NYG,WR,178,14,,34.61,,No,Partial Data
351,Nick Mullens,JAX,QB,42,8,170.0,7.67,,No,Partial Data
352,Colby Parkinson,LAR,TE,49,8,170.0,21.82,,No,Partial Data
353,Tez Johnson,TB,WR,138,9,170.0,0.0,,Yes,Insufficient Data
354,Jalen Reagor,LAC,WR,139,12,170.0,0.0,,No,Insufficient Data
355,Terrell Jennings,NE,RB,89,14,170.0,0.0,,No,Insufficient Data
136,Carolina Panthers DST,CAR,DST,12,14,169.4,90.01,,No,Partial Data
356,Julian Hill,MIA,TE,50,12,170.0,35.09,,No,Partial Data
357,Ja'Lynn Polk,NE,WR,140,14,170.0,0.0,,Yes,Insufficient Data
358,Phil Mafah,DAL,RB,90,10,170.0,16.81,,No,Partial Data
359,Dominic Lovett,DET,WR,141,8,170.0,4.08,,No,Partial Data
197,Joshua Dobbs,NE,QB,26,14,169.9,18.5,,No,Partial Data
360,Nick Folk,NYJ,K,19,9,170.0,133.77,,No,Partial Data
361,Malik Heath,GB,WR,142,5,170.0,0.0,,Yes,Insufficient Data
198,Andy Dalton,CAR,QB,27,14,169.9,5.21,,No,Partial Data
362,Kene Nwangwu,NYJ,RB,91,9,170.0,3.0,,No,Partial Data
363,Alex Bachman,LV,WR,143,8,170.0,13.27,,No,Partial Data
364,Adam Trautman,DEN,TE,51,12,170.0,23.2,,No,Partial Data
365,Tyrell Shavers,BUF,WR,144,7,170.0,0.0,,Yes,Insufficient Data
410,Dare Ogunbowale,HOU,RB,110,6,170.1,4.36,,No,Partial Data
366,Lil'Jordan Humphrey,NYG,WR,145,14,170.0,24.7,,No,Partial Data
367,Aidan O'Connell,LV,QB,43,8,170.0,40.96,,No,Partial Data
368,Teddy Bridgewater,TB,QB,44,9,170.0,25.03,,No,Partial Data
503,Zavier Scott,MIN,RB,127,6,,0.0,,No,Insufficient Data
369,Kevin Austin Jr.,NO,WR,146,11,170.0,22.74,,No,Partial Data
370,Drew Sample,CIN,TE,52,10,170.0,41.82,,No,Partial Data
506,Josh Williams,TB,RB,128,9,,0.0,,No,Insufficient Data
371,Elijah Higgins,ARI,TE,53,8,170.0,44.66,,No,Partial Data
199,Efton Chism III,NE,WR,64,14,169.9,0.0,,No,Insufficient Data
372,Simi Fehoko,ARI,WR,147,8,170.0,19.25,,No,Partial Data
373,David Sills V,ATL,WR,148,5,170.0,7.08,,No,Partial Data
374,Erik Ezukanma,MIA,WR,149,12,170.0,21.58,,No,Partial Data
375,Mitchell Tinsley,CIN,WR,150,10,170.0,0.0,,No,Insufficient Data
