Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,FL,G,FPTS,FPTS/G,ROST
109,David Martin-Robinson (TEN),1,2,0,6.0,6,0,0,0,0,5,1.6,0.3,0.0%
110,Jody Fortson Jr. (FA),1,3,0,5.0,5,0,0,0,0,3,1.5,0.5,0.0%
111,Zach Davidson (BUF),1,2,0,5.0,5,0,0,0,0,3,1.5,0.5,1.0%
112,Ross Dwelley (FA),1,1,0,5.0,5,0,0,0,0,4,1.5,0.4,0.0%
113,Marcedes Lewis (FA),1,2,0,2.0,2,0,0,0,0,6,1.2,0.2,0.0%
114,John FitzPatrick (GB),1,1,0,2.0,2,0,0,0,0,9,1.2,0.1,0.0%
115,Stevo Klotz (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
116,Patrick Herbert (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
117,Jermaine Terry II (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
118,Drake Dabney (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
119,Maximilian Mang (IND),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
120,Mitchell Wilcox (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
121,Nick Kallerup (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
122,Stephen Sullivan (FA),0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
123,Lawrence Cager (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
124,Tyler Mabry (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
125,Sean McKeon (IND),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
126,Ben Yurosek (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
127,Giovanni Ricci (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
128,Mitchell Fraboni (DEN),0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
129,Parker Hesse (FA),0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
130,Matt Orzech (GB),0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
131,Scotty Washington (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
132,John Copenhaver (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
133,Zach Horton (DET),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
134,Marshall Lang (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
135,JJ Galbreath (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
136,Feleipe Franks (ATL),1,3,0,12.0,12,0,0,0,0,9,0.0,0.0,0.0%
137,Brayden Willis (SF),0,2,0,0,0,0,0,0,0,9,0.0,0.0,0.0%
138,Brady Russell (SEA),0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
139,Travis Vokolek (ARI),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
140,Princeton Fant (FA),0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
141,Jake Tonges (SF),0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
142,Rodney Williams (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
143,Zaire Mitchell-Paden (BAL),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
144,Zack Kuntz (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.5%
145,Thomas Odukoya (TEN),0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%
146,Oronde Gadsden II (LAC),0,0,0,0,0,0,0,0,0,0,0,0,2.3%
147,Mason Pline (NO),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
148,Thomas Yassmin (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
149,Shawn Bowman (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
150,Colson Yankoff (WAS),0,0,0,0,0,0,0,0,0,4,0.0,0.0,1.1%
151,Hayden Rucci (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
152,Geor'Quarius Spivey (KC),0,0,0,0,0,0,0,0,0,0,0,0,1.2%
153,Harold Fannin Jr. (CLE),0,0,0,0,0,0,0,0,0,0,0,0,3.3%
154,Gunnar Helm (TEN),0,0,0,0,0,0,0,0,0,0,0,0,1.6%
155,Mitchell Evans (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0.6%
156,Keleki Latu (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
157,Steven Stilianos (DET),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
158,Bryson Nesbit (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
159,Gavin Bartholomew (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0.1%
160,Caden Prieskorn (DEN),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
161,Mason Taylor (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,12.9%
162,Colston Loveland (CHI),0,0,0,0,0,0,0,0,0,0,0,0,81.4%
163,Messiah Swinson (GB),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
164,Tanner McLachlan (CIN),0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
165,Tyler Warren (IND),0,0,0,0,0,0,0,0,0,0,0,0,87.6%
166,Jack Westover (NE),0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
167,Brenden Bates (CLE),0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
168,Terrance Ferguson (LAR),0,0,0,0,0,0,0,0,0,0,0,0,3.5%
169,Moliki Matavao (NO),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
170,Gee Scott Jr. (NE),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
171,Baylor Cupp (FA),0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
172,James Mitchell (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
173,Mark Redman (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
174,Jackson Hawes (BUF),0,0,0,0,0,0,0,0,0,0,0,0,1.1%
175,Caleb Lohner (DEN),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
176,Jalin Conyers (MIA),0,0,0,0,0,0,0,0,0,0,0,0,1.2%
177,Jake Briningstool (KC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
178,Robbie Ouzts (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0.1%
179,Luke Lachey (HOU),0,0,0,0,0,0,0,0,0,0,0,0,1.1%
180,Carter Runyon (LV),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
181,Elijah Arroyo (SEA),0,0,0,0,0,0,0,0,0,0,0,0,10.6%
182,Thomas Fidone II (NYG),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
183,Leroy Watson IV (FA),0,0,0,0,0,0,0,0,0,3,0.0,0.0,1.0%
184,Cameron Latu (PHI),0,0,0,0,0,0,0,0,0,0,0,0,1.2%
185,Ko Kieft (TB),0,0,0,0,0,0,0,0,0,17,0.0,0.0,0.0%
186,Nick Muse (FA),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
187,Teagan Quitoriano (ATL),0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
188,Cole Turner (WAS),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
189,Joshua Simon (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
190,Justin Shorter (LV),0,0,0,0,0,0,0,0,0,7,0.0,0.0,1.9%
