"POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#"
"9th of 9,Scott Matlock,FB,44,39.6,-,-,53.6,51.8,36.5,379,-,-,55,66,258,25.1,A,6'4"
"-,Tucker Fisk,TE,42,63.8,-,-,54.7,76.3,63.6,218,-,-,60,22,136,0.0,A,6'4"
"-,Thomas Yassmin,TE,49,-,-,-,-,-,-,-,-,-,-,-,-,24.8,A,6'5"
"-,Oronde Gadsden II,TE,86,-,-,-,-,-,-,-,-,-,-,-,-,22.1,A,6'5"
"-,Steve Klotz,TE,41,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4"
"46th of 74,Tyler Conklin,TE,83,58.8,-,60.0,61.4,78.8,42.9,806,-,1,529,29,247,30.0,A,6'3"
"24th of 74,Will Dissly,TE,89,67.2,-,-,68.1,70.3,62.0,579,-,-,337,27,215,29.1,A,6'4"
"-,Josh Kaltenberger,C,63,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6"
"33rd of 40,Andre James,C,78,55.6,-,-,-,65.4,50.2,702,-,-,-,448,254,28.3,A,6'4"
"29th of 40,Bradley Bozeman,C,75,61.0,-,-,-,51.4,64.8,1112,-,-,-,669,443,30.7,A,6'5"
"-,Karsen Barnhart,G,61,-,-,-,-,-,-,-,-,-,-,-,-,24.4,A,6'5"
"-,Nash Jones,G,62,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5"
"20th of 77,Mekhi Becton,G,73,70.8,-,-,-,60.5,70.3,1158,-,-,-,570,588,26.3,A,6'7"
"65th of 77,Jamaree Salyer,G,68,54.3,-,-,-,51.4,57.0,395,-,-,-,214,181,25.1,A,6'4"
"38th of 77,Zion Johnson,G,77,64.4,-,-,-,62.4,63.5,1102,-,-,-,660,442,25.7,A,6'3"
"-,Savion Washington,T,00,-,-,-,-,-,-,-,-,-,-,-,-,0.0,RFUP,6'9"
"-,David Sharpe,T,72,-,-,-,-,-,-,-,-,-,-,-,-,29.8,A,6'6"
"-,Ryan Nelson,T,74,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6"
"-,Corey Stewart,T,65,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6"
"-,Branson Taylor,T,71,-,-,-,-,-,-,-,-,-,-,-,-,23.5,A,6'6"
"24th of 81,Joe Alt,T,76,75.9,-,-,-,78.1,69.5,1066,-,-,-,641,425,22.4,A,6'8"
"53rd of 77,Trey Pipkins III,T,79,57.8,-,-,-,49.7,63.7,838,-,-,-,521,317,28.9,A,6'6"
