"POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#"
"17th of 77,Dylan Parham,G,66,74.3,-,-,-,67.5,75.6,882,-,-,-,591,291,26.0,A,6'3"
"-,Dalton Wagner,T,78,-,-,-,-,-,-,-,-,-,-,-,-,26.8,A,6'8"
"-,Parker Clements,T,70,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'7"
"-,Charles Grant,T,60,-,-,-,-,-,-,-,-,-,-,-,-,23.4,A,6'4"
"46th of 81,DJ Glaze,T,71,66.1,-,-,-,61.9,68.4,998,-,-,-,665,333,23.0,A,6'5"
"-,Thayer Munford Jr.,T,77,45.9,-,-,58.7,46.6,45.3,201,-,-,2,123,76,25.9,A,6'6"
"13th of 81,Kolton Miller,T,74,80.6,-,-,-,82.2,71.7,1075,-,-,-,716,359,29.9,A,6'8"
"-,Gottlieb Ayedze,T,72,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5"
"-,Kyu Blu Kelly,CB,36,49.4,62.3,58.7,46.6,14,5,1,8,24.2,A,6'0"
"-,Sam Webb,CB,27,66.6,60.3,-,63.8,13,9,-,4,27.2,A,6'0"
"-,Greedy Vance Jr.,CB,41,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11"
"-,John Humphrey,CB,39,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2"
"-,Darien Porter,CB,26,-,-,-,-,-,-,-,-,-,-,-,-,24.6,A,6'4"
"-,Darnay Holmes,CB,30,54.1,70.7,61.4,49.5,298,75,19,204,27.1,A,5'10"
"114th of 116,Decamerion Richardson,CB,25,45.6,60.5,-,42.2,559,202,-,357,24.4,A,6'2"
"74th of 116,Eric Stokes,CB,22,61.3,50.8,-,62.4,588,190,-,398,26.4,A,6'0"
"-,Thomas Harper,S,34,78.3,55.4,75.8,76.4,191,41,5,145,0.0,A,5'10"
"-,JT Woods,S,40,-,-,-,-,-,-,-,-,-,-,-,-,25.2,A,6'2"
"-,Terrell Edmunds,S,48,71.6,72.3,54.5,68.4,69,10,3,56,28.5,A,6'1"
"-,Hudson Clark,S,38,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2"
"-,Chris Smith II,S,29,74.6,66.2,-,65.6,11,8,-,3,25.3,A,5'11"
"-,Trey Taylor,S,37,-,-,-,-,-,-,-,-,-,-,-,-,24.5,A,6'0"
"80th of 98,Isaiah Pola-Mao,S,20,54.2,72.4,61.0,45.1,952,366,18,568,0.0,A,6'4"
"-,Lonnie Johnson Jr.,S,32,50.0,65.1,-,46.5,12,5,-,7,29.8,A,6'2"
"46th of 98,Jeremy Chinn,S,11,65.2,64.7,61.0,64.5,1207,520,36,651,27.4,A,6'3"
"56th of 84,Germaine Pratt,LB,57,60.6,70.1,54.5,53.4,1075,431,66,578,29.2,A,6'3"
"-,Jamal Adams,LB,33,43.0,62.5,50.2,35.5,40,24,5,11,29.8,A,6'1"
"-,Michael Barrett,LB,43,-,-,-,-,-,-,-,-,-,-,-,-,25.6,A,6'0"
"-,Jaylon Smith,LB,54,-,-,-,-,-,-,-,-,-,-,-,-,31.1,A,6'2"
"-,Matt Jones,LB,42,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4"
