Player,Team,POS,ATT,YDS,TDS,REC,FL,FPTS
Ricky Pearsall,SF,WR44,7.0,816.6,5.1,60.6,0.6,179.3
T.J. Hockenson,MIN,TE6,0.0,775.9,4.7,74.1,0.5,178.7
David Njoku,CLE,TE7,0.0,738.9,4.9,76.9,0.8,178.6
Jordan Addison,MIN,WR45,0.9,785.5,6.0,60.6,0.4,176.4
Rashid Shaheed,NO,WR46,7.7,861.7,4.9,58.0,1.3,176.4
Chris Godwin Jr.,TB,WR47,1.2,778.7,5.1,67.4,0.6,175.7
Jaylen Warren,PIT,RB28,149.6,347.2,1.1,47.5,1.1,175.1
Emeka Egbuka,TB,WR48,1.6,794.1,5.5,62.5,1.1,174.2
Mark Andrews,BAL,TE8,0.0,701.2,7.7,58.8,0.8,173.4
Josh Downs,IND,WR49,0.3,769.9,4.5,69.3,0.5,172.9
Jayden Reed,GB,WR50,11.8,736.0,5.3,54.9,0.9,172.4
Keon Coleman,BUF,WR51,0.3,824.1,6.1,52.4,0.5,170.8
Austin Ekeler,WAS,RB29,108.7,386.3,1.8,47.1,1.4,170.3
Darnell Mooney,ATL,WR52,0.0,830.9,4.5,58.6,0.4,168.0
Kaleb Johnson,PIT,RB30,196.7,178.0,1.0,23.2,1.7,163.8
Tyler Warren,IND,TE9,0.0,681.6,4.9,63.2,1.1,159.7
Marvin Mims Jr.,DEN,WR53,11.9,694.1,5.3,52.6,0.6,158.7
Evan Engram,DEN,TE10,0.0,626.5,4.2,70.1,0.9,156.0
Joe Mixon,HOU,RB31,169.2,219.2,1.3,27.4,0.9,155.9
Travis Etienne Jr.,JAC,RB32,147.5,284.9,1.2,38.4,0.9,154.8
Adam Thielen,CAR,WR54,0.0,656.2,4.4,61.5,0.5,152.4
Javonte Williams,DAL,RB33,167.8,220.2,0.9,34.4,0.6,151.4
Wan'Dale Robinson,NYG,WR55,2.0,625.3,3.1,69.4,0.5,151.3
Cedric Tillman,CLE,WR56,0.7,715.5,4.0,57.0,0.9,150.9
Jake Ferguson,DAL,TE11,0.0,623.0,3.8,67.9,1.2,150.6
Zach Charbonnet,SEA,RB34,135.9,247.9,0.9,33.7,0.8,150.3
Marquise Brown,KC,WR57,0.3,681.1,4.5,55.2,0.2,150.1
Tucker Kraft,GB,TE12,0.0,652.7,4.8,55.2,0.8,147.7
Jacory Croskey-Merritt,WAS,RB35,163.8,167.8,1.2,21.1,0.9,147.5
Keenan Allen,LAC,WR58,0.3,640.2,4.8,55.6,0.6,147.4
Rashod Bateman,BAL,WR59,0.0,685.9,5.6,45.5,0.1,147.3
J.K. Dobbins,DEN,RB36,147.1,189.3,1.2,29.5,1.2,147.3
Christian Kirk,HOU,WR60,0.7,696.5,3.6,54.1,0.8,144.2
Dallas Goedert,PHI,TE13,0.0,635.8,3.9,57.7,0.5,144.0
Zach Ertz,WAS,TE14,0.0,537.0,5.1,57.9,0.1,141.7
Xavier Legette,CAR,WR61,6.2,617.0,3.8,54.5,0.5,141.4
Dalton Kincaid,BUF,TE15,0.0,603.9,4.0,57.1,0.5,140.7
Rhamondre Stevenson,NE,RB37,154.2,173.9,1.1,27.3,1.5,140.2
Kyle Pitts Sr.,ATL,TE16,0.0,641.8,4.2,50.9,0.1,140.1
Quinshon Judkins,CLE,RB38,176.7,163.1,0.9,21.2,1.3,138.9
Jayden Higgins,HOU,WR62,0.7,660.3,3.8,49.9,0.4,138.3
DeMario Douglas,NE,WR63,2.1,597.7,3.2,56.5,0.2,136.6
Jordan Mason,MIN,RB39,163.6,123.5,0.7,16.9,0.7,134.8
Hunter Henry,NE,TE17,0.0,574.3,3.9,54.9,0.4,134.7
Rachaad White,TB,RB40,105.3,269.7,2.1,35.6,1.3,131.1
Colston Loveland,CHI,TE18,0.0,562.6,3.8,53.6,0.8,131.0
Tyler Lockett,TEN,WR64,0.0,586.7,3.5,50.8,0.1,130.1
Romeo Doubs,GB,WR65,0.0,587.5,4.3,46.2,0.5,129.6
Cade Otton,TB,TE19,0.0,530.0,4.2,52.0,0.5,129.4
