POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Kris Boyd,CB,17,30.7,52.5,-,28.5,50,24,-,26,28.9,IR,"5'11""",185,-,TEXAS,2019,7,217,,,,
49th of 98,Isaiah Oliver,CB,26,65.1,71.6,59.0,61.8,576,211,20,345,28.8,A,"6'0""",210,4.5,COLORADO,2018,2,58,,,,
100th of 116,Brandon Stephens,CB,21,54.0,66.6,52.9,49.4,1135,347,4,784,27.6,A,"6'1""",215,-,SMU,2021,3,105,,,,
31st of 116,Sauce Gardner,CB,1,70.2,53.6,78.5,73.1,879,385,4,490,24.9,A,"6'3""",200,-,CINCINNATI,2022,1,4,,,,
-,Dean Clark,S,35,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'1""",206,-,FRESNO ST,2025,-,-
-,Malachi Moore,S,27,-,-,-,-,-,-,-,-,-,-,-,-,23.9,A,"6'0""",201,-,ALABAMA,2025,4,130
64th of 98,Andre Cisco,S,8,61.2,63.8,49.9,60.1,979,379,9,591,25.4,A,"6'0""",210,-,SYRACUSE,2021,3,65,,,,
39th of 98,Tony Adams,S,22,66.4,59.4,64.7,67.5,764,314,15,435,0.0,A,"6'0""",205,-,ILLINOIS,2022,-,-,,,,
-,Michael Carter II,S,30,50.7,63.9,57.4,47.9,285,84,11,190,26.4,A,"5'11""",184,-,DUKE,2021,5,155,,,,
-,Jackson Sirmon,LB,49,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'2""",240,-,CAL,2024,-,-
-,Marcelino McCrary-Ball,LB,41,75.4,60.6,-,60.0,3,2,-,1,0.0,A,"6'0""",214,-,INDIANA,2022,-,-,,,,
-,Ja'Markis Weston,LB,54,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'2""",235,-,FLORIDA,2025,-,-
-,Aaron Smith,LB,48,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'2""",230,-,SCAR STATE,2025,-,-
-,Zaire Barnes,LB,53,-,-,-,-,-,-,-,-,-,-,-,-,25.9,A,"6'1""",232,-,W MICHIGAN,2023,6,186
-,Francisco Mauigoa,LB,51,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'3""",230,-,MIAMI FL,2025,5,164
32nd of 84,Quincy Williams,LB,56,68.0,74.3,56.8,61.0,1136,483,79,574,28.9,A,"5'11""",225,-,MURRAY ST,2019,3,98,,,,
18th of 84,Jamien Sherwood,LB,44,73.8,77.1,68.1,66.2,1063,465,40,558,0.0,A,"6'2""",216,-,AUBURN,2021,5,147,,,,
59th of 118,Harrison Phillips,DI,00,58.3,52.7,60.7,67.1,701,324,373,4,29.5,A,"6'3""",307,5.2,STANFORD,2018,3,96,,,,
-,Jowon Briggs,DI,92,72.2,66.5,64.7,61.5,133,70,63,0,23.9,A,"6'2""",297,-,CINCINNATI,2024,7,220,,,,
-,Payton Page,DI,69,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'4""",310,-,CLEMSON,2025,-,-
-,Leonard Taylor III,DI,96,62.7,56.9,69.9,60.1,261,147,114,0,23.2,A,"6'3""",305,-,MIAMI FL,2024,-,-,,,,
56th of 118,Byron Cowart,DI,93,58.9,60.1,60.7,58.7,335,178,156,1,29.2,A,"6'3""",300,-,MARYLAND,2019,5,159,,,,
-,Jay Tufele,DI,78,44.4,42.0,56.3,55.3,242,123,118,1,26.0,A,"6'3""",305,-,USC,2021,4,107,,,,
28th of 118,Quinnen Williams,DI,95,69.6,57.5,76.1,64.6,722,267,450,5,27.7,A,"6'3""",303,-,ALABAMA,2019,1,3,,,,
-,Kingsley Jonathan,ED,57,65.2,60.0,64.2,-,7,1,6,-,0.0,A,"6'4""",260,-,SYRACUSE,2022,-,-,,,,
81st of 119,Will McDonald IV,ED,9,59.4,39.5,73.9,60.1,756,276,462,18,26.2,A,"6'3""",241,-,IOWA STATE,2023,1,15,,,,
-,Tyler Baron,ED,94,-,-,-,-,-,-,-,-,-,-,-,-,23.8,A,"6'5""",260,-,MIAMI FL,2025,5,178
-,Eric Watts,ED,58,66.1,72.1,46.1,78.7,231,129,102,0,24.8,A,"6'5""",277,-,UCONN,2024,-,-,,,,
-,Braiden McGregor,ED,55,51.1,55.5,55.3,60.0,83,44,39,0,24.1,A,"6'6""",267,-,MICHIGAN,2024,-,-,,,,
-,Rashad Weaver,ED,99,37.6,35.9,66.9,-,14,9,5,-,27.7,IR,"6'4""",259,-,PITTSBURGH,2021,4,136,,,,
114th of 119,Micheal Clemons,ED,72,50.6,46.6,55.2,70.4,624,288,333,3,28.0,A,"6'5""",270,-,TEXAS A&M,2022,4,117,,,,
-,Jermaine Johnson,ED,11,41.7,40.4,62.3,62.1,82,35,46,1,26.6,A,"6'5""",262,-,FLORIDA ST,2022,1,26,,,,
