player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Darrell Taylor,36001,ED,CHI,16,15,0,6,0,,,4.8,,,0,0,,61.1,0,,,0,0,0.0,0,2,13.3,42,1,0,0,0,0,0,0.0,,0,0,11.0,100.0,6.7,12.0,12.0,0,0,0.0,39.0,0,18,0.0,0,0,118.8,1,12,80.0,178,3,1,1,0,18,7,1.5,18.0
Quinton Bell,37468,ED,MIA,16,44,0,17,0,,,9.5,,,0,0,,63.4,0,,0.0,0,0,0.0,0,2,4.5,21,1,1,0,0,0,0,0.0,,0,0,4.9,42.9,39.3,10.7,4.6,0,1,14.3,50.5,0,16,0.0,0,1,55.1,3,33,75.0,84,1,4,7,0,29,27,0.9,9.7
Troy Reeder,38268,LB,LA,6,170,0,26,1,-2.3,100.0,76.7,7.8,7.8,0,0,0.0,54.5,0,18,20.0,1,0,111.5,4,33,19.4,43,0,3,4,0,43,52,1.4,10.8,0,5,4.1,58.3,92.2,14.0,8.2,0,1,8.3,54.8,0,27,0.0,0,1,75.7,7,107,62.9,116,2,7,12,0,72,64,0.7,10.3
Camryn Bynum,38408,S,MIN,17,705,0,18,3,8.8,55.6,98.1,28.6,15.9,0,1,11.1,56.4,1,10,0.0,0,0,59.7,5,152,21.6,155,0,8,9,1,30,4,0.2,6.0,0,5,12.9,66.7,99.0,22.9,15.3,1,5,16.7,64.0,2,35,9.3,4,4,93.5,20,479,67.9,484,8,34,30,2,298,125,0.7,14.9
Cameron Goode,38410,ED,MIA,2,2,0,17,0,,,40.0,,,0,0,,62.0,0,,,0,0,0.0,0,2,100.0,5,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,
Casey Toohill,38472,ED,BUF,14,1,0,4,0,,,4.0,,,0,0,,68.2,0,,0.0,0,0,0.0,0,1,100.0,25,1,1,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,71,1,0,0,0,0,0,,
Maurice Hurst,38563,DI,CLV,8,2,0,8,0,,,0.0,,,0,0,,60.0,0,,100.0,1,0,0.0,0,0,0.0,23,0,0,0,0,0,0,,,0,0,,,5.3,,,0,0,,58.5,0,,,0,0,0.0,0,2,100.0,38,0,0,0,0,0,0,0.0,
Eric Wilson,38587,LB,GB,17,279,0,12,0,5.0,100.0,62.2,25.0,25.0,0,0,0.0,69.1,0,3,0.0,0,0,118.8,1,28,10.0,45,2,1,1,1,3,0,0.1,3.0,0,3,6.4,82.8,94.1,8.4,6.9,0,1,3.4,51.5,0,28,17.6,6,1,104.9,24,208,74.6,221,7,25,29,0,266,124,1.3,11.1
Joe Giles-Harris,39382,LB,JAX,2,8,0,15,0,,,100.0,,,0,0,,64.1,0,,,0,0,0.0,0,5,62.5,5,0,0,0,0,0,0,0.0,,0,0,2.0,100.0,75.0,3.0,3.0,0,0,0.0,44.3,0,6,0.0,0,0,91.7,1,3,37.5,4,0,1,1,0,6,4,2.0,6.0
Tershawn Wharton,40292,DI,KC,17,14,0,16,0,,,0.0,,,0,0,,61.2,0,,75.0,3,0,0.0,0,0,0.0,139,2,1,0,0,0,0,,,0,0,1.3,66.7,4.6,5.0,3.3,0,0,0.0,44.6,0,18,0.0,0,0,99.3,2,11,78.6,240,3,2,3,0,30,29,3.0,15.0
Chazz Surratt,40313,LB,NYJ,12,49,0,22,0,,,73.9,,,0,0,,75.1,0,,100.0,1,0,0.0,0,17,34.7,23,0,0,0,0,0,0,0.0,,0,1,4.0,100.0,80.0,22.0,22.0,0,0,0.0,78.4,0,6,0.0,0,0,91.7,1,24,49.0,30,0,4,1,0,6,2,0.3,6.0
L'Jarius Sneed,40588,CB,TEN,5,168,0,31,0,11.1,71.4,100.0,8.8,6.3,0,0,0.0,33.6,0,26,40.0,2,0,142.3,5,45,26.8,45,0,3,7,1,69,16,1.6,13.8,0,0,20.9,18.2,98.9,43.0,7.8,0,0,0.0,46.4,0,13,28.6,2,0,39.6,2,94,56.0,95,2,5,11,0,22,4,0.3,11.0
Alohi Gilman,41662,S,LAC,11,435,0,27,1,18.0,100.0,98.7,23.0,23.0,0,0,0.0,49.0,0,36,0.0,0,0,158.3,3,76,17.5,77,1,5,3,1,57,12,0.8,19.0,0,3,11.9,50.0,99.7,33.9,16.9,0,3,18.8,58.9,1,29,15.0,3,3,40.9,8,285,65.5,286,4,14,16,0,89,29,0.3,11.1
