Player,Team,ATT,YDS,TDS,REC,FL,FPTS
Sean Tucker,TB,44.8,40.2,0.3,5.2,0.7,41.3
DJ Giddens,IND,23.6,56.4,0.1,7.6,0.0,37.9
A.J. Dillon,PHI,50.1,28.6,0.1,3.6,0.0,35.9
Kyle Juszczyk,SF,5.4,125.0,0.7,13.1,0.4,33.7
Isaiah Davis,NYJ,30.7,35.7,0.1,4.9,0.0,29.4
Kimani Vidal,LAC,24.9,48.3,0.3,6.4,0.0,28.6
Brashard Smith,KC,9.9,61.7,0.5,8.3,0.0,28.1
Chris Brooks,GB,30.9,32.1,0.0,5.0,0.0,27.9
Emari Demercado,ARI,18.7,54.1,0.1,8.1,0.0,27.2
Zavier Scott,MIN,32.0,29.0,0.0,3.0,0.0,27.2
Amar Johnson,GB,35.0,26.0,0.0,2.0,0.0,27.0
Clyde Edwards-Helaire,NO,36.9,42.9,0.3,5.7,0.1,26.3
Dameon Pierce,HOU,19.3,33.6,0.1,5.1,0.7,25.0
Tyler Goodson,IND,30.0,31.3,0.3,4.7,0.0,24.8
Hassan Haskins,LAC,30.8,42.2,0.5,5.3,0.3,24.7
Sincere McCormick,LV,23.7,29.9,0.1,4.3,0.1,23.5
Ty Chandler,MIN,18.9,34.7,0.1,5.0,0.0,22.7
Jeremy McNichols,WAS,21.9,15.3,0.0,2.7,0.0,20.4
Julius Chestnut,TEN,10.4,40.2,0.2,5.5,0.0,20.4
Michael Burton,DEN,6.7,45.6,0.6,7.1,0.0,20.2
Craig Reynolds,DET,8.5,55.1,0.4,6.9,0.0,19.2
Michael Carter,ARI,9.6,45.0,0.3,6.6,0.0,17.9
Alec Ingold,MIA,8.9,44.1,0.4,6.1,0.4,17.8
Kalel Mullings,TEN,10.4,21.8,0.0,3.0,0.0,17.6
C.J. Ham,MIN,3.0,34.8,0.1,5.3,0.0,16.6
Travis Homer,CHI,21.6,25.7,0.1,3.4,0.0,15.5
Dare Ogunbowale,HOU,6.5,42.4,0.2,5.6,0.0,15.3
George Holani,SEA,0.0,14.5,0.0,2.0,0.0,14.4
Raheem Blackshear,CAR,23.0,21.0,0.1,2.9,0.5,13.3
Jordan Mims,TEN,15.8,15.4,0.1,2.2,0.0,12.7
Ronnie Rivers,LAR,31.7,2.3,0.0,0.3,0.0,12.5
Phil Mafah,DAL,0.0,11.0,0.0,1.5,0.0,11.8
Patrick Ricard,BAL,4.1,27.6,0.5,3.4,0.0,10.8
Jordan James,SF,18.2,12.0,0.0,1.0,0.0,10.8
Jeff Wilson Jr.,SF,13.0,18.6,0.1,2.4,0.0,10.7
Israel Abanikanda,GB,13.3,10.5,0.1,1.3,0.0,10.5
Deuce Vaughn,DAL,8.9,21.6,0.1,3.2,0.0,10.1
Frank Gore Jr.,BUF,10.2,15.0,0.1,2.0,0.0,9.7
Gary Brightwell,CIN,8.0,17.1,0.1,2.4,0.0,9.3
LeQuint Allen Jr.,JAC,4.0,11.0,0.0,1.5,0.0,8.8
Hunter Luepke,DAL,4.2,26.7,0.1,3.9,0.0,8.7
Eric Gray,NYG,11.9,14.4,0.1,1.9,0.5,7.9
DeeJay Dallas,ARI,5.8,21.4,0.1,3.1,0.5,7.6
Jashaun Corbin,ATL,9.3,10.6,0.0,1.5,0.0,7.2
Rasheen Ali,BAL,5.2,10.2,0.1,1.4,0.0,6.5
Zonovan Knight,ARI,2.4,15.3,0.1,2.1,0.0,5.7
Trey Sermon,PIT,5.0,11.5,0.1,1.6,0.0,5.6
Velus Jones Jr.,NO,2.4,13.7,0.1,2.0,0.0,5.4
Terrell Jennings,NE,2.4,14.5,0.1,1.9,0.0,5.2
Scott Matlock,LAC,0.0,14.7,0.1,2.2,0.0,4.0
Robbie Ouzts,SEA,0.0,14.8,0.1,2.0,0.0,3.9
Dylan Laube,LV,0.0,11.0,0.0,1.5,0.0,3.6
Raheim Sanders,LAC,0.0,7.5,0.0,1.0,0.0,2.8
Avery Williams,PHI,1.4,10.9,0.1,1.6,0.5,2.6
Carlos Washington Jr.,ATL,0.0,3.5,0.0,0.5,0.0,2.4
Trayveon Williams,CLE,1.2,7.0,0.0,1.0,0.0,2.3
Tyler Badie,DEN,0.0,3.5,0.0,0.5,0.0,1.9
Sione Vaki,DET,0.0,3.5,0.0,0.5,0.0,1.3
JaMycal Hasty,NE,0.0,3.5,0.0,0.5,0.0,1.3
Keilan Robinson,PHI,0.0,3.5,0.0,0.5,0.0,1.1
D'Ernest Johnson,BAL,0.0,3.0,0.0,0.5,0.0,1.0
Myles Gaskin,BAL,0.0,0.0,0.0,0.0,0.0,0.0
Nyheim Miller-Hines,LAC,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Beck,NYJ,0.0,0.0,0.0,0.0,0.0,0.0
Jakob Johnson,HOU,0.0,0.0,0.0,0.0,0.0,0.0
Salvon Ahmed,IND,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Gilliam,BUF,0.0,0.0,0.0,0.0,0.0,0.0
Jermar Jefferson,TEN,0.0,0.0,0.0,0.0,0.0,0.0
Demetric Felton Jr.,WAS,0.0,0.0,0.0,0.0,0.0,0.0
Kene Nwangwu,NYJ,0.0,0.0,0.0,0.0,0.0,0.0
Jaret Patterson,LAC,0.0,0.0,0.0,0.0,0.0,0.0
Deon Jackson,DET,0.0,0.0,0.0,0.0,0.0,0.0
Adam Prentice,DEN,0.0,0.0,0.0,0.0,0.0,0.0
Tyrion Davis-Price,GB,0.0,0.0,0.0,0.0,0.0,0.0
Keaontay Ingram,KC,0.0,0.0,0.0,0.0,0.0,0.0
Brittain Brown,CHI,0.0,0.0,0.0,0.0,0.0,0.0
Malik Davis,DAL,0.0,0.0,0.0,0.0,0.0,0.0
Deneric Prince,NE,0.0,0.0,0.0,0.0,0.0,0.0
Ben VanSumeren,PHI,0.0,0.0,0.0,0.0,0.0,0.0
Brady Russell,SEA,0.0,0.0,0.0,0.0,0.0,0.0
Jonathon Brooks,CAR,0.0,0.0,0.0,0.0,0.0,0.0
Jawhar Jordan,HOU,0.0,0.0,0.0,0.0,0.0,0.0
Blake Watson,DEN,0.0,0.0,0.0,0.0,0.0,0.0
Michael Wiley,KC,0.0,0.0,0.0,0.0,0.0,0.0
British Brooks,HOU,0.0,0.0,0.0,0.0,0.0,0.0
Cody Schrader,LAR,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Milton,CIN,0.0,0.0,0.0,0.0,0.0,0.0
Chris Collier,LV,0.0,0.0,0.0,0.0,0.0,0.0
Donovan Edwards,NYJ,0.0,0.0,0.0,0.0,0.0,0.0
Corey Kiner,SF,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,
,,,,,,,
