player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rzRecTarg,rzRecRec,rzRecTds,rzRecTargPct,rzRecRecPct,rzRecTdPct,ezRecTarg,ezRecTds,ezRecTargPct,ezRecRecPct,ezRecTdPct,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,tat,fumbles,rzRushCarries,rzRushTds,rzRushPct,rzRushTdPct,i5RushCarries,i5RushTds,i5RushPct,i5RushTdPct,patConversions,patAttempts,fantasyPts,ptsPerSnap,ptsPerTouch
Chris Conley,SF,8,WR,5,3,1,69,0,0,0,1,60,15.2,13.8,23,9.67,1,0,0,20,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0.09,3.3
Amari Cooper,CLV,15,WR,122,72,8,1250,5,5,3,5,59,14.14,10.25,17.36,3.85,26,14,3,21.3,19.4,60,7,2,5.7,2.8,40,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,227,0.26,3.15
Brandin Cooks,DAL,16,WR,81,54,0,657,1,8,0,1,66.7,13.74,8.11,12.17,2.46,25,13,8,30.9,24.1,100,17,8,21,14.8,100,5,0,35,0,0,0,7,1.6,1,0.2,1,3,0,60,0,0,0,0,0,1,1,171.2,0.21,2.9
Robert Woods,HST,14,WR,71,40,0,426,0,1,0,4,56.3,10.14,6,10.65,3.27,14,5,1,19.7,12.5,100,5,1,7,2.5,100,1,0,7,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,89.3,0.13,2.18
Emanuel Wilson,GB,7,RB,5,4,0,23,0,0,0,0,80,-1,4.6,5.75,7.75,0,0,0,0,0,0,0,0,0,0,0,14,0,85,0,0,0,6.07,1.93,1,0.07,0,1,0,7.1,0,0,0,0,0,0,0,14.8,0.41,0.82
Jaleel McLaughlin,DEN,17,RB,36,31,0,160,0,2,0,0,86.1,-3.92,4.44,5.16,9.45,3,3,0,8.3,9.7,0,0,0,0,0,0,76,0,410,0,1,0,5.39,3.38,20,0.26,0,7,1,9.2,100,2,1,2.6,100,0,0,106,0.55,0.99
Rachaad White,TB,17,RB,70,64,1,549,0,3,1,2,91.4,-0.56,7.84,8.58,9.64,9,8,1,12.9,12.5,33.3,1,0,1.4,0,0,272,0,990,2,6,0,3.64,2.53,39,0.14,3,39,6,14.3,100,11,6,4,100,0,0,271.9,0.32,0.81
De'Von Achane,MIA,11,RB,37,28,0,193,0,3,0,0,75.7,0.84,5.22,6.89,9.46,6,5,3,16.2,17.9,100,2,1,5.4,3.6,33.3,102,5,804,4,8,2,7.88,5.12,29,0.28,1,23,5,22.5,62.5,5,3,4.9,37.5,0,0,193.7,0.65,1.49
Tank Bigsby,JAX,16,RB,4,1,0,6,0,0,0,3,25,-1.25,1.5,6,5,1,0,0,25,0,0,0,0,0,0,0,50,0,132,0,2,0,2.64,2.34,10,0.2,2,9,2,18,100,3,2,6,100,0,0,26.8,0.19,0.53
Keaton Mitchell,BLT,7,RB,10,9,0,93,0,0,0,0,90,-0.7,9.3,10.33,13.33,1,0,0,10,0,0,1,0,10,0,0,47,2,396,1,2,1,8.43,5.68,15,0.32,0,4,0,8.5,0,0,0,0,0,0,0,69.9,0.52,1.25
Bijan Robinson,ATL,17,RB,83,58,1,487,1,4,1,5,69.9,0.13,5.87,8.4,9.07,9,5,3,10.8,8.6,75,2,0,2.4,0,0,214,0,969,2,4,0,4.53,3.1,52,0.24,4,23,4,10.7,100,3,2,1.4,50,0,0,251.6,0.33,0.92
Kendre Miller,NO,8,RB,11,10,0,117,0,0,0,1,90.9,-0.82,10.64,11.7,12.9,0,0,0,0,0,0,0,0,0,0,0,41,0,156,0,1,0,3.8,3.12,10,0.24,0,3,1,7.3,100,1,1,2.4,100,0,0,43.3,0.39,0.85
Zach Evans,LA,4,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,19,0,0,0,2.11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.12,0.21
Sean Tucker,TB,4,RB,2,2,0,9,0,0,0,0,100,-1,4.5,4.5,5.5,0,0,0,0,0,0,0,0,0,0,0,15,0,23,0,0,0,1.53,1.33,4,0.27,0,0,0,0,0,0,0,0,0,0,0,5.2,0.16,0.31
Israel Abanikanda,NYJ,6,RB,10,7,0,43,0,0,0,2,70,0.3,4.3,6.14,6.29,0,0,0,0,0,0,0,0,0,0,0,22,0,70,0,0,0,3.18,2.05,2,0.09,0,0,0,0,0,0,0,0,0,0,0,18.3,0.24,0.63
Deuce Vaughn,DAL,6,RB,7,7,0,40,0,0,0,0,100,-1,5.71,5.71,6.71,0,0,0,0,0,0,0,0,0,0,0,23,0,40,0,0,0,1.74,1.52,0,0,0,5,0,21.7,0,1,0,4.3,0,0,0,15,0.25,0.5
Jahmyr Gibbs,DET,15,RB,69,52,0,316,0,1,0,5,75.4,0.01,4.58,6.08,6.25,6,3,1,8.7,5.8,100,0,0,0,0,0,182,0,945,2,10,0,5.19,3.12,40,0.22,2,38,8,20.9,80,11,5,6,50,0,1,244.1,0.41,1.04
Julius Chestnut,TEN,2,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tyler Goodson,IND,6,RB,9,6,0,34,0,0,0,2,66.7,-0.56,3.78,5.67,8.5,3,1,0,33.3,16.7,0,0,0,0,0,0,13,0,87,0,0,0,6.69,2,1,0.08,0,4,0,30.8,0,0,0,0,0,0,0,18.1,0.36,0.95
Roschon Johnson,CHI,15,RB,42,34,0,209,0,0,0,2,81,-1,4.98,6.15,7.41,6,4,0,14.3,11.8,0,0,0,0,0,0,81,0,352,0,2,0,4.35,2.32,12,0.15,1,11,2,13.6,100,6,2,7.4,100,0,0,102.1,0.26,0.89
Tyrion Davis-Price,SF,1,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,21,0,0,0,3.5,3.83,1,0.17,0,0,0,0,0,0,0,0,0,0,0,2.1,0.3,0.35
Isaiah Spiller,LAC,9,RB,6,6,0,34,0,0,0,0,100,-1.33,5.67,5.67,7,2,2,0,33.3,33.3,0,0,0,0,0,0,37,0,96,0,0,0,2.59,2.22,6,0.16,0,7,0,18.9,0,0,0,0,0,0,0,19,0.17,0.44
Eric Gray,NYG,7,RB,7,6,0,22,0,0,0,0,85.7,-0.71,3.14,3.67,6.33,1,0,0,14.3,0,0,0,0,0,0,0,17,0,48,0,0,0,2.82,1.94,3,0.18,1,2,0,11.8,0,0,0,0,0,0,0,13,0.2,0.57
Kevin Harris,NE,4,RB,3,3,1,58,0,0,0,0,100,0,19.33,19.33,19.33,1,1,0,33.3,33.3,0,0,0,0,0,0,16,0,65,0,1,0,4.06,2.5,1,0.06,0,2,1,12.5,100,0,0,0,0,0,0,21.3,0.63,1.12
Jaylen Warren,PIT,17,RB,72,61,0,370,0,0,0,5,84.7,-1.76,5.14,6.07,8.13,5,5,0,6.9,8.2,0,0,0,0,0,0,149,1,784,2,4,1,5.26,3.64,53,0.36,4,19,3,12.8,75,5,0,3.4,0,0,0,200.4,0.39,0.95
Rhamondre Stevenson,NE,12,RB,48,38,0,238,0,0,0,4,79.2,-0.08,4.96,6.26,7.18,2,2,0,4.2,5.3,0,0,0,0,0,0,156,1,619,0,4,1,3.97,2.8,30,0.19,1,19,3,12.2,75,3,2,1.9,50,0,0,147.7,0.31,0.76
Breece Hall,NYJ,17,RB,90,76,1,591,0,4,1,4,84.4,-0.4,6.57,7.78,8.45,7,6,3,7.8,7.9,75,0,0,0,0,0,223,4,994,3,5,2,4.46,3.41,46,0.21,2,24,2,10.8,40,1,1,0.4,20,1,1,288.5,0.43,0.96
Zach Charbonnet,SEA,16,RB,40,33,0,209,0,0,0,2,82.5,-1,5.22,6.33,7.61,1,0,0,2.5,0,0,0,0,0,0,0,108,0,462,0,1,0,4.28,2.96,17,0.16,0,22,1,20.4,100,6,1,5.6,100,0,0,106.1,0.22,0.75
Zonovan Knight,DET,2,RB,1,1,0,8,0,0,0,0,100,-5,8,8,13,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,4.33,3.33,1,0.33,0,0,0,0,0,0,0,0,0,0,0,3.1,0.34,0.78
Evan Hull,IND,1,RB,1,1,0,6,0,0,0,0,100,2,6,6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.21,0.85
Kenneth Walker III,SEA,15,RB,33,29,1,259,0,1,1,2,87.9,-1.82,7.85,8.93,11.07,1,1,0,3,3.4,0,0,0,0,0,0,219,1,900,1,8,0,4.11,2.91,56,0.26,1,38,7,17.4,87.5,15,5,6.8,62.5,0,0,198.9,0.4,0.8
Tyjae Spears,TEN,17,RB,67,52,1,385,0,1,0,2,77.6,-0.18,5.75,7.4,9.04,6,4,0,9,7.7,0,0,0,0,0,0,100,0,453,0,2,0,4.53,3.16,26,0.26,1,11,2,11,100,3,1,3,50,0,0,153.8,0.28,1.01
Kyren Williams,LA,12,RB,47,32,0,206,0,3,0,5,68.1,0.06,4.38,6.44,8.72,14,5,3,29.8,15.6,100,1,1,2.1,3.1,33.3,228,1,1144,6,12,0,5.02,3.34,51,0.22,3,55,11,24.1,91.7,17,9,7.5,75,1,1,257,0.38,0.99
Craig Reynolds,DET,16,RB,6,5,0,47,0,0,0,0,83.3,-2.83,7.83,9.4,12,0,0,0,0,0,0,0,0,0,0,0,41,0,179,0,1,0,4.37,2.9,6,0.15,1,7,1,17.1,100,4,1,9.8,100,0,0,33.6,0.25,0.73
Jashaun Corbin,NYG,1,RB,3,3,0,12,0,0,0,0,100,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,100,0,0,0,0,0,0,0,4.3,0.29,1.07
Isiah Pacheco,KC,14,RB,50,44,0,244,0,2,0,1,88,-2.24,4.88,5.55,8.07,8,7,2,16,15.9,100,1,1,2,2.3,50,205,1,935,3,7,1,4.56,3.04,37,0.18,1,42,6,20.5,85.7,9,5,4.4,71.4,0,1,215.9,0.38,0.87
Chris Rodriguez Jr.,WAS,9,RB,2,2,0,12,0,0,0,0,100,-3,6,6,9,0,0,0,0,0,0,0,0,0,0,0,51,0,247,0,2,0,4.84,3.65,12,0.24,1,7,2,13.7,100,3,1,5.9,50,0,0,39.9,0.41,0.75
James Cook,BUF,17,RB,53,44,1,446,0,4,0,6,83,2.43,8.42,10.14,9.2,10,4,4,18.9,9.1,100,2,1,3.8,2.3,25,237,1,1122,3,2,0,4.73,2.76,37,0.16,4,33,1,13.9,50,5,1,2.1,50,0,0,236.8,0.37,0.84
Zamir White,LV,15,RB,17,15,0,98,0,0,0,0,88.2,0.24,5.76,6.53,6.13,2,2,0,11.8,13.3,0,0,0,0,0,0,104,1,451,2,1,0,4.34,3.21,15,0.14,1,16,1,15.4,100,3,1,2.9,100,0,0,75.9,0.33,0.64
Dameon Pierce,HST,13,RB,17,13,0,101,0,0,0,1,76.5,0.53,5.94,7.77,7.38,2,2,0,11.8,15.4,0,0,0,0,0,0,145,0,416,0,2,0,2.87,2.27,26,0.18,0,23,2,15.9,100,9,2,6.2,100,0,0,76.7,0.26,0.49
Chris Brooks,MIA,4,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,106,0,0,0,5.58,5.63,9,0.47,0,2,0,10.5,0,0,0,0,0,0,0,10.6,0.29,0.56
Tyler Allgeier,ATL,17,RB,22,18,2,193,0,1,1,0,81.8,-0.86,8.77,10.72,11.94,1,1,0,4.5,5.6,0,0,0,0,0,0,186,0,683,0,4,0,3.67,2.95,39,0.21,0,36,3,19.4,75,6,3,3.2,75,1,2,135.6,0.38,0.66
Jerome Ford,CLV,17,RB,60,44,1,319,0,5,1,9,73.3,0.68,5.32,7.25,6.89,6,5,4,10,11.4,80,2,2,3.3,4.5,40,204,2,813,2,4,1,3.99,2.93,43,0.21,1,16,3,7.8,75,4,3,2,75,1,2,211.2,0.34,0.85
Antonio Gibson,WAS,16,RB,57,48,1,389,0,2,0,4,84.2,-0.28,6.82,8.1,8.17,4,3,2,7,6.3,100,0,0,0,0,0,65,0,265,0,1,0,4.08,3.51,16,0.25,4,9,1,13.8,100,1,1,1.5,100,0,0,131.4,0.28,1.16
Javonte Williams,DEN,16,RB,55,47,0,228,0,2,0,4,85.5,-1.69,4.15,4.85,6.57,4,4,2,7.3,8.5,100,0,0,0,0,0,217,0,774,0,3,0,3.57,2.71,34,0.16,1,42,3,19.4,100,8,3,3.7,100,2,3,177.2,0.36,0.67
Chase Brown,CIN,11,RB,15,14,1,156,0,1,1,1,93.3,-2.87,10.4,11.14,13.71,1,1,0,6.7,7.1,0,0,0,0,0,0,44,0,179,0,0,0,4.07,3.27,8,0.18,1,7,0,15.9,0,0,0,0,0,0,0,53.5,0.58,0.92
SaRodorick Thompson,SEA,1,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Emari Demercado,ARZ,14,RB,29,21,0,119,0,0,0,2,72.4,1,4.1,5.67,5.24,2,0,0,6.9,0,0,1,0,3.4,0,0,58,1,284,0,2,1,4.9,3.53,11,0.19,0,3,1,5.2,50,1,0,1.7,0,0,0,73.3,0.25,0.93
Keaontay Ingram,KC,7,RB,4,4,0,26,0,0,0,0,100,-1.5,6.5,6.5,8,0,0,0,0,0,0,0,0,0,0,0,35,0,74,0,0,0,2.11,2.14,7,0.2,0,2,0,5.7,0,0,0,0,0,0,0,14,0.12,0.36
Kenneth Gainwell,PHI,16,RB,36,30,0,183,0,0,0,1,83.3,1.92,5.08,6.1,5.9,0,0,0,0,0,0,0,0,0,0,0,84,0,364,0,2,0,4.33,2.94,11,0.13,3,24,2,28.6,100,3,1,3.6,50,1,1,96.7,0.22,0.85
Pierre Strong Jr.,CLV,14,RB,8,5,1,47,0,0,0,1,62.5,-0.63,5.88,9.4,14.4,0,0,0,0,0,0,0,0,0,0,0,63,1,291,0,1,0,4.62,3.41,9,0.14,2,6,1,9.5,100,2,1,3.2,100,0,1,44.8,0.27,0.66
Jordan Mason,SF,11,RB,4,3,0,31,0,0,0,0,75,3.5,7.75,10.33,7,0,0,0,0,0,0,0,0,0,0,0,40,0,206,0,3,0,5.15,3.1,8,0.2,0,5,2,12.5,66.7,1,1,2.5,33.3,0,0,44.7,0.45,1.04
Ty Chandler,MIN,14,RB,24,21,0,159,0,0,0,0,87.5,-1.79,6.63,7.57,9.9,3,3,0,12.5,14.3,0,0,0,0,0,0,102,0,461,1,3,0,4.52,2.86,14,0.14,0,11,3,10.8,100,3,3,2.9,100,0,0,101,0.33,0.82
Jonathan Taylor,IND,10,RB,24,19,1,153,0,1,0,1,79.2,-0.63,6.38,8.05,9.32,4,3,1,16.7,15.8,100,0,0,0,0,0,169,2,741,1,7,1,4.38,3.12,29,0.17,1,34,6,20.1,85.7,12,6,7.1,85.7,0,0,156.4,0.41,0.83
Salvon Ahmed,MIA,8,RB,21,16,0,88,0,1,0,0,76.2,0.9,4.19,5.5,6.69,5,5,1,23.8,31.3,100,0,0,0,0,0,22,0,61,0,1,0,2.77,2.82,4,0.18,0,6,1,27.3,100,1,0,4.5,0,0,0,42.9,0.32,1.13
Elijah Dotson,LAC,3,RB,2,2,0,13,0,0,0,0,100,-1.5,6.5,6.5,8,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,1.5,1,0,0,0,1,0,25,0,0,0,0,0,0,0,3.9,0.26,0.65
Raheem Blackshear,CAR,10,RB,7,6,0,45,0,0,0,0,85.7,1.57,6.43,7.5,6.67,0,0,0,0,0,0,0,0,0,0,0,14,0,46,0,0,0,3.29,2.36,3,0.21,0,2,0,14.3,0,0,0,0,0,1,1,15.1,0.3,0.76
Chuba Hubbard,CAR,17,RB,44,39,0,233,0,0,0,0,88.6,-0.75,5.3,5.97,7,1,0,0,2.3,0,0,0,0,0,0,0,238,0,902,1,5,0,3.79,2.87,41,0.17,1,36,5,15.1,100,11,4,4.6,80,0,0,182.5,0.27,0.66
Trey Sermon,IND,12,RB,6,3,0,13,0,0,0,3,50,2,2.17,4.33,1,0,0,0,0,0,0,0,0,0,0,0,35,0,160,0,0,0,4.57,2.83,5,0.14,0,2,0,5.7,0,0,0,0,0,0,0,20.3,0.19,0.53
J.K. Dobbins,BLT,1,RB,2,2,0,15,0,0,0,0,100,0,7.5,7.5,7.5,1,1,0,50,50,0,0,0,0,0,0,8,0,22,0,1,0,2.75,2.75,0,0,0,1,1,12.5,100,1,1,12.5,100,0,0,11.7,0.39,1.17
