_row_number,Point Spread Rating Points,Point Spread Rating QB,Strength of Schedule To Date,Strength of Schedule Remaining,Projections Avg. Wins,Projections Make Playoffs,Projections Win Division Title,Projections Win Conf Champ,Projections Win Super Bowl,_quarantine_reason,_exceptions
2,5.9904275,6.5,,12,11.2566,76.78,53.28000000000001,18.37,10.96,validation_failed,"[{'row': 2, 'column': 'Team', 'value': 'BLT', 'error': 'Invalid value BLT for Team'}]"
10,1.7136028,5.0,,18,9.4109,53.73,27.73,7.1,3.42,validation_failed,"[{'row': 10, 'column': 'Team', 'value': 'LA', 'error': 'Invalid value LA for Team'}]"
14,1.2819433,5.0,,17,9.1299,54.290000000000006,40.400000000000006,6.460000000000001,3.4299999999999997,validation_failed,"[{'row': 14, 'column': 'Team', 'value': 'HST', 'error': 'Invalid value HST for Team'}]"
18,-0.201647,4.0,,24,8.7813,44.85,20.75,5.4,2.04,validation_failed,"[{'row': 18, 'column': 'Team', 'value': 'ARZ', 'error': 'Invalid value ARZ for Team'}]"
32,-5.2627393,1.5,,4,5.4427,11.129999999999999,3.45,0.5700000000000001,0.27999999999999997,validation_failed,"[{'row': 32, 'column': 'Team', 'value': 'CLV', 'error': 'Invalid value CLV for Team'}]"
