POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
110th of 119,Clelin Ferrell,ED,99,51.7,55.0,58.8,57.3,443,220,212,11,26.2,A,6'4",265,-,CLEMSON,2019,1,4
-,Jacob Martin,ED,55,63.5,54.9,67.6,52.8,222,88,126,8,28.7,A,6'2",242,-,TEMPLE,2018,6,186
78th of 119,Deatrich Wise Jr.,ED,91,59.7,54.8,63.6,63.3,409,140,269,0,31.0,A,6'5",280,4.9,ARKANSAS,2017,4,131
56th of 119,Dorance Armstrong,ED,92,65.3,41.4,78.0,66.0,747,281,450,16,28.2,A,6'4",255,4.9,KANSAS,2018,4,116
-,Josh Johnson,QB,14,57.6,61.8,54.0,-,-,60.0,36,4,4,-,-,28,39.2,A,6'4",214,4.5,SAN DIEGO,2008,5,160
6th of 42,Jayden Daniels,QB,5,90.6,84.7,90.0,58.4,-,60.5,1279,781,100,1,-,397,24.6,A,6'4",210,-,LSU,2024,1,2
-,Marcus Mariota,QB,18,88.3,90.8,60.3,-,-,60.0,106,57,16,-,-,33,31.8,A,6'4",222,4.5,OREGON,2015,1,2
-,Sam Hartman,QB,15,-,-,-,-,-,-,-,-,-,-,-,-,26.0,A,6'1",212,-,NOTRE DAME,2024,-,-
-,River Cracraft,WR,84,57.1,-,-,59.7,-,42.9,120,-,-,85,-,35,30.8,A,6'0",198,-,WASH STATE,2017,-,-
-,Braylon Sanders,WR,80,-,-,-,-,-,-,-,-,-,-,-,-,26.5,A,6'0",194,-,OLE MISS,2022,-,-
-,Tay Martin,WR,6,91.0,-,-,87.1,-,60.0,4,-,-,3,-,1,0.0,A,6'3",185,-,OKLA STATE,2022,-,-
-,Ja'Corey Brooks,WR,16,-,-,-,-,-,-,-,-,-,-,-,-,23.8,A,6'3",195,-,LOUISVILLE,2025,-,-
-,Jacoby Jones,WR,10,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",228,-,UCF,2025,-,-
-,Jaylin Lane,WR,83,-,-,-,-,-,-,-,-,-,-,-,-,23.3,A,5'10",196,-,VA TECH,2025,4,128
-,Michael Gallup,WR,12,-,-,-,-,-,-,-,-,-,-,-,-,29.4,A,6'1",198,4.5,COLO STATE,2018,3,81
123rd of 133,Luke McCaffrey,WR,11,54.3,-,-,54.3,65.8,50.2,454,-,-,282,1,171,24.3,A,6'2",195,-,RICE,2024,3,100
54th of 133,Noah Brown,WR,85,70.7,-,-,70.2,-,60.4,468,-,-,295,-,173,29.6,A,6'2",215,-,OHIO STATE,2017,7,239
