POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
51st of 59,Alexander Mattison,HB,8,61.4,-,62.3,62.2,41.1,58.0,444,-,138,236,48,22,27.1,IR,5'11",215,-,BOISE ST,2019,3,102
8th of 9,Alec Ingold,FB,30,44.7,-,30.8,54.2,61.8,54.4,337,-,10,110,22,195,29.1,A,6'1",235,-,WISCONSIN,2019,-,-
-,Chris Myarick,FB,43,-,-,-,-,-,-,-,-,-,-,-,-,29.8,A,6'5",261,-,TEMPLE,2019,-,-
74th of 74,Julian Hill,TE,89,37.2,-,-,42.2,51.5,41.0,515,-,-,182,50,283,0.0,A,6'4",247,-,CAMPBELL,2023,-,-
-,Jalin Conyers,TE,47,-,-,-,-,-,-,-,-,-,-,-,-,24.0,IR,6'4",265,-,TEXAS TECH,2025,-,-
-,Cameron Dantzler,CB,47,-,-,-,-,-,-,-,-,-,-,-,-,26.9,A,6'2",188,-,MISS STATE,2020,3,89
-,Isaiah Johnson,CB,37,-,-,-,-,-,-,-,-,-,-,-,-,25.4,A,6'3",205,-,SYRACUSE,2024,-,-
96th of 116,Storm Duck,CB,36,55.5,56.8,-,54.8,359,129,-,230,24.6,A,6'1",200,-,LOUISVILLE,2024,-,-
16th of 116,Mike Hilton,CB,38,75.8,91.7,58.0,68.4,737,260,55,422,31.4,A,5'9",184,-,OLE MISS,2016,-,-
-,Cornell Armstrong,CB,26,-,-,-,-,-,-,-,-,-,-,-,-,29.9,A,6'0",185,-,SO MISS,2018,6,209
102nd of 116,Jack Jones,CB,23,53.9,58.6,60.2,52.9,1047,396,4,647,27.6,A,5'11",180,-,ARIZONA ST,2022,4,121
-,Ethan Bonner,CB,27,48.8,43.3,-,58.3,16,5,-,11,0.0,A,6'1",186,-,STANFORD,2023,-,-
-,Kendall Sheffield,CB,14,46.7,79.9,59.5,39.3,92,29,1,62,29.2,A,6'0",212,-,OHIO STATE,2019,4,111
-,BJ Adams,CB,45,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",190,-,UCF,2025,-,-
-,Ethan Robinson,CB,46,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",190,-,MINNESOTA,2025,-,-
-,Cam Smith,CB,24,33.6,70.9,60.0,30.1,133,29,1,103,24.6,A,6'1",180,4.4,S CAROLINA,2023,2,52
-,Jason Marshall Jr.,CB,33,-,-,-,-,-,-,-,-,-,-,-,-,22.9,A,6'1",201,-,FLORIDA,2025,5,151
-,Artie Burns,CB,00,88.6,59.5,73.3,89.6,51,11,3,37,30.3,IR,6'0",197,4.5,MIAMI FL,2016,1,25
-,Jason Maitre,CB,00,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,5'10",188,-,WISCONSIN,2024,-,-
57th of 116,Kader Kohou,CB,4,64.5,51.2,49.0,68.9,708,218,17,473,26.7,IR,5'10",195,-,TXAMCO,2022,-,-
-,Jordan Colbert,S,34,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",215,-,RHODE ISLD,2024,-,-
-,John Saunders Jr.,S,35,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",210,-,OLE MISS,2025,-,-
45th of 98,Minkah Fitzpatrick,S,29,65.2,69.5,51.5,64.9,1158,449,8,701,28.7,A,6'1",207,4.5,ALABAMA,2018,1,11
-,Dante Trader Jr.,S,25,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",202,-,MARYLAND,2025,5,157
-,Patrick McMorris,S,32,61.7,60.0,57.2,61.2,9,1,1,7,0.0,A,6'0",210,-,CAL,2024,6,199
-,Ashtyn Davis,S,21,71.1,73.4,50.4,67.8,260,101,6,153,28.8,A,6'1",202,-,CAL,2020,3,68
-,Elijah Campbell,S,22,39.8,43.5,55.9,50.6,77,23,2,52,30.0,A,5'11",195,-,N IOWA,2018,-,-
