POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Nick Whiteside,CB,38,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",200,-,SAGINAW VALLEY STATE,2023,-,-
-,Tyson Russell,CB,35,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",185,-,VANDERBILT,2025,-,-
-,D.J. Miller Jr.,CB,42,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",187,-,KENT STATE,2024,-,-
5th of 98,Brian Branch,CB,32,83.7,90.8,68.0,77.8,982,323,37,622,23.8,A,6'0",203,4.6,ALABAMA,2023,2,46
-,Khalil Dorsey,CB,30,47.7,54.6,-,46.8,73,24,-,49,0.0,A,5'9",185,-,N ARIZONA,2020,-,-
71st of 116,Ayomide Maddox,CB,29,61.9,58.5,71.9,62.9,359,130,3,226,29.3,A,5'9",184,4.4,PITTSBURGH,2018,4,125
-,Rock Ya-Sin,CB,23,44.2,48.5,-,50.3,63,31,-,32,29.2,A,6'0",185,-,TEMPLE,2019,2,34
-,Ennis Rakestraw Jr.,CB,9,42.8,53.3,-,41.0,46,23,-,23,23.2,IR,6'0",188,-,MISSOURI,2024,2,61
109th of 116,Terrion Arnold,CB,6,50.8,54.8,59.1,50.2,1021,321,1,699,22.4,A,6'0",196,-,ALABAMA,2024,1,24
30th of 116,D.J. Reed,CB,4,70.7,71.8,71.8,70.1,880,374,5,501,28.7,A,5'9",188,4.5,KANSAS ST,2018,5,142
65th of 116,Amik Robertson,CB,21,63.3,69.7,50.1,60.7,630,124,15,491,27.1,A,5'9",183,-,LA TECH,2020,4,139
-,Morice Norris Jr.,CB,26,38.4,62.4,-,39.1,22,14,-,8,0.0,A,5'11",198,-,FRESNO ST,2024,-,-
-,Ian Kennelly,S,27,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,0'0",-,-,GRAND VALLEY STATE,2025,-,-
-,Dan Jackson,S,28,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'1",195,-,GEORGIA,2025,7,232
-,Erick Hallett,S,36,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",190,-,PITTSBURGH,2023,6,210
-,Loren Strickland,S,24,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'10",200,-,BALL ST,2024,-,-
1st of 98,Kerby Joseph,S,31,90.7,83.6,61.8,91.5,1158,371,6,781,24.7,A,6'1",203,-,ILLINOIS,2022,3,97
-,Zach Cunningham,LB,52,73.0,68.7,58.8,64.4,15,11,1,3,30.6,A,6'3",230,4.7,VANDERBILT,2017,2,57
10th of 84,Jack Campbell,LB,46,78.7,82.5,53.2,74.2,1047,357,125,565,25.0,A,6'5",243,4.7,IOWA,2023,1,18
35th of 84,Alex Anzalone,LB,34,66.9,58.1,58.2,72.1,681,220,63,398,30.9,A,6'3",238,4.6,FLORIDA,2017,3,76
-,Grant Stuard,LB,15,69.4,70.1,54.6,65.3,229,126,7,96,0.0,A,5'11",230,-,HOUSTON,2021,7,261
-,Ezekiel Turner,LB,47,49.7,71.3,69.6,39.1,111,23,12,76,29.2,A,6'2",214,-,WASHINGTON,2018,-,-
-,Anthony Pittman,LB,41,44.0,62.9,53.8,37.5,15,3,5,7,28.7,A,6'3",240,-,WAYNE STATE (MICH.),2019,-,-
