POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Mitchell Agude,ED,50,51.6,40.9,52.3,65.6,40,15,24,1,0.0,A,6'5",242,-,MIAMI FL,2023,-,-
-,Marcus Davenport,ED,92,53.1,53.4,64.4,60.3,89,27,60,2,28.9,A,6'6",265,4.6,UTSA,2018,1,14
105th of 119,Josh Paschal,ED,93,53.0,59.7,48.4,64.8,613,198,401,14,25.6,ANFI,6'3",274,-,KENTUCKY,2022,2,46
1st of 119,Aidan Hutchinson,ED,97,94.9,70.6,95.0,46.6,280,77,198,5,25.0,A,6'7",268,-,MICHIGAN,2022,1,2
-,Hendon Hooker,QB,2,74.1,72.8,63.8,-,-,60.0,33,11,4,-,-,18,27.6,A,6'3",220,-,TENNESSEE,2023,3,68
-,Kyle Allen,QB,8,73.2,71.6,-,-,-,60.0,2,1,-,-,-,1,29.4,A,6'3",210,-,HOUSTON,2018,-,-
16th of 42,Jared Goff,QB,16,78.8,76.3,66.4,88.6,78.0,60.0,1178,648,21,3,2,504,30.8,A,6'4",217,4.8,CAL,2016,1,1
-,Malik Taylor,WR,86,-,-,-,-,-,-,-,-,-,-,-,-,29.6,A,6'3",220,-,FERRIS,2019,-,-
-,Jackson Meeks,WR,83,-,-,-,-,-,-,-,-,-,-,-,-,22.4,A,6'2",210,-,SYRACUSE,2025,-,-
-,Jakobie Keeney-James,WR,80,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",195,-,UMASS,2025,-,-
-,Dominic Lovett,WR,19,-,-,-,-,-,-,-,-,-,-,-,-,22.7,A,5'10",187,-,GEORGIA,2025,7,246
-,Isaac TeSlaa,WR,18,-,-,-,-,-,-,-,-,-,-,-,-,23.5,A,6'4",217,-,ARKANSAS,2025,3,70
68th of 133,Tim Patrick,WR,12,66.8,-,-,65.7,67.3,64.9,671,-,-,369,2,300,31.7,A,6'4",212,-,UTAH,2017,-,-
-,Ronnie Bell,WR,10,46.1,-,-,48.0,-,57.2,113,-,-,75,-,38,26.5,A,6'0",192,4.6,MICHIGAN,2023,7,255
-,Tom Kennedy,WR,85,54.2,-,-,54.4,-,60.3,16,-,-,9,-,7,30.0,A,5'11",195,-,BRYANT,2019,-,-
34th of 133,Jameson Williams,WR,1,74.5,41.3,81.3,75.1,-,58.1,886,1,12,534,-,339,24.4,A,6'1",189,-,ALABAMA,2022,1,12
-,Kalif Raymond,WR,11,71.1,-,59.5,70.8,-,59.8,240,-,2,158,-,80,31.0,A,5'8",180,-,HOLY CROSS,2016,-,-
5th of 133,Amon-Ra St. Brown,WR,14,89.3,60.5,58.8,90.2,76.2,52.9,1075,1,2,615,2,455,25.8,A,6'1",202,-,USC,2021,4,113
-,Kye Robichaux,HB,00,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'0",217,-,BOSTON COL,2025,-,-
-,Jacob Saylors,HB,48,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",199,-,E TENN ST,2023,-,-
-,Craig Reynolds,HB,13,57.6,-,58.0,59.8,43.3,62.0,99,-,32,34,11,22,29.1,A,5'11",216,-,KUTZTOWN,2019,-,-
6th of 59,Jahmyr Gibbs,HB,0,90.1,-,91.4,74.8,23.1,72.5,690,-,267,356,50,17,23.4,A,5'9",200,4.4,ALABAMA,2023,1,12
-,Deon Jackson,HB,36,-,-,-,-,-,-,-,-,-,-,-,-,26.5,A,6'0",216,-,DUKE,2021,-,-
-,Sione Vaki,HB,33,66.9,-,60.1,61.7,-,53.7,28,-,7,15,-,6,24.0,A,6'0",208,-,UTAH,2024,4,133
10th of 59,David Montgomery,HB,5,85.9,70.4,80.1,90.7,47.4,60.0,407,2,196,162,42,5,28.2,A,5'11",224,-,IOWA STATE,2019,3,73
-,Steven Stilianos,HB,43,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",255,-,IOWA,2024,-,-
-,Gunnar Oakes,TE,41,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",256,-,E MICHIGAN,2025,-,-
-,Zach Horton,TE,40,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",252,-,INDIANA,2025,-,-
