POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Derion Kendrick,CB,1,-,-,-,-,-,-,-,-,-,-,-,-,24.9,A,6'0",190,-,GEORGIA,2022,6,213
-,Josh Wallace,CB,30,44.2,46.8,61.8,43.4,165,73,6,86,25.1,A,6'0",190,-,MICHIGAN,2024,-,-
53rd of 116,Ahkello Witherspoon,CB,4,65.6,62.2,96.5,62.6,598,215,2,381,30.4,A,6'2",195,4.5,COLORADO,2017,3,66
82nd of 116,Darious Williams,CB,31,59.0,54.6,59.3,59.8,865,320,1,544,32.4,A,5'9",187,-,UAB,2018,-,-
56th of 116,Cobie Durant,CB,14,64.9,60.6,94.2,61.5,843,347,6,490,27.5,A,5'11",180,-,SCAR STATE,2022,4,142
-,Charles Woods,CB,21,54.2,44.2,-,65.3,14,8,-,6,0.0,A,5'11",191,-,SMU,2024,-,-
-,Emmanuel Forbes,CB,25,39.0,40.9,-,39.9,160,77,-,83,24.6,A,6'1",180,4.3,MISS STATE,2023,1,16
-,A.J. Green III,CB,27,-,-,-,-,-,-,-,-,-,-,-,-,27.2,A,6'2",198,-,OKLA STATE,2020,-,-
-,Cam Lampkin,CB,33,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",173,-,WASH STATE,2024,-,-
-,Tanner Ingle,S,34,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",179,-,NC STATE,2023,-,-
-,Nate Valcarcel,S,43,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",192,-,N ILLINOIS,2025,-,-
71st of 98,Jaylen McCollough,S,2,58.5,52.0,70.2,61.6,382,88,19,276,0.0,A,6'0",206,-,TENNESSEE,2024,-,-
26th of 98,Kamren Kinchens,S,26,71.5,65.1,67.3,73.7,623,193,1,429,22.9,A,6'0",205,-,MIAMI FL,2024,3,100
37th of 98,Kamren Curl,S,3,67.3,68.5,61.7,62.1,1112,449,29,634,26.4,A,6'2",198,-,ARKANSAS,2020,7,216
43rd of 98,Quentin Lake,S,37,65.3,60.3,64.7,59.2,1207,486,25,696,26.5,A,6'1",201,-,UCLA,2022,6,212
-,Shaun Dolac,LB,56,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",225,-,BUFFALO,2025,-,-
-,Chris Paul Jr.,LB,54,-,-,-,-,-,-,-,-,-,-,-,-,22.8,A,6'1",235,-,OLE MISS,2025,5,174
63rd of 84,Troy Reeder,LB,51,57.9,61.7,50.2,55.9,372,183,19,170,30.9,A,6'3",245,-,DELAWARE,2019,-,-
27th of 84,Omar Speights,LB,48,69.4,77.6,63.6,56.5,504,245,20,239,0.0,A,6'1",235,-,LSU,2024,-,-
39th of 84,Nate Landman,LB,53,65.7,73.9,56.5,58.2,543,226,20,297,26.7,A,6'3",235,-,COLORADO,2022,-,-
-,Eli Neal,LB,58,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",226,-,MARSHALL,2024,-,-
16th of 118,Kobie Turner,DI,91,75.1,74.8,66.6,75.4,919,341,578,0,26.3,A,6'3",288,-,WAKE,2023,3,90
-,Bill Norton,DI,97,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",335,-,TEXAS,2025,-,-
-,Desjuan Johnson,DI,94,62.8,63.2,57.9,60.0,155,70,85,0,25.9,A,6'3",252,-,TOLEDO,2023,7,261
-,Ty Hamilton,DI,57,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",295,-,OHIO STATE,2025,5,148
95th of 118,Tyler Davis,DI,90,48.2,46.3,59.9,58.0,354,200,154,0,24.8,A,6'2",300,-,CLEMSON,2024,6,197
-,Larrell Murchison,DI,52,-,-,-,-,-,-,-,-,-,-,-,-,28.3,A,6'3",297,-,NC STATE,2020,5,174
65th of 118,Braden Fiske,DI,55,57.6,38.9,68.9,67.1,700,232,464,4,25.5,A,6'5",297,-,FLORIDA ST,2024,2,39
5th of 118,Roona Ford,DI,95,85.3,80.3,70.0,68.6,652,266,384,2,29.7,A,5'11",310,-,TEXAS,2018,-,-
-,Jack Heflin,DI,93,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",304,-,IOWA,2021,-,-
-,Keir Thomas,ED,96,52.8,48.3,67.9,63.8,62,31,27,4,0.0,IR,6'2",275,-,FLORIDA ST,2022,-,-
67th of 119,Byron Young,ED,0,61.6,55.7,66.8,61.9,936,359,423,154,27.4,A,6'2",250,4.4,TENNESSEE,2023,3,78
-,Nick Hampton,ED,6,77.3,63.9,69.2,60.0,11,7,3,1,25.3,A,6'2",235,4.6,APP STATE,2023,5,163
-,Jamil Muhammad,ED,45,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",260,-,USC,2025,-,-
-,Josaiah Stewart,ED,41,-,-,-,-,-,-,-,-,-,-,-,-,22.3,A,6'1",245,-,MICHIGAN,2025,3,90
-,Brennan Jackson,ED,44,53.6,56.8,66.9,31.7,47,23,20,4,24.8,A,6'4",264,-,WASH STATE,2024,5,155
7th of 119,Jared Verse,ED,8,89.3,81.0,85.5,56.1,933,356,546,31,24.8,A,6'4",260,-,FLORIDA ST,2024,1,19
