POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
87th of 119,Cameron Jordan,ED,94,57.4,54.5,54.3,73.6,565,216,341,8,36.2,A,6'4",287,4.7,CAL,2011,1,24
-,Jake Haener,QB,3,57.2,56.7,59.4,-,60.9,60.0,82,54,6,-,1,21,26.4,A,6'0",200,-,FRESNO ST,2023,4,128
-,Tyler Shough,QB,6,-,-,-,-,-,-,-,-,-,-,-,-,25.9,A,6'5",225,-,LOUISVILLE,2025,2,40
42nd of 42,Spencer Rattler,QB,2,52.0,49.4,71.3,58.4,60.9,60.5,395,284,4,1,1,105,25.4,A,6'1",217,-,S CAROLINA,2024,5,151
59th of 133,Devaughn Vele,WR,14,69.3,-,-,71.4,-,31.5,470,-,-,350,-,120,0.0,A,6'5",210,-,UTAH,2024,7,236
118th of 133,Kevin Austin Jr.,WR,81,56.0,-,63.1,57.6,77.0,39.8,324,-,1,205,6,112,25.4,A,6'2",200,-,NOTRE DAME,2022,-,-
-,Roderick Daniels Jr.,WR,89,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'9",186,-,SMU,2025,-,-
-,Moochie Dixon,WR,84,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",187,-,SMU,2025,-,-
86th of 133,Brandin Cooks,WR,10,63.2,-,56.5,63.3,-,53.7,470,-,3,317,-,150,31.9,A,5'10",189,4.3,OREGON ST,2014,1,20
131st of 133,Mason Tipton,WR,15,46.0,-,-,47.6,-,62.9,367,-,-,254,-,103,0.0,A,5'11",191,-,YALE,2024,-,-
-,Bub Means,WR,16,59.9,-,-,62.2,-,31.2,145,-,-,98,-,47,0.0,IR,6'2",215,-,PITTSBURGH,2024,5,171
-,Dante Pettis,WR,17,70.2,-,-,69.3,-,62.2,148,-,-,104,-,44,29.8,A,6'1",195,-,WASHINGTON,2018,2,44
82nd of 133,Cedrick Wilson Jr.,WR,11,63.5,70.3,-,63.7,74.3,46.2,382,2,-,215,3,162,30.4,A,6'2",197,4.5,BOISE ST,2018,6,208
16th of 133,Chris Olave,WR,12,82.4,-,-,83.0,39.9,55.1,315,-,-,201,1,113,26.1,A,6'1",187,-,OHIO STATE,2022,1,11
57th of 133,Rashid Shaheed,WR,22,69.7,-,66.1,69.2,-,54.8,286,-,6,182,-,98,26.9,A,6'0",180,-,WEBER ST,2022,-,-
-,Kendre Miller,HB,5,73.3,-,79.7,49.2,47.2,60.0,103,-,41,50,9,3,23.2,A,5'11",220,-,TCU,2023,3,72
-,Marcus Yarns,HB,34,-,-,-,-,-,-,-,-,-,-,-,-,23.8,A,5'11",183,-,DELAWARE,2025,-,-
26th of 59,Cam Akers,HB,26,72.6,-,76.3,59.8,33.9,60.0,204,-,113,139,34,8,26.1,A,5'10",217,-,FLORIDA ST,2020,2,52
-,Devin Neal,HB,30,-,-,-,-,-,-,-,-,-,-,-,-,22.0,A,6'1",215,-,KANSAS,2025,6,186
-,Myles Jones,HB,13,65.1,-,65.4,59.1,-,59.8,7,-,3,3,-,1,28.2,A,6'0",200,-,TENNESSEE,2022,3,71
-,Clyde Edwards-Helaire,HB,23,57.4,-,60.3,59.9,21.4,-,44,-,13,26,5,-,26.3,A,5'7",207,-,LSU,2020,1,32
24th of 59,Alvin Kamara,HB,41,73.7,-,76.6,64.7,38.7,58.0,641,-,234,331,46,31,30.0,A,5'10",215,4.6,TENNESSEE,2017,3,67
-,Treyton Welch,TE,82,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",241,-,WYOMING,2024,-,-
-,Michael Jacobson,TE,86,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'7",244,-,IOWA STATE,2021,-,-
-,Seth Green,TE,42,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",240,-,HOUSTON,2022,-,-
-,Mason Pline,TE,00,-,-,-,-,-,-,-,-,-,-,-,-,25.5,IR,6'7",260,-,FURMAN,2024,-,-
