POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Austin Deculus,T,76,65.2,-,-,-,76.9,59.4,39,-,-,-,12,27,26.4,A,6'5",321,-,LSU,2022,6,200
-,Zach Thomas,T,78,58.1,-,-,-,57.7,55.6,101,-,-,-,57,44,27.2,A,6'5",300,-,S DIEGO ST,2022,6,186
-,Kedon Slovis,QB,16,-,-,-,-,-,-,-,-,-,-,-,-,24.3,A,6'3",215,-,BYU,2024,-,-
14th of 42,C.J. Stroud,QB,7,80.0,77.6,73.3,51.5,-,60.0,1174,741,19,4,-,410,23.8,A,6'3",218,-,OHIO STATE,2023,1,2
-,Graham Mertz,QB,18,-,-,-,-,-,-,-,-,-,-,-,-,24.7,A,6'2",216,-,FLORIDA,2025,6,199
-,Davis Mills,QB,10,66.5,64.0,74.7,-,-,60.0,72,41,2,-,-,29,26.8,A,6'4",225,-,STANFORD,2021,3,67
-,Cornell Powell,WR,11,-,-,-,-,-,-,-,-,-,-,-,-,27.8,A,6'0",204,-,CLEMSON,2021,5,182
-,Juwann Winfree,WR,15,-,-,-,-,-,-,-,-,-,-,-,-,28.9,A,6'1",210,-,COLORADO,2019,6,187
-,Daniel Jackson,WR,85,-,-,-,-,-,-,-,-,-,-,-,-,23.3,A,6'0",195,-,MINNESOTA,2025,-,-
113th of 133,Xavier Hutchinson,WR,19,57.8,-,-,58.1,-,49.2,561,-,-,327,-,234,25.2,A,6'2",205,4.5,IOWA STATE,2023,6,207
40th of 133,Tank Dell,WR,3,73.1,-,64.7,73.6,-,46.1,632,-,9,468,-,155,25.8,APUP,5'8",165,4.5,HOUSTON,2023,3,70
-,Quintez Cephus,WR,14,-,-,-,-,-,-,-,-,-,-,-,-,27.6,A,6'1",208,-,WISCONSIN,2020,5,166
-,Jaylin Noel,WR,82,-,-,-,-,-,-,-,-,-,-,-,-,22.9,A,5'11",200,-,IOWA STATE,2025,3,79
-,Jayden Higgins,WR,81,-,-,-,-,-,-,-,-,-,-,-,-,22.6,A,6'4",215,-,IOWA STATE,2025,2,34
-,Braxton Berrios,WR,17,44.9,-,-,46.9,-,38.1,112,-,-,85,-,27,29.8,A,5'9",190,-,MIAMI FL,2018,6,210
64th of 133,Christian Kirk,WR,13,67.9,-,-,68.2,-,48.7,337,-,-,230,-,107,28.7,A,5'11",200,4.5,TEXAS A&M,2018,2,47
125th of 133,Justin Watson,WR,84,53.8,-,-,52.9,36.3,57.5,709,-,-,439,1,269,30.3,A,6'2",215,-,PENN,2018,5,144
2nd of 133,Nico Collins,WR,12,92.3,-,-,92.3,75.8,67.2,622,-,-,446,2,174,26.4,A,6'4",215,-,MICHIGAN,2021,3,90
-,Nick Chubb,HB,21,57.5,-,62.5,38.6,47.3,59.4,235,-,104,95,25,11,29.6,A,5'11",227,4.5,GEORGIA,2018,2,35
-,Woody Marks,HB,27,-,-,-,-,-,-,-,-,-,-,-,-,24.6,A,5'10",208,-,USC,2025,4,116
54th of 59,Dare Ogunbowale,HB,33,60.6,-,69.9,63.0,38.9,60.0,347,-,33,222,86,-,31.3,A,5'11",205,4.7,WISCONSIN,2017,-,-
17th of 59,Joe Mixon,HB,28,75.8,54.9,76.5,65.7,52.4,74.5,644,1,296,286,45,15,29.0,ANFI,6'1",220,-,OKLAHOMA,2017,2,48
