player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Justin Reid,49048,S,KC,16,105,5.8,5.0,16,0,157.8,18,21,3,260,101,2.48
Kamren Kinchens,143946,S,LA,11,29,5.8,5.8,26,0,158.3,5,5,2,73,21,2.52
Isaiah McDuffie,57754,LB,GB,15,64,5.8,4.9,12,0,133.3,11,13,1,128,77,2.0
Devin Lloyd,58238,LB,JAX,14,46,5.8,3.5,15,0,81.3,8,13,0,87,81,1.89
Edgerrin Cooper,124311,LB,GB,13,35,5.8,3.5,12,1,32.1,6,10,0,47,61,1.34
Trenton Simpson,122157,LB,BLT,14,35,5.8,4.4,3,0,101.6,6,8,0,71,32,2.03
Renardo Green,99773,CB,SF,11,23,5.8,4.6,28,0,96.7,4,5,0,36,30,1.57
Jaden Hicks,146512,S,KC,8,23,5.8,5.8,16,0,104.2,4,4,0,36,28,1.57
Christian Roland-Wallace,97374,CB,KC,8,98,5.8,5.2,16,1,104.4,17,19,1,192,86,1.96
Chamarri Conner,76662,CB,KC,15,224,5.7,5.1,16,0,106.5,39,44,1,341,244,1.52
Ugo Amadi,49352,CB,NO,11,266,5.7,4.2,20,0,112.8,47,63,3,494,198,1.86
Nate Wiggins,144143,CB,BLT,12,17,5.7,5.7,3,0,106.9,3,3,0,29,18,1.71
Jaquan Brisker,101665,S,CHI,4,17,5.7,5.7,6,1,79.2,3,3,0,60,8,3.53
Nick Scott,49012,S,CAR,6,34,5.7,4.3,5,0,129.7,6,8,1,49,16,1.44
Juan Thornhill,50426,S,CLV,8,17,5.7,5.7,8,0,105.6,3,3,0,28,19,1.65
Zyon McCollum,66769,CB,TB,11,17,5.7,4.3,30,1,116.7,3,4,1,62,8,3.65
Justin Strnad,42659,LB,DEN,11,28,5.6,4.7,10,0,102.8,5,6,0,52,28,1.86
Nick McCloud,49535,CB,SF,6,62,5.6,5.6,28,0,155.5,11,11,2,130,95,2.1
Christian Rozeboom,49862,LB,LA,15,45,5.6,5.0,26,0,134.7,8,9,1,67,36,1.49
DeShon Elliott,28854,S,PIT,15,141,5.6,4.0,25,0,100.4,25,35,1,246,103,1.74
Henry To'oTo'o,98982,LB,HST,15,56,5.6,4.7,13,0,128.1,10,12,1,97,69,1.73
Payton Wilson,77127,LB,PIT,12,22,5.5,5.5,25,0,104.2,4,4,0,36,21,1.64
Christian Braswell,56207,CB,JAX,2,22,5.5,5.5,15,0,93.8,4,4,0,26,38,1.18
Quandre Diggs,9633,S,TEN,6,11,5.5,2.8,31,0,56.3,2,4,0,5,6,0.45
Drue Tranquill,51276,LB,KC,15,44,5.5,4.4,16,0,89.2,8,10,0,54,17,1.23
Christian Izien,83360,S,TB,12,131,5.5,4.7,30,0,100.7,24,28,0,229,162,1.75
Willie Gay,57987,LB,NO,7,11,5.5,3.7,20,0,82.6,2,3,0,18,29,1.64
Quincy Williams,49779,LB,NYJ,17,71,5.5,4.4,22,0,115.4,13,16,1,107,81,1.51
Omar Speights,97723,LB,LA,5,11,5.5,3.7,26,0,70.1,2,3,0,9,1,0.82
Nolan Smith,99014,ED,PHI,10,11,5.5,5.5,24,0,118.8,2,2,0,25,7,2.27
Jalen Reeves-Maybin,11879,LB,DET,8,27,5.4,5.4,11,0,95.8,5,5,0,35,12,1.3
Tremaine Edmunds,50905,LB,CHI,15,49,5.4,4.1,6,0,95.8,9,12,0,90,67,1.84
P.J. Locke,51189,S,DEN,15,65,5.4,5.4,10,0,121.9,12,12,1,79,21,1.22
James Pierre,60649,CB,PIT,5,16,5.3,5.3,25,0,129.9,3,3,2,17,1,1.06
Junior Colson,124827,LB,LAC,7,16,5.3,3.2,27,0,67.9,3,5,0,19,9,1.19
Jake Hansen,43645,LB,HST,6,16,5.3,5.3,13,0,102.8,3,3,0,26,18,1.63
Jordan Hicks,9517,LB,CLV,7,21,5.3,4.2,8,0,101.7,4,5,0,42,39,2.0
Daryl Worley,10711,S,TEN,7,21,5.3,4.2,31,0,90.0,4,5,0,28,23,1.33
Cam Lewis,49395,S,BUF,16,166,5.2,4.6,4,0,108.0,32,36,1,277,150,1.67
Demani Richardson,98852,S,CAR,7,46,5.1,3.5,5,0,97.3,9,13,0,117,56,2.54
Jordyn Brooks,50851,LB,MIA,17,91,5.1,3.4,17,0,89.1,18,27,0,204,120,2.24
JD Bertrand,102787,LB,ATL,5,5,5.0,5.0,2,0,95.8,1,1,0,7,2,1.4
Benjamin St-Juste,56061,CB,WAS,9,20,5.0,4.0,32,0,123.8,4,5,1,21,3,1.05
Tre Brown,55677,CB,SEA,4,5,5.0,5.0,29,0,118.8,1,1,0,20,25,4.0
Samuel Womack III,65771,CB,IND,5,5,5.0,1.7,14,0,42.4,1,3,0,6,1,1.2
Mike Ford,50535,CB,CLV,3,5,5.0,5.0,8,0,118.8,1,1,0,16,1,3.2
Josh Sweat,50120,ED,PHI,2,5,5.0,5.0,24,0,118.8,1,1,0,13,7,2.6
Josh Jobe,83122,CB,SEA,6,10,5.0,5.0,29,0,118.8,2,2,0,26,13,2.6
Otis Reese IV,83219,LB,TEN,1,5,5.0,5.0,31,0,118.8,1,1,0,15,13,3.0
Terell Smith,83302,CB,CHI,4,5,5.0,5.0,6,0,87.5,1,1,0,5,2,1.0
Reddy Steward,97289,CB,CHI,1,10,5.0,3.3,6,0,109.7,2,3,0,39,18,3.9
Alex Highsmith,43507,ED,PIT,5,5,5.0,5.0,25,0,104.2,1,1,0,9,6,1.8
Jonathon Cooper,43021,ED,DEN,4,5,5.0,5.0,10,0,79.2,1,1,0,0,5,0.0
Trevon Diggs,41817,CB,DAL,11,25,5.0,3.6,9,0,153.3,5,7,3,102,29,4.08
Chazz Surratt,40313,LB,NYJ,4,5,5.0,5.0,22,0,87.5,1,1,0,5,0,1.0
SirVocea Dennis,99767,LB,TB,4,5,5.0,5.0,30,0,100.0,1,1,0,8,13,1.6
T.J. Edwards,30737,LB,CHI,15,45,5.0,4.1,6,0,102.3,9,11,0,94,53,2.09
Cam Hart,102955,CB,LAC,6,10,5.0,3.3,27,0,78.5,2,3,0,15,1,1.5
Jaylon Carlies,124196,LB,IND,6,15,5.0,5.0,14,0,80.6,3,3,0,10,7,0.67
John Johnson III,11847,S,LA,2,10,5.0,5.0,26,0,112.5,2,2,0,22,5,2.2
Deon Bush,10758,S,KC,1,5,5.0,5.0,16,0,100.0,1,1,0,8,4,1.6
Richie Grant,43196,S,ATL,8,34,4.9,4.3,2,0,125.5,7,8,1,37,52,1.09
Tyrice Knight,122025,LB,SEA,11,34,4.9,3.1,29,0,78.2,7,11,0,61,46,1.79
Byron Young,146932,ED,LA,12,29,4.8,2.9,26,0,64.6,6,10,0,30,23,1.03
DJ Turner II,101376,CB,CIN,8,19,4.8,3.8,7,0,101.7,4,5,0,42,16,2.21
Bobby Okereke,50954,LB,NYG,12,43,4.8,4.3,21,0,123.3,9,10,1,56,44,1.3
Eric Wilson,38587,LB,GB,16,57,4.8,4.1,12,1,77.1,12,14,0,135,65,2.37
Antonio Hamilton Sr.,11353,CB,ATL,1,19,4.8,4.8,2,0,147.9,4,4,3,40,16,2.11
Marte Mapu,56159,S,NE,9,41,4.6,3.7,19,0,95.1,9,11,0,75,58,1.83
Akeem Davis-Gaither,34788,LB,CIN,15,32,4.6,4.0,7,0,107.8,7,8,0,79,43,2.47
Jarvis Brownlee Jr.,99734,CB,TEN,8,67,4.5,3.5,31,0,120.2,15,19,2,84,69,1.25
Claudin Cherelus,52094,LB,CAR,4,9,4.5,4.5,5,0,100.0,2,2,0,16,9,1.78
Ben Niemann,51099,LB,DET,5,9,4.5,4.5,11,0,81.3,2,2,0,7,8,0.78
Matt Milano,11918,LB,BUF,3,9,4.5,4.5,4,0,100.0,2,2,0,16,19,1.78
Kamari Lassiter,146727,CB,HST,7,36,4.5,2.6,13,0,90.8,8,14,1,58,42,1.61
Quay Walker,82547,LB,GB,10,43,4.3,3.3,12,0,96.0,10,13,0,93,56,2.16
Zaire Franklin,49834,LB,IND,16,69,4.3,4.3,14,0,112.8,16,16,0,177,76,2.57
Charles Snowden,62775,ED,LV,9,13,4.3,4.3,23,0,118.8,3,3,0,45,29,3.46
Paulson Adebo,52280,CB,NO,5,13,4.3,4.3,20,0,118.8,3,3,0,100,48,7.69
Shaq Thompson,9458,LB,CAR,4,17,4.3,4.3,5,0,97.9,4,4,0,30,28,1.76
Grant Stuard,55933,LB,IND,8,21,4.2,3.5,14,0,99.3,5,6,0,47,49,2.24
Michael Hoecht,108840,ED,LA,13,25,4.2,3.6,26,0,107.1,6,7,0,68,60,2.72
DeMarvion Overshown,76729,LB,DAL,11,38,4.2,4.2,9,0,116.2,9,9,0,107,82,2.82
Josey Jewell,50720,LB,CAR,10,37,4.1,3.4,5,0,98.9,9,11,0,85,42,2.3
Donte Jackson,49377,CB,PIT,9,16,4.0,3.2,25,0,100.8,4,5,0,41,18,2.56
Devin Bush,27375,LB,CLV,6,16,4.0,4.0,8,0,113.5,4,4,0,45,46,2.81
Joshua Williams,156083,CB,KC,4,4,4.0,4.0,16,0,118.8,1,1,0,17,-1,4.25
