player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Ali Gaye,124095,ED,TEN,14,0,0,31,51.8,0,2,68,94.7,7.4,5,0,2.9,1,76,72,3,0,40.4,0,1,18,100.0,5.6,1,2.8,0,21,21,1
Jaquelin Roy,124111,DI,NE,5,0,0,19,61.4,0,2,47,100.0,6.4,3,1,6.4,2,50,50,4,0,65.0,0,1,8,100.0,12.5,1,18.8,1,8,8,2
Cedric Johnson,124136,ED,CIN,7,0,0,7,63.9,2,2,53,96.5,9.4,5,0,5.7,1,57,55,5,0,61.2,1,2,28,100.0,10.7,3,8.9,1,30,30,4
Tavius Robinson,124147,ED,BLT,17,0,0,3,55.2,8,5,243,94.1,5.3,13,0,4.3,4,273,257,17,0,50.1,3,4,87,92.2,4.6,4,7.5,3,102,94,10
Tyrus Wheat,124191,ED,DAL,7,0,0,9,59.3,0,6,67,98.6,9.0,6,1,6.0,1,72,71,7,0,54.2,0,3,24,100.0,8.3,2,6.3,0,24,24,3
Jaylon Carlies,124196,LB,IND,10,0,0,14,62.0,0,0,10,10.4,0.0,0,0,10.0,1,96,10,1,0,59.0,0,0,1,3.3,0.0,0,0.0,0,30,1,0
Edgerrin Cooper,124311,LB,GB,14,1,0,12,90.1,2,5,47,16.8,14.9,7,1,16.0,4,304,51,11,0,74.9,1,3,30,21.8,13.3,4,20.0,4,147,32,8
McKinnley Jackson,124324,DI,CIN,13,0,0,7,51.2,0,6,128,100.0,3.9,5,0,3.1,1,133,133,7,0,62.9,0,2,36,100.0,11.1,4,5.6,1,36,36,3
Antonio Johnson,124326,S,JAX,17,0,0,15,59.2,1,6,11,2.6,18.2,2,3,31.8,0,456,12,7,0,66.3,0,5,7,3.7,28.6,2,35.7,0,216,8,5
Gervon Dexter Sr.,124374,DI,CHI,15,2,0,6,66.7,14,19,338,98.6,9.8,33,0,6.7,6,361,356,39,1,76.1,12,18,171,99.4,16.4,28,11.7,5,180,179,35
Junior Colson,124827,LB,LAC,10,0,0,27,63.5,1,4,13,10.9,30.8,4,1,19.2,0,137,15,5,0,66.6,1,4,10,19.6,40.0,4,25.0,0,56,11,5
Mekhi Wingo,128050,DI,DET,11,1,0,11,58.9,0,5,95,99.1,7.4,7,0,2.6,0,109,108,5,0,59.2,0,4,45,98.0,8.9,4,4.4,0,51,50,4
Jer'Zhan Newton,129420,DI,WAS,16,1,0,32,63.0,5,11,243,100.0,7.8,19,3,4.1,2,264,264,18,0,61.6,4,5,95,100.0,11.6,11,4.7,0,104,104,9
Lukas Van Ness,129482,ED,GB,17,0,0,12,65.5,3,13,235,95.7,9.8,23,5,5.1,4,258,247,20,0,61.7,1,7,107,95.0,12.1,13,5.6,2,120,114,10
Tarheeb Still,129537,CB,LAC,14,0,0,27,66.4,0,0,6,1.2,0.0,0,1,16.7,1,521,6,1,0,71.8,0,0,3,1.2,0.0,0,33.3,1,260,3,1
Jaylen Harrell,129579,ED,TEN,17,0,0,31,42.7,0,5,124,91.5,1.6,2,0,2.0,0,141,129,5,0,45.6,0,2,42,95.8,2.4,1,2.4,0,48,46,2
Kris Jenkins,129584,DI,CIN,15,0,0,7,53.5,2,6,239,99.6,2.9,7,0,2.9,3,261,260,11,0,59.6,1,4,78,100.0,5.1,4,4.5,1,85,85,6
Braiden McGregor,129586,ED,NYJ,7,0,0,22,55.3,0,3,37,100.0,5.4,2,1,4.1,0,39,39,3,0,60.0,0,2,13,100.0,7.7,1,7.7,0,14,14,2
Ji'Ayir Brown,129767,S,SF,17,0,2,28,48.0,0,1,11,2.6,0.0,0,2,4.5,0,495,13,1,0,56.3,0,0,1,0.8,0.0,0,0.0,0,240,2,0
Curtis Jacobs,129785,LB,NE,3,0,0,19,54.0,0,0,5,45.5,0.0,0,0,0.0,0,11,5,0,0,58.7,0,0,1,20.0,0.0,0,0.0,0,5,1,0
Nick Herbig,129920,ED,PIT,13,0,0,25,91.8,5,14,203,84.6,15.8,32,1,8.1,7,259,219,26,0,90.2,2,11,114,87.0,14.9,17,10.1,5,138,120,18
Byron Murphy II,131252,DI,SEA,14,0,0,29,64.5,0,20,230,99.2,10.0,23,1,4.8,1,246,244,21,0,74.0,0,13,79,98.9,20.3,16,9.5,1,88,87,14
Christian Gonzalez,131679,CB,NE,16,0,2,19,74.9,1,0,3,0.5,0.0,0,3,16.7,0,566,3,1,0,68.5,1,0,1,0.4,0.0,0,50.0,0,248,1,1
Noah Sewell,131722,LB,CHI,2,0,1,6,56.1,0,0,2,100.0,0.0,0,1,0.0,0,2,2,0,0,,0,0,0,,,0,,0,0,0,0
Mitchell Agude,131787,ED,DET,3,0,0,11,52.3,0,0,24,96.0,4.2,1,0,0.0,0,25,24,0,0,56.4,0,0,12,100.0,8.3,1,0.0,0,12,12,0
Tuli Tuipulotu,131840,ED,LAC,17,1,0,27,64.9,8,23,372,85.7,13.4,50,1,6.6,9,468,401,40,0,61.4,4,17,197,93.9,15.2,30,7.9,5,230,216,26
Clark Phillips III,131871,CB,ATL,16,0,0,2,55.8,0,0,2,0.8,0.0,0,0,0.0,0,257,2,0,0,60.0,0,0,1,0.8,0.0,0,0.0,0,120,1,0
Chau Smith-Wade,131956,CB,CAR,10,0,1,5,46.2,0,2,12,6.6,0.0,0,4,8.3,0,196,13,2,0,53.4,0,1,3,3.2,0.0,0,16.7,0,94,3,1
Jaylen Watson,131960,CB,KC,6,0,1,16,51.3,0,0,4,2.2,0.0,0,2,0.0,0,226,5,0,0,54.6,0,0,2,2.0,0.0,0,0.0,0,100,2,0
Myles Harden,141857,CB,CLV,4,0,0,8,60.0,0,0,1,2.9,0.0,0,0,0.0,0,35,1,0,0,60.0,0,0,1,5.6,0.0,0,0.0,0,18,1,0
Malik Mustapha,142358,S,SF,15,0,0,28,72.1,0,1,8,1.9,25.0,2,0,6.3,0,417,8,1,0,55.8,0,0,2,1.0,0.0,0,0.0,0,192,2,0
Kamren Kinchens,143946,S,LA,16,0,0,26,67.3,0,0,1,0.3,100.0,1,1,0.0,0,356,1,0,0,67.3,0,0,1,0.6,100.0,1,0.0,0,175,1,0
Leonard Taylor III,143953,DI,NYJ,14,1,0,22,69.9,1,6,102,100.0,8.8,9,1,5.4,2,114,114,9,0,67.6,1,2,34,100.0,11.8,4,7.4,1,37,37,4
James Williams,143955,LB,TEN,4,0,0,31,54.7,0,0,4,8.5,0.0,0,0,0.0,0,47,4,0,0,59.1,0,0,1,6.3,0.0,0,0.0,0,16,1,0
Jeremiah Trotter Jr.,144142,LB,PHI,5,0,0,24,56.2,0,0,5,8.6,0.0,0,0,20.0,1,58,5,1,0,,0,0,0,0.0,,0,,0,26,0,0
Nate Wiggins,144143,CB,BLT,15,0,2,3,58.6,0,1,1,0.2,0.0,0,8,50.0,0,498,1,1,0,58.6,0,1,1,0.4,0.0,0,50.0,0,258,1,1
Cooper DeJean,144867,CB,PHI,14,0,1,24,61.6,0,2,10,2.6,10.0,1,3,20.0,1,427,11,3,0,74.4,0,1,2,1.0,50.0,1,25.0,0,209,2,1
Chop Robinson,144901,ED,MIA,17,2,0,17,78.7,7,42,325,87.1,18.8,61,3,9.7,7,395,344,56,1,81.7,6,31,164,88.9,23.8,39,15.5,7,199,177,44
Austin Booker,144990,ED,CHI,17,0,0,6,59.4,3,5,145,94.5,5.5,8,1,4.1,2,163,154,10,0,62.4,3,4,70,92.7,7.1,5,6.4,1,82,76,8
Michael Hall Jr.,145076,DI,CLV,8,0,0,8,61.6,4,11,157,97.0,10.8,17,0,5.4,1,167,162,16,0,67.4,3,10,81,98.8,17.3,14,9.3,1,85,84,14
Thomas Incoom,145694,ED,CAR,5,0,0,5,50.0,1,1,19,83.3,0.0,0,0,5.3,0,24,20,2,0,51.1,1,1,8,75.0,0.0,0,12.5,0,12,9,2
Bo Richter,145962,ED,MIN,3,0,0,18,53.4,0,0,20,84.0,5.0,1,0,0.0,0,25,21,0,0,57.9,0,0,9,100.0,11.1,1,0.0,0,10,10,0
Calen Bullock,146424,S,HST,17,0,0,13,58.8,0,0,1,0.2,0.0,0,2,0.0,0,612,1,0,0,58.8,0,0,1,0.4,0.0,0,0.0,0,284,1,0
Cole Bishop,146454,S,BUF,10,0,0,4,85.7,0,2,5,3.2,20.0,1,1,20.0,0,222,7,2,0,77.3,0,1,2,2.0,50.0,1,25.0,0,98,2,1
Jonah Elliss,146458,ED,DEN,17,3,0,10,60.5,0,14,222,82.6,8.1,18,0,5.9,6,293,242,20,2,65.6,0,10,102,80.1,12.7,13,8.8,4,136,109,14
Jaden Hicks,146512,S,KC,15,0,0,16,52.1,0,2,11,5.9,9.1,1,1,9.1,0,222,13,2,0,56.0,0,2,8,8.7,12.5,1,12.5,0,103,9,2
Kool-Aid McKinstry,146602,CB,NO,14,0,0,20,57.6,0,1,5,1.4,20.0,1,0,10.0,0,436,6,1,0,61.9,0,1,4,1.8,25.0,1,12.5,0,221,4,1
Terrion Arnold,146603,CB,DET,16,0,0,11,59.1,0,0,1,0.2,0.0,0,10,0.0,0,663,1,0,0,,0,0,0,0.0,,0,,0,340,0,0
Dallas Turner,146604,ED,MIN,16,0,1,18,55.2,2,7,137,72.4,5.8,8,1,5.5,3,199,144,12,0,54.8,0,4,77,79.6,6.5,5,6.5,3,103,82,7
Javon Bullard,146726,S,GB,15,0,0,12,58.8,0,3,16,3.3,18.8,3,1,9.4,0,489,16,3,0,57.4,0,1,10,4.4,10.0,1,5.0,0,227,10,1
Kamari Lassiter,146727,CB,HST,14,0,2,13,38.9,0,2,7,1.6,0.0,0,3,14.3,0,487,8,2,0,38.0,0,2,4,1.9,0.0,0,25.0,0,212,4,2
Trevin Wallace,146747,LB,CAR,11,0,0,5,61.5,0,4,34,12.1,11.8,4,0,8.8,1,297,36,5,0,67.6,0,1,18,14.8,16.7,3,8.3,1,128,19,2
Maason Smith,146774,DI,JAX,11,3,0,15,52.1,0,11,225,99.6,4.4,10,0,3.8,3,242,241,14,1,53.9,0,8,93,100.0,8.6,8,7.5,3,100,100,11
Byron Young,146932,ED,LA,17,0,1,26,66.0,7,28,342,72.5,11.1,38,6,7.7,9,516,374,44,0,67.3,4,21,173,80.3,13.3,23,11.3,7,239,192,32
Sam Roberts,156069,DI,CAR,3,0,0,5,52.6,0,0,13,100.0,0.0,0,0,0.0,0,14,14,0,0,56.8,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Kader Kohou,156070,CB,MIA,15,1,0,17,49.0,0,2,17,3.5,0.0,0,4,5.9,0,490,17,2,0,49.4,0,1,7,3.2,0.0,0,7.1,0,220,7,1
Joshua Williams,156083,CB,KC,12,0,1,16,75.9,0,0,3,1.1,0.0,0,6,33.3,1,285,3,1,0,82.6,0,0,1,0.8,0.0,0,100.0,1,133,1,1
Jeremiah Pharms Jr.,156117,DI,NE,16,0,0,19,56.6,3,14,249,100.0,7.2,18,0,4.2,2,266,266,19,0,58.0,1,9,118,100.0,9.3,11,5.1,1,130,130,11
Dondrea Tillman,156124,ED,DEN,12,0,1,10,65.4,3,13,143,94.4,8.4,12,1,9.1,5,162,153,21,0,74.0,2,7,71,94.9,11.3,8,12.0,4,79,75,13
Levi Drake Rodriguez,165670,DI,MIN,1,0,0,18,69.0,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Caleb Murphy,169634,ED,LAC,4,0,0,27,54.0,0,0,19,95.2,5.3,1,0,0.0,0,21,20,0,0,51.0,0,0,8,100.0,0.0,0,0.0,0,8,8,0
Trevor Nowaske,169859,ED,DET,13,0,0,11,54.9,2,13,146,69.3,6.2,9,0,6.5,2,231,160,17,0,56.2,2,8,93,77.3,6.5,6,7.5,2,132,102,12
