player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Christian Harris,98996,LB,HST,3,0,0,13,56.0,0,1,12,11.4,0.0,0,1,12.5,1,105,12,2,0,62.1,0,1,6,16.7,0.0,0,25.0,1,36,6,2
Owen Pappoe,99006,LB,ARZ,11,0,0,1,48.2,0,4,23,26.1,8.7,2,0,8.7,0,92,24,4,0,54.0,0,3,10,19.2,20.0,2,15.0,0,52,10,3
Nolan Smith,99014,ED,PHI,16,2,0,24,70.2,3,21,260,86.0,14.6,38,2,7.3,7,322,277,31,1,73.2,3,12,114,90.3,21.1,24,10.1,4,134,121,19
Jermaine Johnson,99015,ED,NYJ,2,0,0,22,62.3,0,7,42,97.9,16.7,7,2,8.3,0,47,46,7,0,69.5,0,3,21,100.0,23.8,5,7.1,0,23,23,3
Nakobe Dean,99018,LB,PHI,15,0,0,24,82.5,3,8,61,12.1,19.7,12,1,13.9,3,544,66,14,0,83.7,2,5,30,13.4,30.0,9,18.3,2,231,31,9
Tyler Owens,99271,S,WAS,1,0,0,32,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
T'Vondre Sweat,99321,DI,TEN,17,0,0,31,64.7,2,19,333,96.7,6.6,22,2,3.8,2,368,356,23,0,79.6,1,15,126,97.2,13.5,17,7.9,2,142,138,18
Jordan Jefferson,99325,DI,JAX,8,1,0,15,62.6,1,1,55,98.3,5.5,3,1,3.6,1,60,59,3,1,63.2,1,1,25,100.0,8.0,2,4.0,0,27,27,2
Dee Winters,99376,LB,SF,15,0,0,28,48.2,0,0,16,8.2,0.0,0,0,0.0,0,196,16,0,0,51.4,0,0,5,8.8,0.0,0,0.0,0,57,5,0
Khalid Duke,99387,ED,TEN,1,0,0,31,77.5,1,0,3,100.0,33.3,1,0,16.7,0,3,3,1,0,66.9,1,0,1,100.0,0.0,0,50.0,0,1,1,1
Tykee Smith,99500,CB,TB,13,0,2,30,54.5,2,5,53,12.1,3.8,2,4,6.6,0,472,57,7,0,56.5,1,3,18,7.9,5.6,1,11.1,0,254,20,4
Garrett Williams,99723,CB,ARZ,16,0,0,1,64.0,0,3,9,1.9,11.1,1,1,16.7,0,524,10,3,0,57.0,0,3,6,2.4,16.7,1,25.0,0,246,6,3
Jarvis Brownlee Jr.,99734,CB,TEN,17,0,1,31,41.7,0,2,5,1.0,0.0,0,9,20.0,0,513,5,2,0,60.0,0,0,1,0.5,0.0,0,0.0,0,202,1,0
SirVocea Dennis,99767,LB,TB,4,0,0,30,51.2,0,0,16,21.0,0.0,0,1,6.3,1,81,17,1,0,47.2,0,0,8,19.0,0.0,0,0.0,0,42,8,0
Ruke Orhorhoro,99768,DI,ATL,8,0,0,2,55.0,1,5,95,99.0,5.3,5,0,3.2,0,104,103,6,0,52.9,1,2,37,100.0,5.4,2,4.1,0,41,41,3
Amare Barno,99780,ED,CAR,5,0,0,5,56.4,0,2,40,91.1,7.5,3,0,5.0,1,45,41,3,0,59.1,0,2,26,93.1,11.5,3,7.7,1,29,27,3
Calijah Kancey,99822,DI,TB,12,0,0,30,64.5,10,21,354,98.2,9.0,32,5,6.6,8,382,375,39,0,68.4,5,11,159,99.4,12.6,20,9.4,7,171,170,23
Kyu Blu Kelly,100375,CB,LV,1,0,0,23,58.7,0,0,1,11.1,0.0,0,1,0.0,0,9,1,0,0,,0,0,0,0.0,,0,,0,5,0,0
Brandon Dorlus,100452,DI,ATL,2,0,0,2,53.2,0,0,8,100.0,0.0,0,0,0.0,0,8,8,0,0,56.9,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Laiatu Latu,100551,ED,IND,17,1,0,14,72.1,9,25,357,97.9,14.0,50,1,5.9,4,383,375,38,0,66.8,4,18,166,97.2,16.9,28,7.2,1,181,176,23
Sauce Gardner,100903,CB,NYJ,15,0,1,22,78.5,0,1,4,0.8,0.0,0,10,37.5,1,494,4,2,0,,0,0,0,0.0,,0,,0,237,0,0
Ja'Quan McMillian,100931,CB,DEN,17,0,0,10,55.0,1,6,35,5.7,2.9,1,7,12.9,1,645,37,8,0,70.7,1,6,18,5.7,5.6,1,25.0,1,316,18,8
Jacoby Windmon,101226,LB,CAR,4,0,0,5,64.0,0,2,11,16.4,9.1,1,1,18.2,1,67,11,3,0,58.7,0,2,7,28.0,14.3,1,14.3,0,25,7,2
Patrick McMorris,101309,S,MIA,1,0,0,17,57.2,0,0,1,12.5,0.0,0,0,0.0,0,8,1,0,0,,0,0,0,0.0,,0,,0,3,0,0
JL Skinner,101311,S,DEN,5,0,0,10,60.0,0,0,2,33.3,0.0,0,0,0.0,0,6,2,0,0,,0,0,0,0.0,,0,,0,1,0,0
Deonte Banks,101384,CB,NYG,14,0,1,21,70.4,0,1,5,1.1,20.0,1,6,10.0,0,449,5,1,0,,0,0,0,0.0,,0,,0,186,0,0
Devon Witherspoon,101388,CB,SEA,17,1,0,29,78.3,1,6,42,6.1,16.7,7,6,10.7,1,683,42,8,0,69.6,1,3,14,4.8,28.6,4,14.3,0,291,14,4
Dane Belton,101398,S,NYG,14,0,0,21,57.2,0,2,15,5.5,0.0,0,0,13.3,1,273,15,3,0,49.4,0,0,6,4.7,0.0,0,0.0,0,128,6,0
Adisa Isaac,101406,ED,BLT,3,1,0,3,53.8,0,0,19,87.5,0.0,0,0,0.0,0,24,21,0,0,50.0,0,0,12,100.0,0.0,0,0.0,0,13,13,0
Mazi Smith,101419,DI,DAL,17,0,1,9,49.6,1,5,219,100.0,0.9,2,3,2.3,2,234,234,8,0,49.5,0,1,59,100.0,0.0,0,2.5,1,64,64,2
David Ojabo,101420,ED,BLT,13,0,0,3,56.5,4,6,169,90.0,6.5,11,0,4.1,2,201,181,12,0,57.9,2,4,84,88.5,9.5,8,6.0,2,104,92,8
Mike Morris,101421,DI,SEA,7,0,0,29,51.9,0,2,33,100.0,3.0,1,0,3.0,0,35,35,2,0,53.1,0,1,6,100.0,0.0,0,8.3,0,7,7,1
Sam Okuayinonu,101425,ED,SF,16,2,0,28,61.6,3,17,236,98.4,8.1,19,2,5.5,3,253,249,23,1,61.9,2,15,111,100.0,9.9,11,9.5,2,118,118,19
Leo Chenal,101463,LB,KC,17,2,0,16,54.5,1,11,105,44.6,5.7,6,0,6.7,1,251,112,13,1,55.5,1,6,50,64.3,6.0,3,9.0,1,84,54,8
Tommy Eichenberg,101488,LB,LV,4,0,1,23,53.8,0,0,4,10.5,0.0,0,1,0.0,0,38,4,0,0,55.2,0,0,2,15.4,0.0,0,0.0,0,13,2,0
Jack Campbell,101515,LB,DET,17,0,0,11,55.1,3,7,110,18.1,10.9,12,3,6.4,2,653,118,12,0,56.2,2,3,69,24.0,10.1,7,5.1,1,312,75,6
Keeanu Benton,101536,DI,PIT,17,5,0,25,75.7,8,12,349,100.0,10.6,37,1,3.4,2,371,371,22,1,74.5,4,8,169,100.0,13.0,22,4.7,2,179,179,14
Luke McCaffrey,101634,WR,WAS,1,0,0,32,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Jaquan Brisker,101665,S,CHI,5,0,0,6,70.3,0,0,3,1.8,0.0,0,1,33.3,1,171,3,1,0,,0,0,0,0.0,,0,,0,80,0,0
Jared Verse,101912,ED,LA,17,1,1,26,83.7,15,56,450,94.3,19.6,88,5,9.2,6,513,484,77,1,90.3,9,43,220,99.2,26.8,59,13.2,3,244,242,55
Isaiah Land,102108,ED,IND,9,0,0,14,57.9,1,2,48,98.1,6.3,3,1,3.1,0,52,51,3,0,62.0,1,2,24,96.3,8.3,2,6.3,0,27,26,3
Kyle Hamilton,102684,S,BLT,17,3,0,3,89.0,4,6,41,6.4,9.8,4,2,17.1,2,708,45,12,0,89.7,1,2,17,6.0,23.5,4,20.6,2,348,21,5
Isaiah Foskey,102728,ED,NO,8,0,0,20,51.2,0,0,33,100.0,3.0,1,0,0.0,0,33,33,0,0,50.0,0,0,10,100.0,0.0,0,0.0,0,10,10,0
Andre Carter II,102780,ED,LV,2,0,0,23,65.8,0,0,9,90.9,11.1,1,1,11.1,1,11,10,1,0,64.0,0,0,4,100.0,25.0,1,0.0,0,4,4,0
JD Bertrand,102787,LB,ATL,7,0,0,2,66.1,0,3,20,16.8,15.0,3,1,12.5,1,119,20,4,0,60.0,0,1,9,18.0,11.1,1,5.6,0,50,9,1
Marist Liufau,102789,LB,DAL,17,0,1,9,65.6,0,10,61,26.0,11.5,7,3,11.5,2,265,69,12,0,78.2,0,8,34,33.9,20.6,7,17.6,2,118,40,10
Cam Hart,102955,CB,LAC,11,0,1,27,75.3,1,0,1,0.3,0.0,0,6,150.0,1,326,1,2,0,56.2,1,0,1,0.6,0.0,0,50.0,0,154,1,1
Jarius Monroe,103580,S,NYJ,2,0,0,22,58.3,0,1,1,8.3,0.0,0,0,50.0,0,12,1,1,0,58.3,0,1,1,14.3,0.0,0,50.0,0,7,1,1
Kei'Trel Clark,104163,CB,ARZ,6,0,0,1,77.2,0,0,1,1.6,0.0,0,0,100.0,1,63,1,1,0,59.1,0,0,1,2.6,0.0,0,0.0,0,39,1,0
Jalyx Hunt,105989,ED,PHI,9,1,0,24,56.9,1,7,119,89.3,6.7,8,0,5.0,2,140,125,10,1,64.2,1,5,55,98.3,10.9,6,9.1,2,58,57,8
Kenny Dyson Jr.,106277,ED,CAR,2,0,0,5,64.7,1,0,5,83.3,0.0,0,0,10.0,0,6,5,1,0,,0,0,0,0.0,,0,,0,1,0,0
DJ Coleman,106310,ED,JAX,1,0,0,15,54.4,0,0,4,83.3,0.0,0,0,0.0,0,6,5,0,0,56.9,0,0,2,66.7,0.0,0,0.0,0,3,2,0
