Format:,ppr
Teams:,12
Rounds:,15
Total drafts:,8574
Start date:,2025-08-11
End date:,2025-08-18

ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
7.09,81.4,Kyler Murray,QB,ARI,682,10.0,55,106,8
7.11,83.5,Rome Odunze,WR,CHI,1256,7.7,63,102,5
7.12,84.2,Khalil Shakir,WR,BUF,632,7.9,63,101,7
8.01,85.2,Chris Godwin,WR,TB,560,10.1,58,112,9
8.02,85.5,Dak Prescott,QB,DAL,1730,10.5,58,118,10
8.04,88.3,Mark Andrews,TE,BAL,591,12.0,57,145,7
8.05,88.5,Matthew Golden,WR,GB,1360,7.5,68,108,5
8.07,90.5,J.K. Dobbins,RB,DEN,865,8.9,67,121,12
8.08,91.8,Jayden Reed,WR,GB,293,8.6,69,117,5
8.08,92.1,Ricky Pearsall,WR,SF,1861,9.2,68,116,14
8.09,93.2,Cooper Kupp,WR,SEA,1070,8.6,70,117,8
8.10,94.1,Dallas Defense,DEF,DAL,102,13.4,59,109,10
8.12,96.1,Jared Goff,QB,DET,957,12.3,64,126,8
9.01,96.7,Evan Engram,TE,DEN,1249,14.6,58,149,12
9.02,97.9,Travis Etienne Jr.,RB,JAX,1780,11.7,67,137,8
9.04,99.5,Jordan Addison,WR,MIN,997,8.3,78,124,6
9.04,100.0,Michael Pittman Jr.,WR,IND,544,6.9,81,120,11
9.07,103.0,NY Giants Defense,DEF,NYG,117,10.7,75,129,14
9.07,103.1,Darnell Mooney,WR,ATL,272,8.8,80,125,5
9.08,103.5,Josh Downs,WR,IND,413,7.2,84,123,11
9.08,103.8,Justin Fields,QB,NYJ,975,10.9,75,137,9
9.09,104.5,Caleb Williams,QB,CHI,473,10.9,76,147,5
9.09,104.7,Denver Defense,DEF,DEN,617,11.2,75,146,12
9.09,105.4,Austin Ekeler,RB,WAS,409,11.8,74,143,12
9.09,105.5,Rashid Shaheed,WR,NO,156,9.3,81,122,11
9.10,105.9,Jordan Mason,RB,MIN,2080,14.3,68,150,6
9.12,107.7,Keon Coleman,WR,BUF,657,8.9,84,127,7
10.01,108.6,Tucker Kraft,TE,GB,504,17.0,64,151,5
10.01,108.8,J.J. McCarthy,QB,MIN,413,11.7,78,150,6
10.01,109.3,Justin Herbert,QB,LAC,604,11.3,80,140,12
10.03,110.8,Javonte Williams,RB,DAL,1100,14.0,74,148,10
10.04,111.5,Rhamondre Stevenson,RB,NE,773,15.0,76,150,14
10.04,111.7,Philadelphia Defense,DEF,PHI,508,12.2,80,154,9
10.05,112.7,Jake Ferguson,TE,DAL,458,17.4,67,155,10
10.06,113.8,Quinshon Judkins,RB,CLE,600,22.9,55,167,9
10.07,114.5,Zach Charbonnet,RB,SEA,1105,14.1,77,150,8
10.07,115.4,Keenan Allen,WR,LAC,745,9.7,90,148,12
10.08,116.2,Jordan Love,QB,GB,536,11.7,85,149,5
10.09,117.1,Baltimore Defense,DEF,BAL,379,10.8,88,169,7
10.09,117.5,Drake Maye,QB,NE,751,12.6,84,152,14
10.10,117.6,Pittsburgh Defense,DEF,PIT,274,10.0,91,166,5
10.10,117.8,Emeka Egbuka,WR,TB,2389,14.7,79,150,9
10.12,119.8,Adam Thielen,WR,CAR,172,8.5,97,143,14
11.03,123.4,Cedric Tillman,WR,CLE,175,10.1,97,148,9
11.03,123.4,Cam Skattebo,RB,NYG,1000,15.7,82,150,14
11.04,123.6,Tyjae Spears,RB,TEN,287,13.0,89,150,10
11.05,124.9,Buffalo Defense,DEF,BUF,171,15.0,85,180,7
11.06,125.8,Marquise Brown,WR,KC,198,11.4,96,150,10
11.06,125.9,C.J. Stroud,QB,HOU,782,12.4,93,154,6
11.06,126.0,Dallas Goedert,TE,PHI,525,16.5,83,166,9
11.06,126.1,Tyler Warren,TE,IND,1768,21.2,71,178,11
11.09,128.6,Wan'Dale Robinson,WR,NYG,106,10.3,102,150,14
11.09,129.5,Christian Kirk,WR,HOU,285,11.7,99,152,6
11.10,129.6,Marvin Mims Jr.,WR,DEN,324,12.2,97,151,12
11.11,130.8,Dalton Kincaid,TE,BUF,691,18.9,81,173,7
11.12,132.3,Trevor Lawrence,QB,JAX,346,10.5,105,154,8
11.12,132.4,Rachaad White,RB,TB,285,13.9,96,170,9
12.01,132.7,Brandon Aubrey,PK,DAL,1470,20.6,79,186,10
12.01,132.9,Jayden Higgins,WR,HOU,261,12.3,101,166,6
12.01,133.0,Najee Harris,RB,LAC,414,16.7,89,169,12
12.02,133.6,Houston Defense,DEF,HOU,375,15.5,93,198,6
12.02,133.8,Rashod Bateman,WR,BAL,134,11.5,103,154,7
12.03,134.6,Tank Bigsby,RB,JAX,790,18.7,85,178,8
12.04,136.0,Matt Gay,PK,WAS,164,27.8,63,188,12
12.05,136.9,Jerome Ford,RB,CLE,368,18.3,89,180,9
12.07,138.8,Tua Tagovailoa,QB,MIA,201,14.0,102,169,12
12.07,139.0,Jaydon Blue,RB,DAL,639,19.2,89,178,10
12.09,140.6,Detroit Defense,DEF,DET,309,15.2,100,199,8
12.09,141.3,Romeo Doubs,WR,GB,66,11.0,112,159,5
12.10,142.0,Cameron Dicker,PK,LAC,264,17.4,96,188,12
12.10,142.4,Colston Loveland,TE,CHI,489,22.4,84,181,5
12.11,143.1,Jake Bates,PK,DET,300,19.3,92,190,8
12.12,144.0,Trey Benson,RB,ARI,437,19.6,93,180,8
12.12,144.4,Zach Ertz,TE,WAS,260,20.5,91,180,12
13.01,145.3,Matthew Stafford,QB,LAR,181,16.1,103,178,8
13.02,146.2,Harrison Butker,PK,KC,191,22.2,88,195,10
13.02,146.4,Tyler Bass,PK,BUF,117,19.4,97,191,7
13.03,146.6,Minnesota Defense,DEF,MIN,611,18.1,99,207,6
13.03,146.8,Rico Dowdle,RB,CAR,20,24.6,82,190,14
13.03,146.9,Brandon Aiyuk,WR,SF,449,17.1,102,181,14
13.04,147.7,Kyle Pitts Sr.,TE,ATL,347,23.8,85,200,5
13.04,148.5,Dylan Sampson,RB,CLE,144,23.1,92,208,9
13.05,149.2,Chig Okonkwo,TE,TEN,31,22.7,90,195,10
13.06,150.2,Chicago Defense,DEF,CHI,283,17.5,108,210,5
13.06,150.3,Cleveland Defense,DEF,CLE,30,31.7,67,204,9
13.06,150.5,Braelon Allen,RB,NYJ,242,26.7,80,210,9
13.07,151.1,Chase McLaughlin,PK,TB,126,17.5,107,192,9
13.07,151.1,Nick Chubb,RB,HOU,242,27.4,79,210,6
13.07,151.1,Jake Elliott,PK,PHI,144,20.9,96,197,9
13.07,151.1,Ray Davis,RB,BUF,325,21.2,96,196,7
13.07,151.2,Isaac Guerendo,RB,SF,341,23.0,91,202,14
13.08,151.9,DeMario Douglas,WR,NE,140,13.1,117,180,14
13.08,152.2,Xavier Legette,WR,CAR,99,14.0,115,180,14
13.08,152.5,Tyler Allgeier,RB,ATL,175,20.5,99,189,5
13.09,153.2,Geno Smith,QB,LV,112,14.9,114,180,8
13.09,153.3,Joshua Palmer,WR,BUF,154,13.2,118,180,7
13.09,153.4,Blake Corum,RB,LAR,20,28.8,106,204,8
13.10,153.5,Bryce Young,QB,CAR,167,14.5,115,180,14
13.10,154.1,Michael Penix Jr.,QB,ATL,286,18.2,106,181,5
13.10,154.2,New England Defense,DEF,NE,27,22.4,103,203,14
13.10,154.3,Hunter Henry,TE,NE,102,20.3,101,180,14
13.11,154.7,Jaylen Wright,RB,MIA,91,20.7,108,210,12
13.11,155.0,Bhayshul Tuten,RB,JAX,85,23.1,95,210,8
13.11,155.4,Tre' Harris,WR,LAC,40,13.7,119,176,12
13.12,156.3,LA Rams Defense,DEF,LAR,330,16.7,114,205,8
13.12,156.4,Jacory Croskey-Merritt,RB,WAS,27,18.9,118,201,12
14.01,156.7,Cade Otton,TE,TB,27,25.9,97,199,9
14.01,156.9,San Francisco Defense,DEF,SF,276,18.7,108,210,14
14.01,157.1,Jonnu Smith,TE,PIT,78,19.6,106,190,5
14.01,157.1,Roschon Johnson,RB,CHI,77,18.7,108,195,5
14.01,157.2,Green Bay Defense,DEF,GB,107,20.9,103,205,5
14.01,157.5,Arizona Defense,DEF,ARI,37,19.7,106,187,8
14.02,157.7,Luther Burden III,WR,CHI,105,14.9,118,180,5
14.02,157.8,Evan McPherson,PK,CIN,235,17.7,111,209,10
14.02,158.1,Cam Little,PK,JAX,170,23.7,96,209,8
14.03,158.8,Jalen McMillan,WR,TB,23,24.3,101,190,9
14.03,159.0,Seattle Defense,DEF,SEA,92,19.4,108,207,8
14.03,159.0,Ka'imi Fairbairn,PK,HOU,152,19.7,107,198,6
14.04,159.7,Tyler Loop,PK,BAL,127,16.6,119,201,7
14.04,159.9,Jason Sanders,PK,MIA,52,26.4,91,208,12
14.04,160.0,Elijah Arroyo,TE,SEA,11,26.9,132,210,8
14.04,160.4,Darren Waller,TE,MIA,35,21.1,111,209,12
