POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Chris Collier,HB,35,51.3,-,52.0,58.5,-,60.0,19,-,6,9,-,4,0.0,A,6'0",200,-,LOCKHAVEN,2024,-,-
-,Justin Shorter,TE,88,50.5,-,-,47.9,78.3,55.8,25,-,-,12,3,10,25.3,A,6'4",223,4.5,FLORIDA,2023,5,152
-,Carter Runyon,TE,46,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6",235,-,TOWSON,2025,-,-
49th of 74,Michael Mayer,TE,87,57.7,-,-,52.2,67.1,65.0,461,-,-,247,41,173,24.1,A,6'4",265,4.7,NOTRE DAME,2023,2,35
-,Albert Okwuegbunam,TE,86,-,-,-,-,-,-,-,-,-,-,-,-,27.3,A,6'5",258,-,MISSOURI,2020,4,118
-,Qadir Ismail,TE,84,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6",215,-,SAMFORD,2024,-,-
-,Ian Thomas,TE,80,52.8,-,-,46.1,71.1,57.4,95,-,-,27,12,56,29.2,A,6'4",260,4.7,INDIANA,2018,4,101
3rd of 74,Brock Bowers,TE,89,85.1,-,56.8,88.4,81.6,56.1,956,-,5,631,33,287,22.6,A,6'4",240,-,GEORGIA,2024,1,13
-,Will Putnam,C,67,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",315,-,CLEMSON,2024,-,-
-,Jarrod Hufford,C,64,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",320,-,IOWA STATE,2025,-,-
-,Atonio Mafi,G,56,-,-,-,-,-,-,-,-,-,-,-,-,24.8,A,6'4",330,-,UCLA,2023,5,146
-,Laki Tasi,G,79,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,0'0",-,-,NO COLLEGE,2025,-,-
-,Caleb Rogers,G,76,-,-,-,-,-,-,-,-,-,-,-,-,23.8,A,6'5",310,-,TEXAS TECH,2025,3,98
40th of 77,Jackson Powers-Johnson,G,58,63.9,-,-,-,68.3,70.4,956,-,-,-,633,323,22.5,A,6'3",320,-,OREGON,2024,2,44
6th of 77,Jordan Meredith,G,61,80.8,-,-,-,75.7,78.4,574,-,-,-,399,175,0.0,A,6'3",300,-,W KENTUCKY,2021,-,-
71st of 77,Alex Cappa,G,65,50.5,-,-,-,39.7,54.9,1132,-,-,-,774,358,30.5,A,6'6",310,5.4,HUMBOLDT STATE,2018,3,94
17th of 77,Dylan Parham,G,66,74.3,-,-,-,67.5,75.6,882,-,-,-,591,291,26.0,A,6'3",285,-,MEMPHIS,2022,3,90
-,Dalton Wagner,T,78,-,-,-,-,-,-,-,-,-,-,-,-,26.8,A,6'8",320,-,ARKANSAS,2023,-,-
-,Parker Clements,T,70,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'7",300,-,VA TECH,2025,-,-
-,Charles Grant,T,60,-,-,-,-,-,-,-,-,-,-,-,-,23.4,A,6'4",300,-,WM & MARY,2025,3,99
46th of 81,DJ Glaze,T,71,66.1,-,-,-,61.9,68.4,998,-,-,-,665,333,23.0,A,6'5",328,-,MARYLAND,2024,3,77
-,Thayer Munford Jr.,T,77,45.9,-,-,58.7,46.6,45.3,201,-,-,2,123,76,25.9,A,6'6",315,-,OHIO STATE,2022,7,239
13th of 81,Kolton Miller,T,74,80.6,-,-,-,82.2,71.7,1075,-,-,-,716,359,29.9,A,6'8",325,5.0,UCLA,2018,1,15
-,Gottlieb Ayedze,T,72,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",320,-,MARYLAND,2024,-,-
-,Kyu Blu Kelly,CB,36,49.4,62.3,58.7,46.6,14,5,1,8,24.2,A,6'0",192,4.5,STANFORD,2023,5,159
-,Sam Webb,CB,27,66.6,60.3,-,63.8,13,9,-,4,27.2,A,6'0",195,-,MO WE ST,2022,-,-
-,Greedy Vance Jr.,CB,41,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",170,-,USC,2025,-,-
-,John Humphrey,CB,39,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",196,-,USC,2025,-,-
-,Darien Porter,CB,26,-,-,-,-,-,-,-,-,-,-,-,-,24.6,A,6'4",200,-,IOWA STATE,2025,3,68
-,Darnay Holmes,CB,30,54.1,70.7,61.4,49.5,298,75,19,204,27.1,A,5'10",195,-,UCLA,2020,4,110
114th of 116,Decamerion Richardson,CB,25,45.6,60.5,-,42.2,559,202,-,357,24.4,A,6'2",195,-,MISS STATE,2024,4,113
74th of 116,Eric Stokes,CB,22,61.3,50.8,-,62.4,588,190,-,398,26.4,A,6'0",194,-,GEORGIA,2021,1,29
-,Thomas Harper,S,34,78.3,55.4,75.8,76.4,191,41,5,145,0.0,A,5'10",195,-,NOTRE DAME,2024,-,-
-,JT Woods,S,40,-,-,-,-,-,-,-,-,-,-,-,-,25.2,A,6'2",193,-,BAYLOR,2022,3,79
-,Terrell Edmunds,S,48,71.6,72.3,54.5,68.4,69,10,3,56,28.5,A,6'1",217,4.5,VA TECH,2018,1,28
-,Hudson Clark,S,38,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",191,-,ARKANSAS,2025,-,-
-,Chris Smith II,S,29,74.6,66.2,-,65.6,11,8,-,3,25.3,A,5'11",195,4.6,GEORGIA,2023,5,172
-,Trey Taylor,S,37,-,-,-,-,-,-,-,-,-,-,-,-,24.5,A,6'0",210,-,AIR FORCE,2024,7,224
80th of 98,Isaiah Pola-Mao,S,20,54.2,72.4,61.0,45.1,952,366,18,568,0.0,A,6'4",205,-,USC,2022,-,-
-,Lonnie Johnson Jr.,S,32,50.0,65.1,-,46.5,12,5,-,7,29.8,A,6'2",213,-,KENTUCKY,2019,2,54
46th of 98,Jeremy Chinn,S,11,65.2,64.7,61.0,64.5,1207,520,36,651,27.4,A,6'3",220,-,S ILLINOIS,2020,2,64
56th of 84,Germaine Pratt,LB,57,60.6,70.1,54.5,53.4,1075,431,66,578,29.2,A,6'3",250,-,NC STATE,2019,3,72
-,Jamal Adams,LB,33,43.0,62.5,50.2,35.5,40,24,5,11,29.8,A,6'1",213,4.6,LSU,2017,1,6
-,Michael Barrett,LB,43,-,-,-,-,-,-,-,-,-,-,-,-,25.6,A,6'0",239,-,MICHIGAN,2024,7,241
-,Jaylon Smith,LB,54,-,-,-,-,-,-,-,-,-,-,-,-,31.1,A,6'2",245,-,NOTRE DAME,2016,2,34
-,Matt Jones,LB,42,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",246,-,BAYLOR,2025,-,-
