POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
51st of 81,Kelvin Beachum,T,68,64.1,-,-,58.2,75.4,54.2,742,-,-,1,418,323,36.2,A,6'3",308,5.4,SMU,2012,7,248
38th of 81,Jonah Williams,T,73,70.7,-,-,-,73.3,61.7,343,-,-,-,221,122,27.7,A,6'5",312,-,ALABAMA,2019,1,11
-,McClendon Curtis,T,66,-,-,-,-,-,-,-,-,-,-,-,-,25.9,A,6'6",325,5.2,CHATTNOOGA,2023,-,-
-,Nick Leverett,T,60,36.6,-,-,-,19.8,50.6,122,-,-,-,77,45,28.6,A,6'4",310,-,RICE,2020,-,-
-,Steven Gilmore,CB,38,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",174,-,MARSHALL,2023,-,-
-,Kei'Trel Clark,CB,13,71.7,81.5,77.2,65.7,97,34,1,62,24.4,A,5'10",181,4.4,LOUISVILLE,2023,6,182
76th of 116,Starling Thomas V,CB,24,60.9,58.0,78.1,60.9,817,324,1,492,25.5,IR,6'0",194,-,UAB,2023,-,-
3rd of 116,Garrett Williams,CB,21,82.0,65.1,84.0,83.7,778,254,10,514,24.2,A,5'10",192,-,SYRACUSE,2023,3,73
-,Denzel Burke,CB,29,-,-,-,-,-,-,-,-,-,-,-,-,22.7,A,6'1",193,-,OHIO STATE,2025,5,176
-,Will Johnson,CB,0,-,-,-,-,-,-,-,-,-,-,-,-,22.4,A,6'2",202,-,MICHIGAN,2025,2,47
-,Jaylon Jones,CB,37,71.7,66.4,-,71.0,76,20,-,56,27.8,A,5'11",190,-,OLE MISS,2022,-,-
-,Elijah Jones,CB,28,-,-,-,-,-,-,-,-,-,-,-,-,25.6,A,6'2",194,-,BOSTON COL,2024,3,91
99th of 116,Max Melton,CB,16,54.5,44.3,-,56.1,565,213,-,352,23.3,A,6'0",190,-,RUTGERS,2024,2,43
92nd of 116,Sean Murphy-Bunting,CB,23,56.5,70.0,59.0,53.1,725,306,1,418,28.1,ANFI,6'0",195,-,C MICHIGAN,2019,2,39
-,Ekow Boye-Doe,CB,35,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",171,-,KANSAS ST,2023,-,-
-,Darren Hall,CB,30,64.9,60.0,-,64.5,7,2,-,5,26.3,A,6'0",190,-,S DIEGO ST,2021,4,109
-,Joey Blount,S,32,66.1,61.4,-,62.1,20,12,-,8,0.0,A,6'2",195,-,VIRGINIA,2022,-,-
-,Kitan Crawford,S,36,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",204,-,NEVADA,2025,7,227
-,Dadrion Taylor-Demerson,S,42,75.5,80.6,49.9,70.0,258,86,11,161,25.5,A,5'11",195,-,TEXAS TECH,2024,4,105
-,Jammie Robinson,S,26,41.2,-,-,43.2,11,-,-,11,24.5,A,5'11",190,4.6,FLORIDA ST,2023,5,147
12th of 98,Budda Baker,S,3,77.8,79.9,61.9,74.7,1064,420,40,604,29.6,A,5'10",195,4.5,WASHINGTON,2017,2,36
32nd of 98,Jalen Thompson,S,34,68.8,76.2,58.4,64.2,941,378,21,542,27.1,A,5'11",190,-,WASH STATE,2019,-,-
-,J.J. Russell,LB,51,69.2,80.8,58.6,60.4,271,76,23,172,0.0,A,6'1",225,-,MEMPHIS,2022,-,-
-,Owen Pappoe,LB,44,63.0,45.4,48.2,76.9,131,39,24,68,24.9,A,6'0",225,4.4,AUBURN,2023,5,179
-,Cody Simon,LB,50,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",235,-,OHIO STATE,2025,4,115
-,Mykal Walker,LB,43,39.6,53.2,54.8,30.8,90,65,3,22,27.9,A,6'3",230,-,FRESNO ST,2020,4,119
58th of 84,Akeem Davis-Gaither,LB,27,59.0,60.8,63.5,57.5,535,195,50,290,27.9,A,6'2",228,-,APP STATE,2020,4,107
