POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Justin Osborne,G,00,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'5",305,-,SMU,2025,-,-
13th of 77,Teven Jenkins,G,74,75.4,-,-,-,75.8,74.3,738,-,-,-,495,243,27.4,A,6'6",321,-,OKLA STATE,2021,2,39
-,Zak Zinter,G,70,43.9,-,-,56.5,35.0,54.0,233,-,-,2,149,82,24.3,A,6'6",322,-,MICHIGAN,2024,3,85
43rd of 77,Wyatt Teller,G,77,62.6,-,-,-,63.1,61.6,885,-,-,-,610,275,30.7,A,6'4",315,5.2,VA TECH,2018,5,166
40th of 77,Joel Bitonio,G,75,63.9,-,-,-,70.2,59.6,1178,-,-,-,815,363,33.8,A,6'4",320,5.0,NEVADA,2014,2,35
-,Kilian Zierer,T,54,-,-,-,-,-,-,-,-,-,-,-,-,25.4,A,6'7",312,-,AUBURN,2023,-,-
77th of 81,Dawand Jones,T,79,46.4,-,-,-,57.6,45.8,511,-,-,-,364,147,24.0,A,6'8",375,5.3,OHIO STATE,2023,4,112
26th of 81,Cornelius Lucas,T,71,75.4,-,-,-,79.1,69.0,464,-,-,-,273,191,34.1,A,6'8",327,-,KANSAS ST,2014,-,-
44th of 81,Jack Conklin,T,78,66.2,-,-,-,67.9,59.6,818,-,-,-,552,266,31.0,A,6'6",308,5.0,MICH STATE,2016,1,8
-,Anthony Kendall,CB,00,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,5'10",177,-,BALDWIN - WALLACE,2023,-,-
-,Dom Jones,CB,37,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",195,-,COLO STATE,2025,-,-
-,LaMareon James,CB,27,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",190,-,TCU,2025,-,-
105th of 116,Cameron Mitchell,CB,29,52.9,44.3,47.5,55.3,371,134,8,229,23.9,A,5'11",195,4.5,NWESTERN,2023,5,144
111th of 116,Martin Emerson Jr.,CB,1,47.9,55.8,-,48.4,827,324,-,503,24.9,IR,6'2",201,-,MISS STATE,2022,3,68
41st of 116,Denzel Ward,CB,21,68.4,61.1,54.1,68.9,757,314,3,440,28.3,A,5'11",190,4.3,OHIO STATE,2018,1,4
