POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Michael Menet,T,71,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'6",317,-,OKLAHOMA,2025,-,-
-,Yosh Nijman,T,77,57.9,-,-,-,59.5,52.0,187,-,-,-,126,61,29.6,A,6'7",314,-,VA TECH,2019,-,-
36th of 81,Ikem Ekwonu,T,79,71.7,-,-,-,66.2,80.5,909,-,-,-,593,316,24.8,A,6'4",320,-,NC STATE,2022,1,6
21st of 81,Taylor Moton,T,72,77.7,-,-,-,60.6,66.9,846,-,-,-,538,308,31.0,A,6'5",325,5.2,W MICHIGAN,2017,2,64
67th of 98,Demani Richardson,CB,36,60.1,66.9,51.1,58.6,403,189,8,206,24.8,A,6'1",215,-,TEXAS A&M,2024,-,-
-,Shemar Bartholomew,CB,27,55.5,60.0,-,53.7,17,2,-,15,0.0,A,6'1",200,-,GA SOUTHRN,2024,-,-
-,Mello Dotson,CB,28,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",190,-,KANSAS,2025,-,-
-,Tre Swilling,CB,39,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",196,-,GA TECH,2022,-,-
-,JaTravis Broughton,CB,43,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",195,-,TCU,2025,-,-
-,Mike Reid,CB,35,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",200,-,S DAKOTA,2025,-,-
-,Corey Thornton,CB,31,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",195,-,LOUISVILLE,2025,-,-
-,Chau Smith-Wade,CB,26,61.6,67.2,46.2,49.6,301,105,13,183,22.9,A,5'11",176,-,WASH STATE,2024,5,158
47th of 116,Mike Jackson,CB,2,67.2,61.3,60.0,67.1,1204,565,2,637,28.6,A,6'1",210,-,MIAMI FL,2019,5,158
-,Akayleb Evans,CB,29,57.3,66.2,-,54.9,32,11,-,21,26.1,A,6'2",198,-,MISSOURI,2022,4,118
60th of 116,Jaycee Horn,CB,8,64.3,80.9,66.9,57.7,1034,482,6,546,24.7,A,6'1",200,-,S CAROLINA,2021,1,8
-,Isaac Gifford,S,25,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",205,-,NEBRASKA,2025,-,-
-,Jack Henderson,S,20,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",215,-,MINNESOTA,2025,-,-
-,Trevian Thomas,S,42,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",196,-,ARK STATE,2025,-,-
-,Lathan Ransom,S,22,-,-,-,-,-,-,-,-,-,-,-,-,23.1,A,6'1",210,-,OHIO STATE,2025,4,122
86th of 98,Nick Scott,S,21,52.6,48.1,39.7,56.7,324,149,1,174,30.2,A,5'11",200,-,PENN STATE,2019,7,243
36th of 98,Tre'von Moehrig,S,7,67.5,67.5,70.1,54.4,1099,427,64,608,26.1,A,6'2",202,-,TCU,2021,2,43
-,Jon Rhattigan,LB,49,84.1,60.0,-,60.7,3,2,-,1,0.0,A,6'1",245,-,ARMY,2021,-,-
-,Bam Martin-Scott,LB,57,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",241,-,S CAROLINA,2025,-,-
