POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
90th of 133,Ray-Ray McCloud III,WR,34,62.7,-,71.6,62.8,60.1,48.3,881,-,9,586,13,373,28.8,A,5'9",190,4.5,CLEMSON,2018,6,187
36th of 133,Darnell Mooney,WR,1,74.0,60.0,-,74.6,-,56.1,988,1,-,565,-,422,27.8,A,5'11",173,-,TULANE,2020,5,173
-,David Sills V,WR,87,-,-,-,-,-,-,-,-,-,-,-,-,29.2,A,6'4",211,-,W VIRGINIA,2019,-,-
7th of 133,Drake London,WR,5,87.8,-,60.0,90.1,75.7,49.5,1032,-,1,587,8,436,24.0,A,6'4",213,-,USC,2022,1,8
-,Carlos Washington Jr.,HB,26,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",220,-,SE LA,2023,-,-
2nd of 59,Bijan Robinson,HB,7,92.8,-,92.8,82.2,51.6,78.8,861,-,313,418,107,23,23.5,A,5'11",215,4.5,TEXAS,2023,1,8
-,Jashaun Corbin,HB,30,-,-,-,-,-,-,-,-,-,-,-,-,25.0,A,5'11",221,-,FLORIDA ST,2022,-,-
-,Nate Carter,HB,38,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",202,-,MICH STATE,2025,-,-
8th of 59,Tyler Allgeier,HB,25,86.4,-,85.7,67.7,59.6,49.4,287,-,142,97,25,23,25.3,A,5'11",220,-,BYU,2022,5,151
-,Joshua Simon,TE,47,-,-,-,-,-,-,-,-,-,-,-,-,24.7,A,6'4",259,-,S CAROLINA,2025,-,-
-,Teagan Quitoriano,TE,85,45.3,-,-,41.7,31.3,54.0,101,-,-,21,10,70,25.4,A,6'6",258,-,OREGON ST,2022,5,170
-,Feleipe Franks,TE,84,67.3,-,-,60.9,70.6,66.7,46,-,-,15,3,28,27.6,A,6'6",234,-,ARKANSAS,2021,-,-
45th of 74,Charlie Woerner,TE,89,58.9,-,-,47.9,61.9,65.6,458,-,-,87,49,322,0.0,A,6'5",241,-,GEORGIA,2020,6,190
44th of 74,Kyle Pitts,TE,8,59.6,-,-,63.9,35.5,46.1,708,-,-,487,24,197,24.8,A,6'6",246,-,FLORIDA,2021,1,4
-,CJ Henderson,CB,30,-,-,-,-,-,-,-,-,-,-,-,-,26.8,A,6'1",205,-,FLORIDA,2020,1,9
-,Natrone Brooks,CB,35,80.8,49.3,74.4,90.2,43,13,3,27,0.0,A,5'11",176,-,SO MISS,2023,-,-
-,Grayland Arnold,CB,36,-,-,-,-,-,-,-,-,-,-,-,-,27.9,IR,5'10",187,-,BAYLOR,2020,-,-
12th of 116,Clark Phillips III,CB,22,76.5,72.5,55.8,76.0,409,152,2,255,23.6,A,5'9",183,4.5,UTAH,2023,4,114
-,Cobee Bryant,CB,37,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",175,-,KANSAS,2025,-,-
-,Dontae Manning,CB,41,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",190,-,OREGON,2025,-,-
87th of 116,Dee Alford,CB,20,58.2,64.5,61.0,55.9,724,209,17,498,0.0,A,5'11",175,-,TUSCULUM (TN.),2022,-,-
-,Keith Taylor Jr.,CB,39,62.7,61.5,-,62.2,79,35,-,44,26.7,A,6'3",195,-,WASHINGTON,2021,5,167
-,Mike Ford,CB,28,29.5,53.2,-,28.6,58,27,-,31,30.0,A,6'0",195,-,SE MO ST,2018,-,-
27th of 116,Mike Hughes,CB,21,71.9,68.2,52.4,71.4,720,265,4,451,28.5,A,5'10",189,4.5,UCF,2018,1,30
40th of 116,A.J. Terrell,CB,24,68.5,61.6,57.7,68.6,1085,413,1,671,26.9,A,6'1",195,-,CLEMSON,2020,1,16
-,Ronnie Harrison,S,36,31.6,44.8,-,-,3,3,-,-,28.3,A,6'3",214,-,ALABAMA,2018,3,93
-,Henry Black,S,32,-,-,-,-,-,-,-,-,-,-,-,-,28.6,A,6'0",204,-,BAYLOR,2020,-,-
-,DeMarcco Hellams,S,23,-,-,-,-,-,-,-,-,-,-,-,-,25.2,A,6'1",213,4.6,ALABAMA,2023,7,226
-,Malik Verdon,S,43,-,-,-,-,-,-,-,-,-,-,-,-,0.0,ANFI,6'4",220,-,IOWA STATE,2025,-,-
-,Billy Bowman Jr.,S,33,-,-,-,-,-,-,-,-,-,-,-,-,22.5,A,5'10",200,-,OKLAHOMA,2025,4,118
-,Xavier Watts,S,31,-,-,-,-,-,-,-,-,-,-,-,-,23.7,A,6'0",203,-,NOTRE DAME,2025,3,96
82nd of 98,Jordan Fuller,S,29,53.8,68.5,51.3,47.0,574,291,5,278,27.4,A,6'2",203,-,OHIO STATE,2020,6,199
10th of 98,Jessie Bates III,S,3,80.2,80.4,51.6,81.4,1095,414,10,671,28.8,A,6'1",200,4.5,WAKE,2018,2,54
-,JD Bertrand,LB,40,49.8,77.2,66.1,39.5,157,38,20,99,25.3,A,6'1",233,-,NOTRE DAME,2024,5,144
-,Josh Woods,LB,42,72.2,-,-,60.7,1,-,-,1,29.1,A,6'1",230,-,MARYLAND,2018,-,-
25th of 84,Kaden Elliss,LB,55,71.1,70.3,61.4,58.6,1097,419,156,522,30.1,A,6'3",238,-,IDAHO,2019,7,244
65th of 84,Divine Deablo,LB,0,56.8,58.7,66.8,53.2,689,309,57,323,27.0,A,6'3",223,-,VA TECH,2021,3,80
