POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Marshall Feinberg,T,64,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,0'0",-,-,MINNESOTA STATE,2025,-,-
-,Blake Freeland,T,73,59.7,-,-,-,54.3,60.4,23,-,-,-,10,13,24.3,IR,6'8",302,5.0,BYU,2023,4,107
-,Jalen Travis,T,75,-,-,-,-,-,-,-,-,-,-,-,-,23.3,A,6'7",340,-,IOWA STATE,2025,4,127
47th of 81,Matt Goncalves,T,71,65.9,-,-,-,57.1,69.3,566,-,-,-,305,261,24.5,A,6'6",330,-,PITTSBURGH,2024,3,79
-,Jack Wilson,T,76,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'11",338,-,WASH STATE,2024,-,-
8th of 81,Bernhard Raimann,T,79,85.1,-,-,-,82.0,80.7,856,-,-,-,471,385,27.9,A,6'6",303,-,C MICHIGAN,2022,3,77
48th of 81,Braden Smith,T,72,65.7,-,-,59.9,67.8,74.6,731,-,-,1,431,299,29.4,A,6'6",312,5.2,AUBURN,2018,2,-
-,Xavien Howard,CB,37,-,-,-,-,-,-,-,-,-,-,-,-,32.1,A,6'1",203,4.6,BAYLOR,2016,2,38
29th of 116,Samuel Womack III,CB,33,71.4,64.3,-,71.3,673,233,-,440,0.0,A,5'10",189,-,TOLEDO,2022,5,172
-,Chris Lammons,CB,38,56.8,60.5,95.2,44.1,95,27,3,65,29.5,A,5'9",194,-,S CAROLINA,2018,-,-
-,B.J. Mayes,CB,36,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",195,-,TEXAS A&M,2025,-,-
-,Duke Shelley,CB,34,60.2,60.0,-,59.9,14,1,-,13,28.8,A,5'9",183,-,KANSAS ST,2019,6,205
-,Johnathan Edwards,CB,35,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",200,-,TULANE,2025,-,-
45th of 116,Jaylon Jones,CB,40,67.4,62.4,-,67.9,1146,505,-,641,23.3,A,6'2",203,4.6,TEXAS A&M,2023,7,223
-,JuJu Brents,CB,29,55.6,72.0,-,51.1,68,29,-,39,25.5,A,6'3",198,4.5,KANSAS ST,2023,2,45
-,Justin Walley,CB,27,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,5'11",195,-,MINNESOTA,2025,3,80
93rd of 116,Charvarius Ward,CB,7,56.2,48.4,43.6,58.2,694,305,0,389,29.2,A,6'1",196,-,MIDDLE TN,2018,-,-
33rd of 116,Kenny Moore II,CB,23,70.1,71.8,64.3,67.3,1013,455,22,536,31.6,A,5'9",190,-,GAVA,2017,-,-
-,Trey Washington,S,41,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",205,-,OLE MISS,2025,-,-
-,Ladarius Tennison,S,43,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'10",200,-,UCF,2025,-,-
-,Daniel Scott,S,32,-,-,-,-,-,-,-,-,-,-,-,-,26.8,A,6'1",208,4.5,CAL,2023,5,160
-,Hunter Wohler,S,30,-,-,-,-,-,-,-,-,-,-,-,-,22.6,IR,6'2",218,-,WISCONSIN,2025,7,234
