POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Caden Prieskorn,TE,88,-,-,-,-,-,-,-,-,-,-,-,-,25.9,A,6'6",255,-,OLE MISS,2025,-,-
36th of 74,Nate Adkins,TE,45,63.9,-,-,56.7,68.1,66.0,429,-,-,141,45,243,0.0,A,6'3",252,-,S CAROLINA,2023,-,-
64th of 74,Lucas Krull,TE,85,52.4,-,-,50.4,80.1,54.7,331,-,-,250,7,74,27.1,A,6'6",260,-,PITTSBURGH,2022,-,-
-,Caleb Lohner,TE,84,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'8",235,-,UTAH,2025,7,-
-,Micah Abraham,CB,45,-,-,-,-,-,-,-,-,-,-,-,-,24.7,A,5'11",185,-,MARSHALL,2024,6,202
-,Reese Taylor,CB,35,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,5'11",188,-,PURDUE,2023,-,-
-,Jaden Robinson,CB,33,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",193,-,OREGON ST,2025,-,-
-,Joshua Pickett,CB,39,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",188,-,DUKE,2025,-,-
88th of 116,Riley Moss,CB,21,57.8,59.2,79.0,56.0,912,331,4,577,25.4,A,6'1",193,4.5,IOWA,2023,3,84
-,Jahdae Barron,CB,12,-,-,-,-,-,-,-,-,-,-,-,-,23.7,A,5'11",200,-,TEXAS,2025,1,20
-,Kris Abrams-Draine,CB,31,75.1,68.6,-,74.7,123,32,-,91,23.8,A,5'11",178,-,MISSOURI,2024,5,146
-,Damarri Mathis,CB,27,64.9,68.2,-,63.2,82,34,-,48,26.3,A,5'11",195,-,PITTSBURGH,2022,4,115
-,Quinton Newsome,CB,36,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",185,-,NEBRASKA,2024,-,-
78th of 116,Ja'Quan McMillian,CB,29,60.8,55.3,55.0,62.2,918,246,37,635,0.0,A,5'9",183,-,E CAROLINA,2022,-,-
2nd of 116,Pat Surtain II,CB,2,83.8,81.8,42.2,85.1,1054,369,3,682,25.3,A,6'2",202,-,ALABAMA,2021,1,9
-,J.L. Skinner,S,34,66.6,64.2,60.0,61.7,21,15,2,4,24.3,A,6'4",220,-,BOISE ST,2023,6,185
-,Devon Key,S,26,63.1,63.8,68.3,56.5,253,96,3,154,0.0,A,6'1",208,-,W KENTUCKY,2021,-,-
-,Sam Franklin Jr.,S,42,62.9,60.0,-,60.4,3,1,-,2,0.0,A,6'3",210,-,TEMPLE,2020,-,-
73rd of 98,Talanoa Hufanga,S,9,57.8,74.5,60.0,52.4,308,136,1,171,26.5,A,6'0",200,-,USC,2021,5,181
4th of 98,Brandon Jones,S,22,84.2,72.4,67.7,89.6,1042,353,18,671,27.3,A,6'1",191,-,TEXAS,2020,3,70
90th of 98,P.J. Locke,S,6,51.2,50.4,57.2,50.7,1076,361,29,686,28.5,A,5'10",202,-,TEXAS,2019,-,-
-,Delarrin Turner-Yell,S,32,-,-,-,-,-,-,-,-,-,-,-,-,25.6,A,5'11",200,-,OKLAHOMA,2022,5,152
-,Keidron Smith,S,43,39.8,62.5,59.1,37.9,17,9,1,7,25.8,A,6'2",201,-,KENTUCKY,2023,-,-
-,Levelle Bailey,LB,56,24.2,48.9,60.0,52.2,7,5,1,1,0.0,A,6'2",225,-,FRESNO ST,2024,-,-
-,Garret Wallow,LB,46,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",230,-,TCU,2021,5,171
-,Jordan Turner,LB,55,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'1",231,-,MICH STATE,2025,-,-
-,Karene Reid,LB,47,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'0",226,-,UTAH,2025,-,-
-,Drew Sanders,LB,41,43.3,54.8,68.7,42.0,20,5,3,12,24.6,A,6'4",233,-,ARKANSAS,2023,3,68
-,Alex Singleton,LB,49,62.9,73.5,54.3,53.5,190,81,21,88,31.7,A,6'2",240,-,MONTANA ST,2015,-,-
77th of 84,Justin Strnad,LB,40,49.9,50.5,67.0,50.4,736,238,73,425,29.0,A,6'3",235,-,WAKE,2020,5,178
-,Dre Greenlaw,LB,57,82.0,85.0,-,63.5,34,18,-,16,28.2,A,6'0",230,-,ARKANSAS,2019,5,148
-,Michael Dwumfour,DI,62,37.4,46.0,60.0,-,5,4,1,-,27.6,A,6'1",296,-,RUTGERS,2021,-,-
-,Jordan Miller,DI,90,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'3",307,-,SMU,2024,-,-
111th of 118,Jordan Jackson,DI,84,41.3,43.4,50.8,60.6,329,161,168,0,27.5,A,6'10",294,-,AIR FORCE,2022,6,194
-,Matt Henningsen,DI,60,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'3",291,-,WISCONSIN,2022,6,207
-,Kristian Williams,DI,75,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'2",314,-,MISSOURI,2025,-,-
41st of 118,Zach Allen,DI,99,64.9,50.5,73.6,60.7,1031,354,669,8,28.0,A,6'4",285,-,BOSTON COL,2019,3,65
12th of 118,John Franklin-Myers,DI,98,78.3,52.5,82.9,68.8,569,178,386,5,28.9,A,6'4",288,4.8,STF AUSTIN,2018,4,135
33rd of 118,D.J. Jones,DI,93,67.3,64.8,70.6,49.3,510,235,269,6,30.5,A,6'0",305,5.0,OLE MISS,2017,6,198
48th of 118,Malcolm Roach,DI,97,60.9,56.6,62.6,61.2,524,230,287,7,27.2,A,6'3",290,-,TEXAS,2020,-,-
-,Eyioma Uwazurike,DI,96,76.2,75.8,60.9,-,63,39,24,-,27.3,A,6'6",320,-,IOWA STATE,2022,4,116
42nd of 119,Dondrea Tillman,ED,92,69.1,69.2,64.5,63.0,275,98,165,12,0.0,A,6'3",247,-,INDIANA (PA.),2024,-,-
-,Garrett Nelson,ED,59,-,-,-,-,-,-,-,-,-,-,-,-,25.4,A,6'4",248,-,NEBRASKA,2023,-,-
-,Johnny Walker Jr.,ED,00,-,-,-,-,-,-,-,-,-,-,-,-,0.0,IR,6'3",255,-,MISSOURI,2025,-,-
-,Quandarius Robinson,ED,51,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'5",241,-,ALABAMA,2025,4,134
-,Sar'vion Jones,ED,95,-,-,-,-,-,-,-,-,-,-,-,-,22.1,A,6'6",280,-,LSU,2025,3,101
66th of 119,Jonah Elliss,ED,52,54.6,64.7,60.4,28.7,441,147,243,51,22.3,A,6'2",246,-,UTAH,2024,3,76
20th of 119,Nik Bonitto,ED,15,78.8,59.1,77.0,92.6,761,264,428,69,25.9,A,6'3",240,-,OKLAHOMA,2022,2,64
44th of 119,Jonathon Cooper,ED,0,68.8,69.6,66.2,54.6,882,309,495,78,27.6,A,6'4",257,-,OHIO STATE,2021,7,240
-,Andrew Farmer,ED,53,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,6'4",250,-,LANECOL,2023,-,-
